PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Path_Start,Longest_Path_End,Longest_Path_Links
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617896"",""Retinoic acid activates HOXD4 chromatin"")",Yes,10,18,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2972965"",""POU5F1 (OCT4), SOX2, NANOG bind the TSC22D1 promoter"")",Yes,[45],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617431"",""Retinoic acid activates HOXA1 chromatin"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010645"",""AKAP5 recruits PPP3CB (PP2BB) to ROBO2"")",13
Developmental Biology,NCAM1 interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-375160"",""NCAM1 binds to ATP"")",Yes,13,1,Signaling by NODAL,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1225919"",""Phospho R-SMAD(SMAD2/3):CO-SMAD(SMAD4):FOXH1 binds Activin Response Element"")",Yes,"[22, 45]",2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617431"",""Retinoic acid activates HOXA1 chromatin"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010231"",""ROBO1 binds FLRT3"")",13
Developmental Biology,Regulation of expression of SLITs and ROBOs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010541"",""ISL1 binds the SLIT2 gene enhancer"")",Yes,11,17,RET signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8855747"",""2x p-5Y-RET:GDNF:GFRA complexes bind SRC1, RAP1GAP"")",Yes,"[30, 49, 50]",3,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617431"",""Retinoic acid activates HOXA1 chromatin"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373715"",""DCC interaction with ROBO1"")",13
Developmental Biology,Netrin mediated repulsion signals,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373751"",""UNC-5 binds Netrin-1"")",Yes,14,1,AKT-mediated inactivation of FOXO1A,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211178"",""Phosphorylated FOXO1A is excluded from the nucleus"")",Yes,[31],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617431"",""Retinoic acid activates HOXA1 chromatin"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010643"",""AKAP5 recruits PKC to ROBO2"")",13
Developmental Biology,EGR2 and SOX10-mediated initiation of Schwann cell myelination,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614271"",""Autocleavage of ADGRG6"")",Yes,12,35,Myogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-375141"",""Neogenin:Netrin-3 binds CDO complex"")",Yes,[51],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-480301"",""Expression of EPAS1 (HIF2A)"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928595"",""N-WASP binds ARP2/3 and G-actin"")",13
Developmental Biology,Sema4D induced cell migration and growth-cone collapse,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373750"",""SEMA4D interacts with Plexin-B1:ErbB2"")",Yes,15,3,Keratinization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6809663"",""Formation of hair keratin fibres"")",Yes,[9],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810158"",""HOXB3 chromatin is activated"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8985812"",""NCK2 binds to ROBO1,(ROBO2)"")",13
Developmental Biology,Formation of the cornified envelope,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8849797"",""Membrane proteases cleave Profilaggrin producing Filaggrin"")",Yes,16,1,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9624120"",""CEBPA binds CDK2"")",Yes,"[8, 10, 12, 21, 24, 33, 36, 38, 39, 43, 59]",11,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810158"",""HOXB3 chromatin is activated"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010641"",""AKAP5 recruits PKA to ROBO2"")",13
Developmental Biology,Regulation of expression of SLITs and ROBOs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9011077"",""LHX2 binds to ROBO2 gene locus"")",Yes,17,7,Role of ABL in ROBO-SLIT signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-428888"",""Phosphorylation of ROBO1 by ABL kinase"")",Yes,"[3, 11, 25]",3,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810158"",""HOXB3 chromatin is activated"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010645"",""AKAP5 recruits PPP3CB (PP2BB) to ROBO2"")",13
Developmental Biology,NCAM signaling for neurite out-growth,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-391872"",""NCAM1 cis-homophilic interaction"")",Yes,19,3,RET signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8853734"",""2x p-5Y-RET:GDNF:GFRA complexes:p-Y349,Y350,Y427-SHC1 binds GRB2-1:SOS1"")",Yes,"[30, 49, 50]",3,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810158"",""HOXB3 chromatin is activated"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010231"",""ROBO1 binds FLRT3"")",13
Developmental Biology,Sema4D mediated inhibition of cell attachment and migration,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-419646"",""SEMA4D interacts with Plexin-B1:Met"")",Yes,20,4,Role of ABL in ROBO-SLIT signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-428885"",""Activation of CLASP"")",Yes,"[3, 11, 25]",3,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810158"",""HOXB3 chromatin is activated"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373715"",""DCC interaction with ROBO1"")",13
Developmental Biology,RUNX1 regulates transcription of genes involved in differentiation of HSCs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8865505"",""SPI1 (PU.1) gene transcription is stimulated by RUNX1:CBFB:KMT2A"")",Yes,21,17,Transcriptional regulation of white adipocyte differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1183003"",""Expression of Leptin"")",Yes,"[8, 10, 12, 21, 24, 33, 36, 38, 39, 43, 59]",11,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810158"",""HOXB3 chromatin is activated"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010643"",""AKAP5 recruits PKC to ROBO2"")",13
Developmental Biology,Signaling by NODAL,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1181152"",""Cleavage of NODAL proprotein"")",Yes,22,4,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-452701"",""Expression of DPPA4"")",Yes,[45],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928660"",""ADAM10 cleaves EFNAs"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928608"",""LIMK phosphorylates CFL1, inactivating it"")",12
Developmental Biology,Signal transduction by L1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445085"",""Phosphorylation of VAV2"")",Yes,23,6,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2972977"",""POU5F1 (OCT4), SOX2, NANOG bind the DKK1 promoter"")",Yes,[45],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928660"",""ADAM10 cleaves EFNAs"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-416546"",""Inactivation of R-Ras by Sema4D-Plexin-B1 GAP activity"")",12
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617862"",""Retinoic acid activates HOXA4 chromatin"")",Yes,24,18,RHO GTPases Activate ROCKs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928608"",""LIMK phosphorylates CFL1, inactivating it"")",Yes,"[3, 5, 7, 11, 15, 20, 23, 25, 29, 42, 45]",11,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928660"",""ADAM10 cleaves EFNAs"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-399935"",""Inactivation of R-Ras by Sema3A-Plexin-A GAP activity"")",12
Developmental Biology,Regulation of expression of SLITs and ROBOs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9011074"",""LHX2 binds to ROBO1 gene locus"")",Yes,25,18,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9634445"",""MYC gene expression is enhanced by E2F1, STAT3, and CEBPB and repressed by CEBPA"")",Yes,"[8, 10, 12, 21, 24, 33, 36, 38, 39, 41, 43, 59]",12,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614271"",""Autocleavage of ADGRG6"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8985812"",""NCK2 binds to ROBO1,(ROBO2)"")",12
Developmental Biology,Formation of the cornified envelope,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8934819"",""Cytoplasmic proteases cleave Profilaggrin producing Filaggrin"")",Yes,26,1,Transcriptional regulation of white adipocyte differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-560510"",""Expression of FABP4 (aP2)"")",Yes,"[8, 10, 12, 21, 24, 33, 36, 38, 39, 43, 59]",11,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614271"",""Autocleavage of ADGRG6"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010641"",""AKAP5 recruits PKA to ROBO2"")",12
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810161"",""HOXA3 chromatin is activated"")",Yes,27,1,RET signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8855617"",""2x p-5Y-RET:GDNF:GFRA complexes binds DOK1,DOK2,DOK4,DOK5,DOK6"")",Yes,"[30, 49, 50]",3,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614271"",""Autocleavage of ADGRG6"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010645"",""AKAP5 recruits PPP3CB (PP2BB) to ROBO2"")",12
Developmental Biology,Regulation of expression of SLITs and ROBOs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9011145"",""LHX2,(LHX9) binds the ROBO3 gene promoter"")",Yes,28,4,Transcriptional regulation of white adipocyte differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-560498"",""Expression of Lipoprotein lipase (LPL)"")",Yes,"[8, 10, 12, 21, 24, 33, 36, 38, 39, 43, 59]",11,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614271"",""Autocleavage of ADGRG6"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010231"",""ROBO1 binds FLRT3"")",12
Developmental Biology,EPHA-mediated growth cone collapse,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928602"",""NGEF binds EPHA"")",Yes,29,3,Regulation of gene expression in beta cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211350"",""PDX1-dependent synthesis of NKX6-1 protein"")",Yes,[47],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614271"",""Autocleavage of ADGRG6"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373715"",""DCC interaction with ROBO1"")",12
Developmental Biology,RET signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8871227"",""RET binds GFRA4"")",Yes,30,11,Formation of the cornified envelope,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8850794"",""SPINK6 binds KLK5"")",Yes,[55],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614271"",""Autocleavage of ADGRG6"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010643"",""AKAP5 recruits PKC to ROBO2"")",12
Developmental Biology,AKT-mediated inactivation of FOXO1A,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211164"",""AKT phosphorylates FOXO1A"")",Yes,31,1,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2972966"",""POU5F1 (OCT4), SOX2, NANOG bind the HHEX promoter"")",Yes,[45],1,,,
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810139"",""HOXA2 chromatin is activated"")",Yes,32,7,Regulation of gene expression in early pancreatic precursor cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210767"",""HNF6-dependent synthesis of ONECUT3 protein during early pancreas specification"")",No,-,-,,,
Developmental Biology,EGR2 and SOX10-mediated initiation of Schwann cell myelination,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613648"",""SOX10 dimer binds the POU3F1 promoter"")",Yes,33,35,Neurofascin interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-437243"",""Doublecortin binds phosphorylated neurofascin"")",No,-,-,,,
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617445"",""HOXD1 chromatin is activated"")",Yes,34,1,RET signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8854905"",""p-5Y-GAB in the RET-GRB2-GAB complexes binds p85-PI3K"")",Yes,"[30, 49, 50]",3,,,
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617887"",""HOXC4 chromatin is activated"")",Yes,35,1,Role of second messengers in netrin-1 signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-622390"",""Activation of TRPC channels by Netrin-1"")",Yes,[2],1,,,
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617431"",""Retinoic acid activates HOXA1 chromatin"")",Yes,36,26,Recycling pathway of L1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373736"",""Shootin-1 links L1 and retrograde actin flow"")",No,-,-,,,
Developmental Biology,Reelin signalling pathway,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8854466"",""VLDLR binds RELN"")",Yes,37,1,CREB phosphorylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-199935"",""MSK1 activates CREB"")",Yes,[46],1,,,
Developmental Biology,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617217"",""Phospho-CREB1 binds the promoter of the CEBPB gene"")",Yes,38,17,DCC mediated attractive signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418874"",""Recruitment and activation of N-WASP by Cdc42"")",Yes,"[2, 3, 11, 25]",4,,,
Developmental Biology,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622386"",""LEF1 binds the promoter of the CEBPA gene"")",Yes,39,17,L1CAM interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-443784"",""Cis-heterodimerization of L1 and Contactin-1/F3/F11"")",No,-,-,,,
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617650"",""HOXD3 chromatin is activated"")",Yes,40,1,Recycling pathway of L1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-443783"",""Interaction of NUMB with L1"")",No,-,-,,,
Developmental Biology,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9618586"",""E2F1 binds the promoter of the MYC gene"")",Yes,41,1,CRMPs in Sema3A signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-399947"",""Tyrosine phosphorylation of CRMPs by Fes"")",No,-,-,,,
Developmental Biology,RHO GTPases Activate ROCKs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9680443"",""ROCK1,2 bind ROCKi"")",Yes,42,3,Myogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-448963"",""Interaction of MyoD:E protein with MEF2"")",Yes,[51],1,,,
Developmental Biology,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617194"",""Phospho-STAT3 binds the promoter of the CEBPB gene"")",Yes,43,17,Formation of the cornified envelope,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8850831"",""KLK5 cleaves and activates KLK8"")",Yes,[55],1,,,
Developmental Biology,Transcriptional regulation of testis differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9692250"",""WT1, NR5A1 (SF1), GATA4, ZFPM2 bind the SRY gene"")",Yes,44,5,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-452515"",""Expression of STAT3"")",Yes,[45],1,,,
Developmental Biology,Transcriptional regulation of pluripotent stem cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-480301"",""Expression of EPAS1 (HIF2A)"")",Yes,45,24,Signal transduction by L1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445069"",""L1-EGFR trans-heterodimerization"")",No,-,-,,,
Developmental Biology,ERK/MAPK targets,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-198756"",""ERK1/2 phosphorylates MSK1"")",Yes,46,1,Transcriptional regulation of white adipocyte differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-560493"",""Expression of Perilipin (PLIN)"")",Yes,"[8, 10, 12, 21, 24, 33, 36, 38, 39, 43, 59]",11,,,
Developmental Biology,Regulation of gene expression in beta cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211272"",""FOXOA2-, MAFA-, and PAX6-dependent synthesis of PDX1 protein"")",Yes,47,6,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9634430"",""IL6R gene expression is enhanced by CEBPA"")",Yes,"[8, 10, 12, 21, 24, 33, 36, 38, 39, 43, 59]",11,,,
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810158"",""HOXB3 chromatin is activated"")",Yes,48,9,Ephrin signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4093329"",""EFNBs bind SDCBP"")",No,-,-,,,
Developmental Biology,RET signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8871226"",""RET binds GFRA1,GFRA2"")",Yes,49,11,NCAM1 interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-525833"",""NCAM1 interacts with T- and L-type VDCC"")",Yes,[19],1,,,
Developmental Biology,RET signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8853745"",""RET binds GFRA1,GFRA3"")",Yes,50,11,Formation of the cornified envelope,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6814764"",""Plasma membrane resorption"")",Yes,"[9, 16, 26, 18, 58]",5,,,
Developmental Biology,Myogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-375138"",""CDO binds BOC"")",Yes,51,2,RET signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8854899"",""2x p-5Y-RET:GDNF:GFRA complexes bind GRB2-1:SOS1"")",Yes,"[30, 49, 50]",3,,,
Developmental Biology,NOTCH1 Intracellular Domain Regulates Transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1980047"",""NOTCH1 stimulates HES1 transcription"")",Yes,52,4,Regulation of gene expression in beta cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211301"",""PDX1-dependent synthesis of IAPP protein"")",Yes,[47],1,,,
Developmental Biology,Netrin-1 signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374662"",""Translocation of Ezrin to plasma membrane"")",Yes,53,1,Reelin signalling pathway,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8855237"",""FYN phosphorylates DAB1 in RELN:VLDLR:DAB1:SH3KBP1"")",Yes,[37],1,,,
Developmental Biology,CRMPs in Sema3A signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-399931"",""Activation of Fyn"")",Yes,54,1,Regulation of gene expression in early pancreatic precursor cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210788"",""HNF1B- and FGF10-dependent synthesis of PTF1A protein"")",No,-,-,,,
Developmental Biology,Formation of the cornified envelope,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8849826"",""ST14 hydrolyzes and activates KLK5"")",Yes,55,4,Recycling pathway of L1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374696"",""Phosphorylation of L1 by p90rsk"")",No,-,-,,,
Developmental Biology,NCAM1 interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-375149"",""Interaction of NCAM1 with GFRalpha-1"")",Yes,56,1,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617879"",""HOXA4 mRNA is translated"")",Yes,[24],1,,,
