PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID
Gene expression (Transcription),Regulation of RUNX2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8985293"",""NKX3-2 binds RUNX2 gene promoter"")",Yes,11,Activation of NOXA and translocation to mitochondria,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-140214"",""TP53 stimulates PMAIP1 (NOXA) expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),Transcriptional Regulation by E2F6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9007447"",""E2F6 forms the PRC1L4 complex"")",Yes,12,PI5P Regulates TP53 Acetylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8877692"",""PIN1 binds phosphorylated PIP4K2B"")",Yes,"[31, 32, 59, 63, 65]"
Gene expression (Transcription),Transcriptional Regulation by VENTX,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8853920"",""VENTX binds the CDKN2A gene"")",Yes,13,RUNX3 regulates WNT signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8951443"",""Expression of CCND1 is stimulated by CTNNB1:TCF4,LEF1"")",No,-
Gene expression (Transcription),MicroRNA (miRNA) biogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-203901"",""Pol II mediated transcription of microRNA genes"")",Yes,14,Post-transcriptional silencing by small RNAs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-426520"",""Endonucleolytic RISC hydrolyzes target RNAs"")",Yes,[46]
Gene expression (Transcription),PIWI-interacting RNA (piRNA) biogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5601926"",""RNA polymerase II polymerizes primary piRNA transcript"")",Yes,15,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8864936"",""VEGFA gene expression is inhibited by the TFAP2A homodimer"")",Yes,[26]
Gene expression (Transcription),SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5252001"",""ATP1B4 binds SNW1"")",Yes,17,TFAP2 (AP-2) family regulates transcription of cell cycle factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8865256"",""CDKN1A gene expression is stimulated by TFAP2A and repressed by TFAP2C"")",Yes,"[4, 10, 11, 19, 23, 25, 26, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),RNA polymerase II transcribes snRNA genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6807496"",""POU2F1 (OCT1) or POU2F2 (OCT2), SP1, and ZNF143 (STAF) bind the DSE of snRNA gene (U1, U2, U4, U4atac, U5, U11, U12)"")",Yes,16,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8878054"",""HIPK2 phosphorylates RUNX1"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),YAP1- and WWTR1 (TAZ)-stimulated gene expression,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2032775"",""YAP1 binds TEAD1"")",Yes,18,Transcriptional Regulation by E2F6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8954110"",""E2F6:TFDP1:EPC1 binds the PRC2 complex"")",Yes,[69]
Gene expression (Transcription),Regulation of RUNX2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9007759"",""MSX2 binds RUNX2 gene promoter"")",Yes,19,YAP1- and WWTR1 (TAZ)-stimulated gene expression,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1989766"",""Expression of CTGF"")",Yes,"[18, 52]"
Gene expression (Transcription),FOXO-mediated transcription of cell death genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622630"",""FOXO3,FOXO4,(FOXO1) bind BCL6 gene promoter"")",Yes,20,Downregulation of SMAD2/3:SMAD4 transcriptional activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2176503"",""Degradation of SMAD2/3:SMAD4 complex"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),FOXO-mediated transcription of cell cycle genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9624976"",""FOXO1,FOXO3 binds CAV1 gene promoter"")",Yes,21,Regulation of TP53 Activity through Phosphorylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6805399"",""TAF1 phosphorylates TP53"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),RUNX1 regulates transcription of genes involved in differentiation of HSCs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8957241"",""TP73 tetramer translocates to the nucleus"")",Yes,22,RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8877421"",""CTLA4 gene expression is stimulated by FOXP3 and inhibited by RUNX1"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),Regulation of MECP2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9615490"",""p-S133-CREB1 binds MIR132 gene promoter"")",Yes,23,Regulation of TP53 Activity through Phosphorylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3239014"",""MAPKAPK5 phosphorylates TP53"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),FOXO-mediated transcription of cell death genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622668"",""FOXO3,(FOXO1) bind BBC3 gene first intron"")",Yes,24,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8937989"",""RUNX1 binds PRC1 complexes"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),Transcriptional Regulation by VENTX,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8853915"",""VENTX binds the TP53 gene promoter"")",Yes,25,RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8938108"",""SERPINB13 binds cathepsin L"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),Negative regulation of activity of TFAP2 (AP-2) family transcription factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8864569"",""WWOX binds TFAP2C"")",Yes,26,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186780"",""Degradation of Ub-SMAD7"")",Yes,"[4, 10, 11, 17, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),TP53 Regulates Metabolic Genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163214"",""Electron transfer from reduced cytochrome c to molecular oxygen"")",Yes,27,Transcriptional Regulation by E2F6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9007646"",""CBX5 gene expression is inhibited by E2F6"")",Yes,"[39, 69]"
Gene expression (Transcription),TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8953037"",""E2F8 forms homodimers"")",Yes,28,Regulation of TP53 Activity through Acetylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6805640"",""AKT phosphorylates KAT6A"")",Yes,"[31, 32, 59, 63, 65]"
Gene expression (Transcription),YAP1- and WWTR1 (TAZ)-stimulated gene expression,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2032794"",""WWTR1 (TAZ), TBX5, and PCAF form a complex"")",Yes,29,TP53 Regulates Transcription of DNA Repair Genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6797712"",""CDK12 stimulates expression of DNA repair genes"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),FOXO-mediated transcription of cell death genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9621116"",""FOXO1,FOXO3 bind CITED2 gene promoter"")",Yes,30,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8938338"",""NFE2 gene expression is stimulated by RUNX1:CBFB"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),RNA Polymerase II Pre-transcription Events,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112435"",""Formation of Elongin BC complex"")",Yes,31,TP53 Regulates Transcription of Death Receptors and Ligands,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6800001"",""TP53 family members stimulate FAS gene expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),RNA Polymerase II Pre-transcription Events,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112434"",""Formation of DSIF complex "")",Yes,32,RUNX3 regulates CDKN1A transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8878130"",""CDKN1A (p21) gene expression is positively regulated by RUNX3 and ZFHX3"")",No,-
Gene expression (Transcription),RNA Polymerase III Transcription Initiation From Type 2 Promoter,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-83788"",""Binding of TFIIIC to Type 2 promoter"")",No,-,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6800816"",""TP53 or TP63 stimulates PERP gene expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9624611"",""FOXO1,FOXO3,(FOXO4) bind FBXO32 gene promoter"")",Yes,33,Downregulation of SMAD2/3:SMAD4 transcriptional activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173545"",""Ubiquitin-dependent degradation of the SMAD complex terminates TGF-beta signaling"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),TP53 Regulates Metabolic Genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5632393"",""TP63/TP53 bind the DDIT4 gene promoter"")",Yes,34,RUNX2 regulates bone development,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8938356"",""RMB14 binds RUNX2"")",Yes,"[4, 10, 11, 19, 44, 45, 49, 50, 68]"
Gene expression (Transcription),RNA Polymerase I Transcription Initiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73729"",""Formation of SL1"")",Yes,35,FOXO-mediated transcription of cell cycle genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9620837"",""CCNG2 gene expression is stimulated by FOXO1,FOXO3,(FOXO4)"")",Yes,[41]
Gene expression (Transcription),"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9615015"",""FOXO6 binds PLXNA4 gene"")",Yes,36,TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6803917"",""TP53 stimulates RGCC expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),FOXO-mediated transcription of cell cycle genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617852"",""FOXO3,FOXO4,(FOXO1) bind GADD45A gene promoter"")",Yes,37,TP53 Regulates Metabolic Genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5632892"",""TP53 stimulates transcription of RRM2B gene"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),Senescence-Associated Secretory Phenotype (SASP),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3857305"",""Activated CEBPB and NFKB complex bind IL6 promoter"")",Yes,38,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6791291"",""TP53 stimulates BID gene expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),Transcriptional Regulation by E2F6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8954056"",""E2F6 binds TFDP2"")",Yes,39,Cyclin E associated events during G1/S transition ,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-69562"",""Inactivation of Cyclin E:Cdk2 complexes by p27/p21"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 67, 68]"
Gene expression (Transcription),RNA Polymerase III Transcription Initiation From Type 3 Promoter,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-83791"",""Binding of SNAPc, Oct-1, and Staf to Type 3 Promoter"")",No,-,RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9006422"",""IFNG gene expression is stimulated by RUNX1 and inhibited by FOXP3"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),FOXO-mediated transcription of cell cycle genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9620828"",""FOXO1,FOXO3,(FOXO4) binds CCNG2 gene promoter"")",Yes,41,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6803875"",""SFN dimer binds CDK1 and CCNB1"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),TP53 Regulates Metabolic Genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-165179"",""Formation of TSC1:TSC2 complex"")",Yes,42,RUNX2 regulates chondrocyte maturation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8986294"",""RUNX2 binds GLI2"")",Yes,"[4, 10, 11, 19, 44, 45, 49, 50, 68]"
Gene expression (Transcription),Transcriptional Regulation by E2F6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9007561"",""E2F1 binds RAD51 gene promoter"")",Yes,43,TP53 Regulates Metabolic Genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5631903"",""SESN1,2,3 bind overoxidized PRDX1"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623415"",""FOXO1,FOXO3,FOXO4 bind IGFBP1 gene promoter"")",Yes,40,TP53 Regulates Transcription of DNA Repair Genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6806425"",""TP53 stimulates FANCC expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),Regulation of RUNX2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939929"",""ESRRA:PPARG1CA binds the RUNX2 gene promoter"")",Yes,44,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8937369"",""ATAD2 binds ESR1"")",Yes,[26]
Gene expression (Transcription),Regulation of RUNX2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8940032"",""TWIST1 binds the RUNX2 gene promoter"")",Yes,45,Regulation of MECP2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9006992"",""MECP2 is phosphorylated at S423"")",Yes,"[23, 31, 32, 59, 63, 65]"
Gene expression (Transcription),Small interfering RNA (siRNA) biogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-426464"",""Dicer cleaves double-stranded RNA to yield double-stranded siRNA"")",Yes,46,Transcriptional Regulation by MECP2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9022315"",""MECP2 binds DGCR8"")",Yes,"[23, 31, 32, 59, 63, 65]"
Gene expression (Transcription),AKT phosphorylates targets in the cytosol,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-198609"",""AKT phosphorylates TSC2, inhibiting it"")",Yes,47,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6803892"",""SFN dimer binds BAX"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),Mitochondrial transcription initiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-163310"",""TFAM binds to mitochondrial promoters"")",Yes,48,Transcriptional Regulation by E2F6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9007465"",""UXT gene expression is repressed by the PRC1L4 complex"")",Yes,[12]
Gene expression (Transcription),Regulation of RUNX2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9009085"",""DEXA:NR3C1 complex binds RUNX2 gene proximal promoter"")",Yes,49,RUNX1 regulates transcription of genes involved in interleukin signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8938981"",""IL3 gene transcription is stimulated by RUNX1 and ELF1"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),Regulation of RUNX2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939904"",""Activated ESR1 binds the RUNX2 gene promoter"")",Yes,50,MECP2 regulates neuronal receptors and channels,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9022186"",""SLC2A3 gene expression is stimulated by MECP2:CREB1 complex"")",Yes,[23]
Gene expression (Transcription),NOTCH1 Intracellular Domain Regulates Transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4396347"",""NOTCH1 Coactivator Complex binds HES1 promoter"")",Yes,51,FOXO-mediated transcription of cell death genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614669"",""FASLG gene expression is stimulated by FOXO1,FOXO3,(FOXO4)"")",Yes,[62]
Gene expression (Transcription),YAP1- and WWTR1 (TAZ)-stimulated gene expression,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2032781"",""WWTR1 (TAZ) binds TEAD"")",Yes,52,RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8877396"",""IL2RA (CD25) gene expression is stimulated by FOXP3 and inhibited by RUNX1"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),RNA Polymerase I Transcription Initiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73865"",""Assembly of RNA Polymerase I Holoenzyme (human)"")",Yes,53,Senescence-Associated Secretory Phenotype (SASP),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3790130"",""Regulation of IL6 transcription"")",Yes,"[3, 38]"
Gene expression (Transcription),Transcriptional Regulation by VENTX,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8853898"",""VENTX binds the CSF1R (M-CSF-R) gene promoter"")",Yes,54,Transcriptional Regulation by E2F6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9007539"",""CHEK1 phosphorylates E2F6"")",Yes,"[31, 32, 59, 63, 65]"
Gene expression (Transcription),FOXO-mediated transcription of cell death genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9621270"",""FOXO1,FOXO3 bind PINK1 gene promoter"")",Yes,55,G1/S-Specific Transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8961982"",""RRM2 gene expression is stimulated by E2F1 and inhibited by E2F6"")",Yes,"[39, 69]"
Gene expression (Transcription),"TET1,2,3 and TDG demethylate DNA","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5221014"",""TET1,2,3 oxidizes 5-methylcytosine to 5-hydroxymethylcytosine"")",Yes,56,FOXO-mediated transcription of cell death genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9621289"",""PINK1 gene expression is stimulated by FOXO1,FOXO3"")",Yes,[55]
Gene expression (Transcription),TP53 Regulates Transcription of Caspase Activators and Caspases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6798082"",""TP53 family members bind the CASP1 gene"")",Yes,57,RUNX1 regulates expression of components of tight junctions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8936007"",""CLDN5 (Claudin-5) gene expression is stimulated by RUNX1"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622737"",""FOXO3,FOXO6,(FOXO1) binds CAT gene promoter"")",Yes,58,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617833"",""SOD2 gene expression is stimulated by FOXO4, FOXO3 and FOXO1"")",No,-
Gene expression (Transcription),RNA Polymerase II Pre-transcription Events,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112430"",""Formation of P-TEFb complex"")",Yes,59,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623427"",""IGFBP1 gene expression is stimulated by FOXO1,FOXO3,FOXO4"")",Yes,[40]
Gene expression (Transcription),"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625091"",""FOXO1,FOXO3 bind ABCA6 gene promoter"")",Yes,60,TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6803946"",""TP53 stimulates PLAGL1 expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),PI5P Regulates TP53 Acetylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810392"",""TMEM55B translocates to the nucleus"")",Yes,61,RNA Polymerase II Transcription Elongation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112396"",""Separation of elongating transcript from template"")",Yes,"[31, 32, 59, 63, 65]"
Gene expression (Transcription),FOXO-mediated transcription of cell death genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614662"",""FOXO1,FOXO3,(FOXO4) bind FASLG gene promoter"")",Yes,62,Regulation of localization of FOXO transcription factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614423"",""14-3-3 proteins bind AKT-phosphorylated FOXO1"")",Yes,"[31, 32, 59, 63, 65]"
