PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Short_Path,High_Degree_Path,Low_High_Degree_Path
Extracellular matrix organization,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9679740"",""ITGA4:ITGB1 binds natalizumab"")",Yes,11,2,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-216045"",""Collagen type I binds integrin alpha11beta1"")",Yes,[12],1,,,
Extracellular matrix organization,Collagen biosynthesis and modifying enzymes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2089971"",""Secretion of collagens"")",Yes,12,47,Crosslinking of collagen fibrils,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395223"",""Formation of hydroxylysyl-pyridinoline cross-links"")",Yes,"[12, 15]",2,,,
Extracellular matrix organization,Activation of Matrix Metalloproteinases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1592316"",""Initial activation of proMMP1"")",Yes,13,4,Syndecan interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2750187"",""Syndecan-4:PI(4,5)P2 binds PKC alpha:DAG"")",Yes,[5],1,,,
Extracellular matrix organization,Activation of Matrix Metalloproteinases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1604712"",""Initial activation of proMMP7 by trypsin"")",Yes,14,1,ECM proteoglycans,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2466238"",""BGN binds Collagen types II, III"")",Yes,[12],1,,,
Extracellular matrix organization,Crosslinking of collagen fibrils,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2022141"",""Prolysyl oxidase activation"")",Yes,15,6,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2533965"",""NID1 degradation by MMP14, MMP15"")",Yes,[18],1,,,
Extracellular matrix organization,Collagen degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1564112"",""Collagen type VI degradation by MMP2,9,11"")",Yes,16,2,ECM proteoglycans,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2327909"",""DCN binds collagen I, II, III, VI fibrils"")",Yes,[12],1,,,
Extracellular matrix organization,Laminin interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2327803"",""Laminins bind Nidogens 1, 2"")",Yes,17,2,Crosslinking of collagen fibrils,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2243931"",""Formation of dehydro-lysinonorleucine cross-links"")",Yes,"[12, 15]",2,,,
Extracellular matrix organization,Activation of Matrix Metalloproteinases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1602466"",""Activation of MT-MMPs by FURIN"")",Yes,18,14,Extracellular matrix organization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2327733"",""FN1 binds Collagen types I-V, VII"")",Yes,[12],1,,,
Extracellular matrix organization,Collagen degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2168923"",""Collagen type XVIII endostatin release"")",Yes,19,2,ECM proteoglycans,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4086204"",""IBSP binds collagen type I"")",Yes,[12],1,,,
Extracellular matrix organization,Activation of Matrix Metalloproteinases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1602458"",""Activation of proMMP10"")",Yes,20,3,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4088264"",""Endostatin binds integrin alphaVbeta3, alphaVbeta5, alpha3beta1, alpha5beta1"")",Yes,[19],1,,,
Extracellular matrix organization,Elastic fibre formation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2129357"",""Fibrillin C-terminal processing"")",Yes,21,8,Collagen degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2537499"",""Gelatin degradation by MMP19"")",Yes,"[8, 9, 10, 12, 13, 16, 18, 20, 22]",9,,,
Extracellular matrix organization,Collagen degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2482180"",""Collagen type VIII degradation by ELANE"")",Yes,22,2,Assembly of collagen fibrils and other multimeric structures,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2213192"",""Hemidesmosome formation"")",Yes,[12],1,,,
Extracellular matrix organization,Collagen biosynthesis and modifying enzymes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2152276"",""Secretion of transmembrane collagens"")",Yes,23,6,Laminin interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4084501"",""Collagen type VII binds collagen type IV"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-202706"",""Integrin alpha4beta1 binds JAM2:JAM3"")",Yes,[11],1,,,
Extracellular matrix organization,,,,,-,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2514772"",""Fibrillin-1 degradation by MMP3, CTSK, CTSL2"")",Yes,[21],1,,,
Extracellular matrix organization,,,,,-,Collagen degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2168960"",""Collagen type XVII ectodomain shedding"")",Yes,[23],1,,,
Extracellular matrix organization,,,,,-,Laminin interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2426530"",""Laminins:Nidogens binds HSPG2"")",Yes,[17],1,,,
Extracellular matrix organization,,,,,-,Crosslinking of collagen fibrils,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2243926"",""Formation of histidino-hydroxylysinonorleucine cross-links"")",Yes,"[12, 15]",2,,,
Extracellular matrix organization,,,,,-,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8940554"",""MMP2 cleaves OPTC"")",Yes,"[12, 13]",2,,,
Extracellular matrix organization,,,,,-,Collagen degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1454757"",""Gelatin degradation by MMP1, 2, 3, 7, 8, 9, 12, 13"")",Yes,"[8, 9, 10, 12, 13, 16, 18, 20, 22]",9,,,
Extracellular matrix organization,,,,,-,Assembly of collagen fibrils and other multimeric structures,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2299620"",""Collagen XI cross-links with collagen II"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Collagen degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2167942"",""Collagen type XIII ectodomain shedding"")",Yes,[23],1,,,
Extracellular matrix organization,,,,,-,Collagen degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2473594"",""Collagen type II degradation by MMP15"")",Yes,"[12, 18]",2,,,
Extracellular matrix organization,,,,,-,ECM proteoglycans,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2424252"",""COMP binds collagen, fibronectin, aggrecan and matrilins"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Collagen degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2471621"",""Endostatin degradation by cathepsins"")",Yes,[19],1,,,
Extracellular matrix organization,,,,,-,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2485148"",""Fibrillin 1, 2,(3) degradation by MMP2, 9, 12 and 13"")",Yes,[21],1,,,
Extracellular matrix organization,,,,,-,Collagen degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2172405"",""Collagen type XXIII ectodomain shedding"")",Yes,[23],1,,,
Extracellular matrix organization,,,,,-,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4084903"",""Collagen types VI, IX bind integrin alpha10beta1"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Molecules associated with elastic fibres,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2396399"",""Fibrillins bind BMPs"")",Yes,[21],1,,,
Extracellular matrix organization,,,,,-,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2514790"",""Elastin degradation by MMP14"")",Yes,[18],1,,,
Extracellular matrix organization,,,,,-,Laminin interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2328145"",""Laminin-111 binds collagen type IV"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Molecules associated with elastic fibres,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2161282"",""Elastic fibres bind associated proteins"")",Yes,"[1, 21]",2,,,
Extracellular matrix organization,,,,,-,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3791155"",""Laminin-322 degradation by MMP14"")",Yes,[18],1,,,
Extracellular matrix organization,,,,,-,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2327695"",""Collagen types III, IV, V, VI, VIII, IX, XVI bind integrins alpha1beta1 and alpha2beta1"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Elastic fibre formation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2328037"",""Fibrillin-1 binds integrins"")",Yes,[21],1,,,
Extracellular matrix organization,,,,,-,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2514831"",""Fibrillin-1 degradation by MMP14"")",Yes,"[18, 21]",2,,,
Extracellular matrix organization,,,,,-,ECM proteoglycans,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2396370"",""VTN binds collagens II, III and V"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Collagen degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2172433"",""Collagen type XIX degradation"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-216043"",""Collagen type II binds integrin alpha10beta1"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2484965"",""Collagen type XIII binds Integrin alpha1beta1"")",Yes,[23],1,,,
Extracellular matrix organization,,,,,-,Anchoring fibril formation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2396234"",""Collagen type VII binds laminin-322 and collagen IV"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Crosslinking of collagen fibrils,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2559639"",""Collagen type IV sulfilimine cross-linking by peroxidasin"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Crosslinking of collagen fibrils,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395324"",""Formation of hydroxylysyl-pyrrole cross-links"")",Yes,"[12, 15]",2,,,
Extracellular matrix organization,,,,,-,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2533874"",""Laminin-511 degradation by MMP14"")",Yes,[18],1,,,
Extracellular matrix organization,,,,,-,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2534240"",""HSPG2 (perlecan) degradation by MMP14, MMP15"")",Yes,[18],1,,,
Extracellular matrix organization,,,,,-,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-114563"",""Collagen type I binds integrin alpha1beta1, alpha2beta1, alpha10beta1"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Assembly of collagen fibrils and other multimeric structures,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2213210"",""Collagen IX is cross-linked to the surface of collagen type II fibrils"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Non-integrin membrane-ECM interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2465890"",""DDR2 binds collagen type I, II, III, V, X fibrils"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Collagen biosynthesis and modifying enzymes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2022073"",""Procollagen triple helix formation"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Crosslinking of collagen fibrils,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2250301"",""Formation of lysyl-pyrrole cross-links"")",Yes,"[12, 15]",2,,,
Extracellular matrix organization,,,,,-,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3828025"",""DCN (decorin) degradation by MMP14"")",Yes,[18],1,,,
Extracellular matrix organization,,,,,-,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8940561"",""MMP7 cleaves OPTC"")",Yes,"[4, 14]",2,,,
Extracellular matrix organization,,,,,-,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-216040"",""Collagen type IV networks bind integrins alpha1beta1, alpha2beta1"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Assembly of collagen fibrils and other multimeric structures,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2213205"",""Type XII and XIV collagens associate with type I and type II fibrils."")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Collagen degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2473584"",""Collagen type III degradation by MMP15"")",Yes,"[12, 18]",2,,,
Extracellular matrix organization,,,,,-,ECM proteoglycans,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2466106"",""BGN binds Collagen types I, VI, (IX)"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Crosslinking of collagen fibrils,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2395322"",""Formation of lysyl-pyridinoline cross-links"")",Yes,"[12, 15]",2,,,
Extracellular matrix organization,,,,,-,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2470555"",""Collagen type X binds Integrin alpha2beta1"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Molecules associated with elastic fibres,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2328033"",""Fibrillin-1 binds latent TGF-beta"")",Yes,[21],1,,,
Extracellular matrix organization,,,,,-,Syndecan interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2731075"",""Syndecan-1 binds collagen types I, III, V"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Activation of Matrix Metalloproteinases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1604368"",""Autocatalytic activation of bound proMMP2"")",Yes,[18],1,,,
Extracellular matrix organization,,,,,-,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4086223"",""Collagen type IX binds integrin alpha11beta1"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Non-integrin membrane-ECM interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2327738"",""DDR1 binds collagen type I, II, III, IV, V, XI fibrils"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Fibronectin matrix formation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2327746"",""FN1 aggregation"")",Yes,[3],1,,,
Extracellular matrix organization,,,,,-,Laminin interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2426450"",""Laminins:Nidogens binds collagen type IV networks"")",Yes,"[12, 17]",2,,,
Extracellular matrix organization,,,,,-,Basigin interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-375135"",""Basigin binds Matrix metalloproteinase-1"")",Yes,[13],1,,,
Extracellular matrix organization,,,,,-,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4086216"",""Collagen type VII binds integrin alpha2beta1"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Integrin cell surface interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4084910"",""Collagen type II binds integrin alpha2beta1, alpha1beta1, alpha11beta1"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Assembly of collagen fibrils and other multimeric structures,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2213208"",""Type X collagen associates with collagen type II fibrils"")",Yes,[12],1,,,
Extracellular matrix organization,,,,,-,Degradation of the extracellular matrix,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8942302"",""MMP13 cleaves OPTC"")",Yes,"[2, 7, 12, 18]",4,,,
