PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,StartPoint_Count,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID,EndPoint_Count,Longest_Short_Path,High_Degree_Path,Low_High_Degree_Path
Developmental Biology,Regulation of gene expression in beta cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-211272"",""FOXOA2-, MAFA-, and PAX6-dependent synthesis of PDX1 protein"")",Yes,11,6,Regulation of commissural axon pathfinding by SLIT and ROBO,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373715"",""DCC interaction with ROBO1"")",Yes,"[2, 6, 9, 10, 19, 36, 39, 41]",8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928598"",""Recruitment of p190RhoGEF to p-FAK"")",,
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617445"",""HOXD1 chromatin is activated"")",Yes,12,1,CRMPs in Sema3A signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-399951"",""Phosphorylation of CRMPs by GSK3beta"")",Yes,[40],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928592"",""p190RhoGEF exchanges GTP for GDP on RHOA, activating it"")",,
Developmental Biology,EPH-ephrin mediated repulsion of cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4093327"",""EPHA binds TIAM1"")",Yes,13,6,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617855"",""HOXC4 mRNA is translated"")",Yes,[27],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928576"",""RHOA:GTP binds ROCK, activating it"")",,
Developmental Biology,Regulation of expression of SLITs and ROBOs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9014587"",""Transcription of ROBO3.2 mRNA"")",Yes,14,1,Formation of the cornified envelope,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8850794"",""SPINK6 binds KLK5"")",Yes,[55],1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928577"",""ROCK phosphorylates LIMK1,2"")",,
Developmental Biology,Transcriptional regulation of white adipocyte differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-977392"",""Expression of CEBPD"")",Yes,15,17,Signaling by ROBO receptors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010231"",""ROBO1 binds FLRT3"")",Yes,"[2, 9, 10, 19, 36, 39, 41]",7,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-419645"",""Dimerization of LIMK1 by Hsp90"")",,
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617650"",""HOXD3 chromatin is activated"")",Yes,16,1,NCAM signaling for neurite out-growth,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-419033"",""NCAM1 binds FGFR-1"")",Yes,"[4, 18]",2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-419644"",""Transphosphorylation of pLIMK1"")",,
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617862"",""Retinoic acid activates HOXA4 chromatin"")",Yes,17,18,Regulation of commissural axon pathfinding by SLIT and ROBO,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-428510"",""ROBO3.1 antagonizes ROBO1/ROBO2 to allow floor plate crossing"")",Yes,"[2, 9, 10, 19, 28, 36, 39, 41]",8,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-399950"",""Phosphorylation of cofilin by LIMK-1"")",,
Developmental Biology,NCAM signaling for neurite out-growth,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-391872"",""NCAM1 cis-homophilic interaction"")",Yes,18,3,Regulation of gene expression in early pancreatic precursor cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210788"",""HNF1B- and FGF10-dependent synthesis of PTF1A protein"")",No,-,-,,,
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810139"",""HOXA2 chromatin is activated"")",Yes,19,7,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2972965"",""POU5F1 (OCT4), SOX2, NANOG bind the TSC22D1 promoter"")",Yes,[47],1,,,
Developmental Biology,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622386"",""LEF1 binds the promoter of the CEBPA gene"")",Yes,20,17,Regulation of signaling by NODAL,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1181354"",""CERBERUS binds NODAL"")",Yes,[30],1,,,
Developmental Biology,Regulation of expression of SLITs and ROBOs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8986083"",""USP33 deubiquitinates ROBO1"")",Yes,21,14,CREB phosphorylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-199935"",""MSK1 activates CREB"")",Yes,[24],1,,,
Developmental Biology,Sema4D induced cell migration and growth-cone collapse,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373750"",""SEMA4D interacts with Plexin-B1:ErbB2"")",Yes,22,3,Regulation of commissural axon pathfinding by SLIT and ROBO,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010190"",""ROBO3 binds NELL2"")",Yes,"[14, 28]",2,,,
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617896"",""Retinoic acid activates HOXD4 chromatin"")",Yes,23,18,Regulation of gene expression in early pancreatic precursor cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210767"",""HNF6-dependent synthesis of ONECUT3 protein during early pancreas specification"")",No,-,-,,,
Developmental Biology,ERK/MAPK targets,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-198756"",""ERK1/2 phosphorylates MSK1"")",Yes,24,1,Signaling by ROBO receptors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010951"",""ROBO1 binds NRP1"")",Yes,"[2, 21]",2,,,
Developmental Biology,Sema4D mediated inhibition of cell attachment and migration,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-419646"",""SEMA4D interacts with Plexin-B1:Met"")",Yes,25,4,SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-399935"",""Inactivation of R-Ras by Sema3A-Plexin-A GAP activity"")",Yes,"[2, 6, 13, 21, 43, 47, 58]",7,,,
Developmental Biology,Netrin mediated repulsion signals,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373751"",""UNC-5 binds Netrin-1"")",Yes,26,1,NCAM1 interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-525833"",""NCAM1 interacts with T- and L-type VDCC"")",Yes,[18],1,,,
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617887"",""HOXC4 chromatin is activated"")",Yes,27,1,RET signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8855564"",""2x p-5Y-RET:GDNF:GFRA complexes bind FRS2"")",Yes,"[31, 46, 49]",3,,,
Developmental Biology,Regulation of expression of SLITs and ROBOs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9011145"",""LHX2,(LHX9) binds the ROBO3 gene promoter"")",Yes,28,4,Signaling by ROBO receptors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8986258"",""SLIT2:ROBO1 binds CXCR4"")",Yes,"[2, 6, 21]",3,,,
Developmental Biology,Transcriptional regulation of testis differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9692250"",""WT1, NR5A1 (SF1), GATA4, ZFPM2 bind the SRY gene"")",Yes,29,5,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9634429"",""CSF3R gene expression is enhanced by SPI1 (PU.1), CEBPA, and DEK"")",Yes,"[9, 15, 17, 20, 23, 34, 39, 41, 42, 51, 54]",11,,,
Developmental Biology,Signaling by NODAL,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1181152"",""Cleavage of NODAL proprotein"")",Yes,30,4,EGR2 and SOX10-mediated initiation of Schwann cell myelination,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614778"",""MAG gene expression"")",Yes,"[9, 39]",2,,,
Developmental Biology,RET signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8871227"",""RET binds GFRA4"")",Yes,31,11,EGR2 and SOX10-mediated initiation of Schwann cell myelination,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9615626"",""PMP22 gene expression"")",Yes,"[9, 39]",2,,,
Developmental Biology,Keratinization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6805546"",""Keratin type I binds keratin type II"")",Yes,33,2,RET signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8855617"",""2x p-5Y-RET:GDNF:GFRA complexes binds DOK1,DOK2,DOK4,DOK5,DOK6"")",Yes,"[31, 46, 49]",3,,,
Developmental Biology,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617194"",""Phospho-STAT3 binds the promoter of the CEBPB gene"")",Yes,34,17,EGR2 and SOX10-mediated initiation of Schwann cell myelination,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9621399"",""SCD5 gene expression"")",Yes,"[9, 39]",2,,,
Developmental Biology,DCC mediated attractive signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373711"",""DCC interaction with Netrin-1"")",Yes,35,6,DCC mediated attractive signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-418874"",""Recruitment and activation of N-WASP by Cdc42"")",Yes,"[2, 6, 21, 35]",4,,,
Developmental Biology,Regulation of expression of SLITs and ROBOs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9011077"",""LHX2 binds to ROBO2 gene locus"")",Yes,36,7,L1CAM interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-443780"",""Cis-heterodimerization of L1 and DM-GRASP/ALCAM/BEN"")",No,-,-,,,
Developmental Biology,Reelin signalling pathway,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8854466"",""VLDLR binds RELN"")",Yes,37,1,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-452750"",""Expression of FOXD3"")",Yes,[47],1,,,
Developmental Biology,Formation of the cornified envelope,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810843"",""Envoplakin binds periplakin"")",Yes,38,1,Formation of the cornified envelope,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6814764"",""Plasma membrane resorption"")",Yes,"[1, 33, 38, 50, 32]",5,,,
Developmental Biology,EGR2 and SOX10-mediated initiation of Schwann cell myelination,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614271"",""Autocleavage of ADGRG6"")",Yes,39,35,Transcriptional regulation of testis differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9692146"",""Expression of DHH in testis differentiation"")",Yes,[29],1,,,
Developmental Biology,CRMPs in Sema3A signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-399931"",""Activation of Fyn"")",Yes,40,1,Regulation of commissural axon pathfinding by SLIT and ROBO,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9011241"",""SRC phosphorylates ROBO3.1 in response to NTN1"")",Yes,"[28, 35]",2,,,
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617431"",""Retinoic acid activates HOXA1 chromatin"")",Yes,41,26,Signal transduction by L1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374686"",""L1 interaction with Integrins"")",No,-,-,,,
Developmental Biology,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617217"",""Phospho-CREB1 binds the promoter of the CEBPB gene"")",Yes,42,17,RET signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8855747"",""2x p-5Y-RET:GDNF:GFRA complexes bind SRC1, RAP1GAP"")",Yes,"[31, 46, 49]",3,,,
Developmental Biology,Signal transduction by L1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445085"",""Phosphorylation of VAV2"")",Yes,43,6,Transcriptional regulation of white adipocyte differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-560510"",""Expression of FABP4 (aP2)"")",Yes,"[9, 15, 17, 20, 23, 34, 39, 41, 42, 51, 54]",11,,,
Developmental Biology,DSCAM interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-376123"",""DSCAM associates with Rac1-GTP:pPAK1"")",Yes,44,2,Transcriptional regulation of white adipocyte differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-560493"",""Expression of Perilipin (PLIN)"")",Yes,"[9, 15, 17, 20, 23, 34, 39, 41, 42, 51, 54]",11,,,
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810159"",""HOXB2 chromatin is activated"")",Yes,45,1,Signal transduction by L1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-392752"",""Phosphorylation of L1 by CK-II"")",No,-,-,,,
Developmental Biology,RET signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8853745"",""RET binds GFRA1,GFRA3"")",Yes,46,11,Regulation of gene expression in early pancreatic precursor cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210773"",""PDX1-dependent synthesis of NR5A2 protein"")",Yes,[11],1,,,
Developmental Biology,Transcriptional regulation of pluripotent stem cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-480301"",""Expression of EPAS1 (HIF2A)"")",Yes,47,24,L1CAM interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-437234"",""Heat-Stable Antigen binds L1"")",No,-,-,,,
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810161"",""HOXA3 chromatin is activated"")",Yes,48,1,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2972952"",""POU5F1 (OCT4), NANOG bind the GATA6 promoter"")",Yes,[47],1,,,
Developmental Biology,RET signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8871226"",""RET binds GFRA1,GFRA2"")",Yes,49,11,ROBO receptors bind AKAP5,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010681"",""PKC phosphorylates ROBO3.1"")",Yes,[28],1,,,
Developmental Biology,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617067"",""All-trans retinoic acid binds RARA:RXRA at the promoter of the CEBPE gene"")",Yes,59,1,ROBO receptors bind AKAP5,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9010641"",""AKAP5 recruits PKA to ROBO2"")",Yes,"[9, 10, 19, 36, 39, 41]",6,,,
Developmental Biology,Formation of the cornified envelope,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810899"",""TGM1 and involucrin bind the plasma membrane"")",Yes,50,1,Recycling pathway of L1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-373736"",""Shootin-1 links L1 and retrograde actin flow"")",No,-,-,,,
Developmental Biology,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617859"",""Retinoic acid activates HOXB4 chromatin"")",Yes,51,18,Sema4D mediated inhibition of cell attachment and migration,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-416546"",""Inactivation of R-Ras by Sema4D-Plexin-B1 GAP activity"")",Yes,"[2, 6, 13, 21, 25, 43, 47, 58]",8,,,
Developmental Biology,Netrin-1 signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374662"",""Translocation of Ezrin to plasma membrane"")",Yes,52,1,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2972979"",""POU5F1 (OCT4), NANOG bind the CDX2 promoter"")",Yes,[47],1,,,
Developmental Biology,EPHA-mediated growth cone collapse,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928602"",""NGEF binds EPHA"")",Yes,53,3,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9634430"",""IL6R gene expression is enhanced by CEBPA"")",Yes,"[9, 15, 17, 20, 23, 34, 39, 41, 42, 51, 54]",11,,,
Developmental Biology,RUNX1 regulates transcription of genes involved in differentiation of HSCs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8865505"",""SPI1 (PU.1) gene transcription is stimulated by RUNX1:CBFB:KMT2A"")",Yes,54,17,Transcriptional regulation of testis differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9692297"",""DMRT1 binds the WNT4 gene"")",Yes,[29],1,,,
Developmental Biology,Formation of the cornified envelope,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8849826"",""ST14 hydrolyzes and activates KLK5"")",Yes,55,4,Transcriptional regulation of white adipocyte differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-560498"",""Expression of Lipoprotein lipase (LPL)"")",Yes,"[9, 15, 17, 20, 23, 34, 39, 41, 42, 51, 54]",11,,,
Developmental Biology,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9618586"",""E2F1 binds the promoter of the MYC gene"")",Yes,56,1,EPHB-mediated forward signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-4093339"",""p120-RasGAP activates GTP hydrolysis on RAS, inactivating it"")",Yes,"[47, 58]",2,,,
Developmental Biology,RHO GTPases Activate ROCKs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9680443"",""ROCK1,2 bind ROCKi"")",Yes,57,3,Signal transduction by L1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445069"",""L1-EGFR trans-heterodimerization"")",No,-,-,,,
Developmental Biology,EPH-ephrin mediated repulsion of cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928660"",""ADAM10 cleaves EFNAs"")",Yes,58,10,RHO GTPases Activate ROCKs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-419197"",""Myosin regulatory light chain phosphorylation by ROCK"")",Yes,"[22, 57]",2,,,
Developmental Biology,Formation of the cornified envelope,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8934819"",""Cytoplasmic proteases cleave Profilaggrin producing Filaggrin"")",Yes,32,1,DSCAM interactions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-451347"",""Activation of JNK by DSCAM"")",Yes,[44],1,,,
Developmental Biology,,,,,-,Keratinization,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6809663"",""Formation of hair keratin fibres"")",Yes,[33],1,,,
Developmental Biology,,,,,-,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9634446"",""GFI1 gene expression is enhanced by CEBPA"")",Yes,"[9, 15, 17, 20, 23, 34, 39, 41, 42, 51, 54]",11,,,
Developmental Biology,,,,,-,Transcriptional regulation of granulopoiesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9624120"",""CEBPA binds CDK2"")",Yes,"[9, 15, 17, 20, 23, 34, 39, 41, 42, 51, 54]",11,,,
Developmental Biology,,,,,-,Transcriptional regulation of white adipocyte differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-560472"",""Expression of Phosphoenolpyruvate carboxykinase 1 (PEPCK-C)"")",Yes,"[9, 15, 17, 20, 23, 34, 39, 41, 42, 51, 54]",11,,,
Developmental Biology,,,,,-,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2972966"",""POU5F1 (OCT4), SOX2, NANOG bind the HHEX promoter"")",Yes,[47],1,,,
Developmental Biology,,,,,-,Recycling pathway of L1,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-443783"",""Interaction of NUMB with L1"")",No,-,-,,,
Developmental Biology,,,,,-,EPHB-mediated forward signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3928620"",""PAK1 autophosphorylates"")",Yes,"[47, 58]",2,,,
Developmental Biology,,,,,-,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-452515"",""Expression of STAT3"")",Yes,[47],1,,,
Developmental Biology,,,,,-,Activation of anterior HOX genes in hindbrain development during early embryogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5617446"",""HOXD1 mRNA is translated"")",Yes,[12],1,,,
