First_Reaction,Second_Reaction,First Reaction,Second Reaction,Second Reaction Author
R-HSA-112155,R-HSA-112155,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""RNA Polymerase III Simple Start Sequence Initiation At Type 2 Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""RNA Polymerase III Simple Start Sequence Initiation At Type 2 Promoters"")","Geiduschek, EP"
R-HSA-112156,R-HSA-112149,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""RNA Polymerase III Simple Start Sequence Initiation At Type 3 Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112149"",""RNA Polymerase III Abortive Initiation At Type 2 Open Promoters"")","Geiduschek, EP"
R-HSA-112156,R-HSA-112055,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""RNA Polymerase III Simple Start Sequence Initiation At Type 3 Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112055"",""RNA Polymerase III Abortive Initiation At Type 1 Open Promoters"")","Geiduschek, EP"
R-HSA-112156,R-HSA-112054,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""RNA Polymerase III Simple Start Sequence Initiation At Type 3 Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112054"",""RNA Polymerase III Abortive Initiation At Type 3 Open Promoters"")","Geiduschek, EP"
R-HSA-112156,R-HSA-112156,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""RNA Polymerase III Simple Start Sequence Initiation At Type 3 Promoters"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""RNA Polymerase III Simple Start Sequence Initiation At Type 3 Promoters"")","Geiduschek, EP"
R-HSA-112381,R-HSA-6814885,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112381"",""Hyperphosphorylation (Ser2) of RNA Pol II CTD by P-TEFb complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6814885"",""CBCAP complex binds 7-methylguanosine cap of snRNA"")","May, B"
R-HSA-112383,R-HSA-109639,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109639"",""Formation of the closed pre-initiation complex"")","Reinberg, D"
R-HSA-112383,R-HSA-112383,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")","Gopinathrao, G"
R-HSA-112383,R-HSA-112379,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112379"",""Recruitment of elongation factors to form elongation complex"")",
R-HSA-112383,R-HSA-9613494,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613494"",""Unwinding of DNA for the Nascent Transcript: Second Transition"")","Timmers, HTM"
R-HSA-112383,R-HSA-9613497,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613497"",""Unwinding DNA for the nascent transcript"")","Timmers, HTM"
R-HSA-112383,R-HSA-75949,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75949"",""RNA Polymerase II Promoter Opening: First Transition"")","Timmers, HTM"
R-HSA-112383,R-HSA-73758,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73758"",""Recruitment of Active RNA Polymerase I to SL1:phos.UBF-1:rDNA Promoter"")","Comai, L"
R-HSA-112385,R-HSA-109639,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""Addition of nucleotides leads to transcript elongation"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109639"",""Formation of the closed pre-initiation complex"")","Reinberg, D"
R-HSA-112385,R-HSA-112383,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""Addition of nucleotides leads to transcript elongation"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")","Gopinathrao, G"
R-HSA-112385,R-HSA-112379,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""Addition of nucleotides leads to transcript elongation"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112379"",""Recruitment of elongation factors to form elongation complex"")",
R-HSA-112385,R-HSA-9613494,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""Addition of nucleotides leads to transcript elongation"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613494"",""Unwinding of DNA for the Nascent Transcript: Second Transition"")","Timmers, HTM"
R-HSA-112385,R-HSA-9613497,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""Addition of nucleotides leads to transcript elongation"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613497"",""Unwinding DNA for the nascent transcript"")","Timmers, HTM"
R-HSA-112385,R-HSA-75949,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""Addition of nucleotides leads to transcript elongation"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75949"",""RNA Polymerase II Promoter Opening: First Transition"")","Timmers, HTM"
R-HSA-112385,R-HSA-73758,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""Addition of nucleotides leads to transcript elongation"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-73758"",""Recruitment of Active RNA Polymerase I to SL1:phos.UBF-1:rDNA Promoter"")","Comai, L"
R-HSA-112392,R-HSA-113411,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112392"",""Resumption of elongation after recovery from pausing"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113411"",""2-4 nt.backtracking of Pol II complex on the template leading to elongation pausing"")","Gopinathrao, G"
R-HSA-112392,R-HSA-113414,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112392"",""Resumption of elongation after recovery from pausing"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113414"",""7-14 nt. Backtracking of Pol II complex on the template leading to elongation arrest"")","Gopinathrao, G"
R-HSA-112392,R-HSA-113429,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112392"",""Resumption of elongation after recovery from pausing"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")",
R-HSA-112429,R-HSA-6805061,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112429"",""Formation of FACT complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6805061"",""CK2 binds FACT"")","Orlic-Milacic, M"
R-HSA-112430,R-HSA-6810234,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112430"",""Formation of P-TEFb complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810234"",""General transcription factors bind SNAPc:POU2F1:ZNF143:snRNA gene"")","May, B"
R-HSA-112434,R-HSA-6814549,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112434"",""Formation of DSIF complex "")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6814549"",""Pre-snRNA transcript initiation, Integrator binding, LEC binding"")","May, B"
R-HSA-113402,R-HSA-112385,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""Addition of nucleotides leads to transcript elongation"")","Gopinathrao, G"
R-HSA-113402,R-HSA-113412,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")",
R-HSA-113402,R-HSA-113402,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","Gopinathrao, G"
R-HSA-113402,R-HSA-75861,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75861"",""NTP Binds Active Site of RNA Polymerase II"")",
R-HSA-113402,R-HSA-75873,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75873"",""Addition of Nucleotides 5 through 9 on the growing Transcript"")","Timmers, HTM"
R-HSA-113402,R-HSA-76576,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-76576"",""Addition of nucleotides 10 and 11 on the growing transcript: Third Transition"")","Timmers, HTM"
R-HSA-113402,R-HSA-111264,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111264"",""Addition of nucleotides between position +11 and +30"")","Timmers, HTM"
R-HSA-113402,R-HSA-9613497,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613497"",""Unwinding DNA for the nascent transcript"")","Timmers, HTM"
R-HSA-113402,R-HSA-75850,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75850"",""Addition of the third nucleotide on the nascent transcript"")","Timmers, HTM"
R-HSA-113402,R-HSA-75869,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75869"",""Addition of the fourth nucleotide on the Nascent Transcript: Second Transition"")","Timmers, HTM"
R-HSA-113402,R-HSA-74986,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74986"",""Elongation of pre-rRNA transcript"")",
R-HSA-113402,R-HSA-113446,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113446"",""Initiation of RNA Polymerase III Productive Transcription"")","Geiduschek, EP"
R-HSA-113402,R-HSA-113705,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113705"",""RNA Polymerase III Productive Transcription"")","Geiduschek, EP"
R-HSA-113402,R-HSA-113451,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113451"",""Resumption of RNA Polymerase III Productive Transcription"")","Geiduschek, EP"
R-HSA-113402,R-HSA-112153,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""RNA Polymerase III Simple Start Sequence Initiation At Type 1 Promoters"")","Geiduschek, EP"
R-HSA-113402,R-HSA-112155,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""RNA Polymerase III Simple Start Sequence Initiation At Type 2 Promoters"")","Geiduschek, EP"
R-HSA-113402,R-HSA-112156,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""RNA Polymerase III Simple Start Sequence Initiation At Type 3 Promoters"")","Geiduschek, EP"
R-HSA-113412,R-HSA-112385,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""Addition of nucleotides leads to transcript elongation"")","Gopinathrao, G"
R-HSA-113412,R-HSA-113412,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")",
R-HSA-113412,R-HSA-113402,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","Gopinathrao, G"
R-HSA-113412,R-HSA-75861,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75861"",""NTP Binds Active Site of RNA Polymerase II"")",
R-HSA-113412,R-HSA-75873,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75873"",""Addition of Nucleotides 5 through 9 on the growing Transcript"")","Timmers, HTM"
R-HSA-113412,R-HSA-76576,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-76576"",""Addition of nucleotides 10 and 11 on the growing transcript: Third Transition"")","Timmers, HTM"
R-HSA-113412,R-HSA-111264,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111264"",""Addition of nucleotides between position +11 and +30"")","Timmers, HTM"
R-HSA-113412,R-HSA-9613497,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613497"",""Unwinding DNA for the nascent transcript"")","Timmers, HTM"
R-HSA-113412,R-HSA-75850,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75850"",""Addition of the third nucleotide on the nascent transcript"")","Timmers, HTM"
R-HSA-113412,R-HSA-75869,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75869"",""Addition of the fourth nucleotide on the Nascent Transcript: Second Transition"")","Timmers, HTM"
R-HSA-113412,R-HSA-74986,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74986"",""Elongation of pre-rRNA transcript"")",
R-HSA-113412,R-HSA-113446,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113446"",""Initiation of RNA Polymerase III Productive Transcription"")","Geiduschek, EP"
R-HSA-113412,R-HSA-113705,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113705"",""RNA Polymerase III Productive Transcription"")","Geiduschek, EP"
R-HSA-113412,R-HSA-113451,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113451"",""Resumption of RNA Polymerase III Productive Transcription"")","Geiduschek, EP"
R-HSA-113412,R-HSA-112153,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112153"",""RNA Polymerase III Simple Start Sequence Initiation At Type 1 Promoters"")","Geiduschek, EP"
R-HSA-113412,R-HSA-112155,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112155"",""RNA Polymerase III Simple Start Sequence Initiation At Type 2 Promoters"")","Geiduschek, EP"
R-HSA-113412,R-HSA-112156,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112156"",""RNA Polymerase III Simple Start Sequence Initiation At Type 3 Promoters"")","Geiduschek, EP"
R-HSA-113413,R-HSA-113411,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113413"",""TFIIS-mediated recovery of elongation from arrest"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113411"",""2-4 nt.backtracking of Pol II complex on the template leading to elongation pausing"")","Gopinathrao, G"
R-HSA-113413,R-HSA-113414,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113413"",""TFIIS-mediated recovery of elongation from arrest"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113414"",""7-14 nt. Backtracking of Pol II complex on the template leading to elongation arrest"")","Gopinathrao, G"
R-HSA-113413,R-HSA-113429,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113413"",""TFIIS-mediated recovery of elongation from arrest"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")",
R-HSA-113429,R-HSA-112385,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112385"",""Addition of nucleotides leads to transcript elongation"")","Gopinathrao, G"
R-HSA-113429,R-HSA-113412,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113412"",""Pol II elongation complex moves on the template as transcript elongates"")",
R-HSA-113429,R-HSA-113402,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113402"",""Formation of DSIF:NELF:early elongation complex"")","Gopinathrao, G"
R-HSA-113429,R-HSA-112383,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112383"",""Hypophosphorylation of RNA Pol II CTD by FCP1P protein"")","Gopinathrao, G"
R-HSA-113429,R-HSA-113407,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113407"",""DSIF complex binds to RNA Pol II (hypophosphorylated)"")","Gopinathrao, G"
R-HSA-113429,R-HSA-112379,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112379"",""Recruitment of elongation factors to form elongation complex"")",
R-HSA-113429,R-HSA-112381,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112381"",""Hyperphosphorylation (Ser2) of RNA Pol II CTD by P-TEFb complex"")","Gopinathrao, G"
R-HSA-113429,R-HSA-6814549,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6814549"",""Pre-snRNA transcript initiation, Integrator binding, LEC binding"")","May, B"
R-HSA-113429,R-HSA-6810234,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6810234"",""General transcription factors bind SNAPc:POU2F1:ZNF143:snRNA gene"")","May, B"
R-HSA-113429,R-HSA-6805061,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6805061"",""CK2 binds FACT"")","Orlic-Milacic, M"
R-HSA-113429,R-HSA-75861,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75861"",""NTP Binds Active Site of RNA Polymerase II"")",
R-HSA-113429,R-HSA-75873,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75873"",""Addition of Nucleotides 5 through 9 on the growing Transcript"")","Timmers, HTM"
R-HSA-113429,R-HSA-76576,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-76576"",""Addition of nucleotides 10 and 11 on the growing transcript: Third Transition"")","Timmers, HTM"
R-HSA-113429,R-HSA-111264,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111264"",""Addition of nucleotides between position +11 and +30"")","Timmers, HTM"
R-HSA-113429,R-HSA-9613497,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9613497"",""Unwinding DNA for the nascent transcript"")","Timmers, HTM"
R-HSA-113429,R-HSA-75850,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75850"",""Addition of the third nucleotide on the nascent transcript"")","Timmers, HTM"
R-HSA-113429,R-HSA-75869,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-75869"",""Addition of the fourth nucleotide on the Nascent Transcript: Second Transition"")","Timmers, HTM"
R-HSA-113429,R-HSA-74986,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74986"",""Elongation of pre-rRNA transcript"")",
R-HSA-113429,R-HSA-113446,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113446"",""Initiation of RNA Polymerase III Productive Transcription"")","Geiduschek, EP"
R-HSA-113429,R-HSA-113705,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113705"",""RNA Polymerase III Productive Transcription"")","Geiduschek, EP"
R-HSA-113429,R-HSA-113451,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113429"",""Elongating transcript encounters a lesion in the template"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113451"",""Resumption of RNA Polymerase III Productive Transcription"")","Geiduschek, EP"
