First_Reaction,Second_Reaction,Second_Reaction_Author,SBGN_Status,Cyclic?,Expected_Release,Review_Status,Approved/Rejected,Reasons_for_Rejection,Other_Comments
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372529"",""Release of acetylcholine at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380905"",""Serotonin loaded synaptic vesicle docking and priming"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372529"",""Release of acetylcholine at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210426"",""Glutamate synaptic vesicle docking and priming"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372529"",""Release of acetylcholine at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380574"",""Dopamine synaptic vesicle docking and priming"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374899"",""Release of noradrenaline  at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-917744"",""GABA loaded synaptic vesicle Docking and Priming"")","Mahajan, SS",Different,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374899"",""Release of noradrenaline  at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374922"",""Noradrenalin synaptic vesicle docking and priming"")","Mahajan, SS",Same,True,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374899"",""Release of noradrenaline  at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372505"",""Acetylcholine synaptic vesicle docking and priming"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374899"",""Release of noradrenaline  at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380905"",""Serotonin loaded synaptic vesicle docking and priming"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374899"",""Release of noradrenaline  at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210426"",""Glutamate synaptic vesicle docking and priming"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374899"",""Release of noradrenaline  at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380574"",""Dopamine synaptic vesicle docking and priming"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380869"",""Release of docked dopamine loaded synaptic vesicle"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-917744"",""GABA loaded synaptic vesicle Docking and Priming"")","Mahajan, SS",Different,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380869"",""Release of docked dopamine loaded synaptic vesicle"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374922"",""Noradrenalin synaptic vesicle docking and priming"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380869"",""Release of docked dopamine loaded synaptic vesicle"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372505"",""Acetylcholine synaptic vesicle docking and priming"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380869"",""Release of docked dopamine loaded synaptic vesicle"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380905"",""Serotonin loaded synaptic vesicle docking and priming"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380869"",""Release of docked dopamine loaded synaptic vesicle"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210426"",""Glutamate synaptic vesicle docking and priming"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380869"",""Release of docked dopamine loaded synaptic vesicle"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380574"",""Dopamine synaptic vesicle docking and priming"")","Mahajan, SS",Same,True,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380901"",""Release of docked serotonin loaded synaptic vesicle"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-917744"",""GABA loaded synaptic vesicle Docking and Priming"")","Mahajan, SS",Different,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380901"",""Release of docked serotonin loaded synaptic vesicle"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374922"",""Noradrenalin synaptic vesicle docking and priming"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380901"",""Release of docked serotonin loaded synaptic vesicle"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372505"",""Acetylcholine synaptic vesicle docking and priming"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380901"",""Release of docked serotonin loaded synaptic vesicle"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380905"",""Serotonin loaded synaptic vesicle docking and priming"")","Mahajan, SS",Same,True,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380901"",""Release of docked serotonin loaded synaptic vesicle"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210426"",""Glutamate synaptic vesicle docking and priming"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380901"",""Release of docked serotonin loaded synaptic vesicle"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380574"",""Dopamine synaptic vesicle docking and priming"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-416639"",""Trafficking of GluR2-containing AMPA receptors to extrasynaptic sites"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-416639"",""Trafficking of GluR2-containing AMPA receptors to extrasynaptic sites"")","Mahajan, SS",Same,True,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-416985"",""Trafficking of GluR2-containing AMPA receptors to synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-416985"",""Trafficking of GluR2-containing AMPA receptors to synapse"")","Mahajan, SS",Same,True,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-420975"",""Ca impermeable AMPA receptor ligand binding"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-438037"",""Membrane depolarization upon activation of Ca impermeable AMPA receptors"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-420975"",""Ca impermeable AMPA receptor ligand binding"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432162"",""Unblocking of GRIN1:GRIN2 NMDA receptors"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-420977"",""Ca permeable AMPA receptor ligand binding"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-420980"",""Activation of Ca permeable AMPA receptors"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432162"",""Unblocking of GRIN1:GRIN2 NMDA receptors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432164"",""Ca2+ influx into the post-synaptic cell"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432162"",""Unblocking of GRIN1:GRIN2 NMDA receptors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9612085"",""SRC phosphorylates GluN2 (GRIN2) subunits of NMDARs"")","Orlic-Milacic, M",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-432162"",""Unblocking of GRIN1:GRIN2 NMDA receptors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617326"",""CALM1:4xCa2+ binds GluN1:GluN2 (GRIN1:GRIN2) NMDA receptors and displaces ACTN2"")","Orlic-Milacic, M",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-445367"",""CaMKII binds activated NMDA receptor"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-438037"",""Membrane depolarization upon activation of Ca impermeable AMPA receptors"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-451309"",""Edited Kainate Receptor binds glutamate"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-451310"",""Activation of Edited Kainate receptors"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5336443"",""LIN7, CASK and APBA1 bind"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380574"",""Dopamine synaptic vesicle docking and priming"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8849878"",""PSD-95 binds NMDA receptor"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8849906"",""SALM1 binds NMDA receptor"")","Garapati, P V",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-888589"",""Release of GABA at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-917744"",""GABA loaded synaptic vesicle Docking and Priming"")","Mahajan, SS",Same,True,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-888589"",""Release of GABA at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-374922"",""Noradrenalin synaptic vesicle docking and priming"")","Mahajan, SS",Different,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-888589"",""Release of GABA at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372505"",""Acetylcholine synaptic vesicle docking and priming"")","Mahajan, SS",Different,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-888589"",""Release of GABA at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380905"",""Serotonin loaded synaptic vesicle docking and priming"")","Mahajan, SS",Different,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-888589"",""Release of GABA at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210426"",""Glutamate synaptic vesicle docking and priming"")","Mahajan, SS",Different,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-888589"",""Release of GABA at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-380574"",""Dopamine synaptic vesicle docking and priming"")","Mahajan, SS",Different,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9610627"",""KIF17 transports GluN1:GluN2B (GRIN1:GRIN2B) NMDA receptors to the plasma membrane"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9619542"",""AMPK negatively regulates binding of MAPT to microtubules"")","Orlic-Milacic, M",Different,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9610627"",""KIF17 transports GluN1:GluN2B (GRIN1:GRIN2B) NMDA receptors to the plasma membrane"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9610408"",""GluN1:GluN2B (GRIN1:GRIN2B) di-heterotetramers bind LIN7:CASK:APBA1, DLG1 and KIF17"")","Orlic-Milacic, M",Same,True,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9611368"",""CaMKII and LRRC7 bind to NMDA receptors at postsynaptic density"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614185"",""Mg2+ binds GRIN1:GRIN2 NMDA receptors"")","Orlic-Milacic, M",Different,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617326"",""CALM1:4xCa2+ binds GluN1:GluN2 (GRIN1:GRIN2) NMDA receptors and displaces ACTN2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9611030"",""GluN1 (GRIN1) binds to ACTN2 at postsynaptic density"")","Orlic-Milacic, M",Different,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617583"",""CaMKII autophosphorylates"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9619449"",""PPM1F dephosphorylates p-T286-CaMKII"")","Orlic-Milacic, M",Different,True,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9618811"",""Calcium binds calmodulin at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-442760"",""Activation of RasGRF"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9618811"",""Calcium binds calmodulin at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9618785"",""Calmodulin binds neurogranin"")","Orlic-Milacic, M",Same,True,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9618811"",""Calcium binds calmodulin at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-442725"",""CaMKII binds activated calmodulin"")","Mahajan, SS",Different,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9618811"",""Calcium binds calmodulin at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617535"",""Activated calmodulin binds ADCY1,ADCY8"")","Orlic-Milacic, M",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9618811"",""Calcium binds calmodulin at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9619376"",""CAMK1 binds calmodulin"")","Orlic-Milacic, M",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9618811"",""Calcium binds calmodulin at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9619214"",""CaMKK binds activated calmodulin in the cytosol"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9618811"",""Calcium binds calmodulin at the synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617326"",""CALM1:4xCa2+ binds GluN1:GluN2 (GRIN1:GRIN2) NMDA receptors and displaces ACTN2"")","Orlic-Milacic, M",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9618834"",""Activated calmodulin dissociates from CaMKII-gamma"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9618863"",""CaMKK binds activated calmodulin in the nucleus"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9619125"",""CaMKK phosphorylates CAMK4"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9619430"",""PPM1E dephosphorylates CAMK4"")","Orlic-Milacic, M",Different,True,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9619430"",""PPM1E dephosphorylates CAMK4"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9619125"",""CaMKK phosphorylates CAMK4"")","Orlic-Milacic, M",Different,True,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9619449"",""PPM1F dephosphorylates p-T286-CaMKII"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617583"",""CaMKII autophosphorylates"")","Mahajan, SS",Different,True,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9619467"",""PPM1F dephosphorylates CAMK1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9619367"",""CaMKKs phosphorylate CAMK1"")","Orlic-Milacic, M",Same,True,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9619478"",""CAMKK2 phosphorylates AMPK"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9619542"",""AMPK negatively regulates binding of MAPT to microtubules"")","Orlic-Milacic, M",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9619783"",""CAMK1 phosphorylates ARHGEF7-1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9619803"",""p-S516-ARHGEF7 activates RAC1"")","Orlic-Milacic, M",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9649108"",""HTR3A pentamer binds 5HT"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9648983"",""HTR3A pentamer:5HT transports Na+,K+,Ca2+"")","Jassal, B",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-416320"",""Trafficking of GluR1-containing  AMPA receptors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8849881"",""SALM2 associate with AMPA and NMDA receptors"")","Garapati, P V",Different,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-416639"",""Trafficking of GluR2-containing AMPA receptors to extrasynaptic sites"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-420975"",""Ca impermeable AMPA receptor ligand binding"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-416985"",""Trafficking of GluR2-containing AMPA receptors to synapse"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-420975"",""Ca impermeable AMPA receptor ligand binding"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-421007"",""Endocytosis of Ca impermeable AMPA receptors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-421007"",""Endocytosis of Ca impermeable AMPA receptors"")","Mahajan, SS",Same,True,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9029434"",""p-S363,S380,T573 RS6K translocates to the nucleus"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-442724"",""Phosphorylation of CREB1 by ribosomal protein S6 kinases (RSKs)"")","Mahajan, SS",Same,False,,,,,
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9610750"",""GluN1:GluN2 (GRIN1:GRIN2) NMDA receptors traffic to the plasma membrane"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9610653"",""GluN1:GluN2 (GRIN1:GRIN2) NMDA receptors bind to postsynaptic density proteins"")","Orlic-Milacic, M",Same,False,,,,,
