First_Reaction,Second_Reaction,Second_Reaction_Author,SBGN_Status,Cyclic?,Expected_Release,Review_Status,Approved/Rejected,Reasons_for_Rejection,Other_Comments
"Trans,cis-lauro-2,6-dienoyl-CoA is converted to cis,cis-3,6- 4-cis-decenoyl-CoA by one cycle of beta-oxidation",ACAA2 tetramer transfers acyl group from Ac-CoA to acyl-CoA forming 3OA-CoA and CoA-SH,"Jassal, B",Same,FALSE,,,,,
"Trans,cis-lauro-2,6-dienoyl-CoA is converted to cis,cis-3,6- 4-cis-decenoyl-CoA by one cycle of beta-oxidation",Acetyl-CoA + H2O + Oxaloacetate => Citrate + CoA,,Different,FALSE,,,,,
"Trans,cis-lauro-2,6-dienoyl-CoA is converted to cis,cis-3,6- 4-cis-decenoyl-CoA by one cycle of beta-oxidation",PDK isoforms phosphorylate lipo-PDH,"Gopinathrao, G",Different,FALSE,,,,,
"Trans,cis-lauro-2,6-dienoyl-CoA is converted to cis,cis-3,6- 4-cis-decenoyl-CoA by one cycle of beta-oxidation",Pyruvate + CO2 + ATP => ADP + Orthophosphate + Oxaloacetate,,Different,FALSE,,,,,
"Trans,cis-lauro-2,6-dienoyl-CoA is converted to cis,cis-3,6- 4-cis-decenoyl-CoA by one cycle of beta-oxidation","NAT8L transfers acetyl group from Ac-CoA to L-Asp, forming NAA","Jassal, B",Different,FALSE,,,,,
"Trans,cis-lauro-2,6-dienoyl-CoA is converted to cis,cis-3,6- 4-cis-decenoyl-CoA by one cycle of beta-oxidation",glutamate + acetyl CoA => N-acetyl glutamate + CoA,"D'Eustachio, P",Different,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)",glycogen-glycogenin-2 + n orthophosphate => limit dextrin-glycogenin-2 + n D-glucose 1-phosphate [PYGL],,Different,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)","poly((1,4)-alpha-glycosyl) glycogenin-1 + n orthophosphate => glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]","D'Eustachio, P",Different,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)","glycogen-glycogenin-1 + n orthophosphate => limit dextrin-glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]",,Different,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)","poly((1,4)-alpha-glucosyl) glycogenin-2 + n orthophosphate => glycogenin-2 + n D-glucose 1-phosphate [PYGL]","D'Eustachio, P",Different,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)",malate [mitochondrial matrix] + orthophosphate [cytosol] <=> malate [cytosol] + orthophosphate [mitochondrial matrix],"D'Eustachio, P",Different,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)","D-glyceraldehyde 3-phosphate + orthophosphate + NAD+ <=> 1,3-bisphospho-D-glycerate + NADH + H+",,Different,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)",D-ribose 5-phosphate + 2'-deoxyadenosine 5'-triphosphate (dATP) => 5-Phospho-alpha-D-ribose 1-diphosphate (PRPP) + 2'-deoxyadenosine 5'-monophosphate,,Different,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)",MTA is cleaved and phosphorylated,"Stephan, R",Different,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)",(deoxy)inosine + orthophosphate <=> hypoxanthine + (deoxy)ribose 1-phosphate (NP),,Same,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)",(deoxy)guanosine + orthophosphate <=> guanine + (deoxy)ribose 1-phosphate (NP),,Same,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)",thymidine or deoxyuridine + orthophosphate <=> thymine or uracil + 2-deoxy-D-ribose 1-phosphate [TYMP],,Same,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)",(deoxy)uridine + orthophosphate <=> uracil + (deoxy)ribose 1-phosphate (UPP),,Same,FALSE,,,,,
"(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)",glycogen-glycogenin-2 + n orthophosphate => limit dextrin-glycogenin-2 + n D-glucose 1-phosphate [PYGL],,Different,FALSE,,,,,
"(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)","poly((1,4)-alpha-glycosyl) glycogenin-1 + n orthophosphate => glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]","D'Eustachio, P",Different,FALSE,,,,,
"(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)","glycogen-glycogenin-1 + n orthophosphate => limit dextrin-glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]",,Different,FALSE,,,,,
"(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)","poly((1,4)-alpha-glucosyl) glycogenin-2 + n orthophosphate => glycogenin-2 + n D-glucose 1-phosphate [PYGL]","D'Eustachio, P",Different,FALSE,,,,,
"(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)",malate [mitochondrial matrix] + orthophosphate [cytosol] <=> malate [cytosol] + orthophosphate [mitochondrial matrix],"D'Eustachio, P",Different,FALSE,,,,,
"(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)","D-glyceraldehyde 3-phosphate + orthophosphate + NAD+ <=> 1,3-bisphospho-D-glycerate + NADH + H+",,Different,FALSE,,,,,
"(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)",D-ribose 5-phosphate + 2'-deoxyadenosine 5'-triphosphate (dATP) => 5-Phospho-alpha-D-ribose 1-diphosphate (PRPP) + 2'-deoxyadenosine 5'-monophosphate,,Different,FALSE,,,,,
"(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)",MTA is cleaved and phosphorylated,"Stephan, R",Different,FALSE,,,,,
"(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)",(deoxy)inosine + orthophosphate <=> hypoxanthine + (deoxy)ribose 1-phosphate (NP),,Same,FALSE,,,,,
"(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)",(deoxy)guanosine + orthophosphate <=> guanine + (deoxy)ribose 1-phosphate (NP),,Same,FALSE,,,,,
"(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)",thymidine or deoxyuridine + orthophosphate <=> thymine or uracil + 2-deoxy-D-ribose 1-phosphate [TYMP],,Same,FALSE,,,,,
"(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)",(deoxy)uridine + orthophosphate <=> uracil + (deoxy)ribose 1-phosphate (UPP),,Same,FALSE,,,,,
AMP + H2O => adenosine + orthophosphate [NT5C1B],glycogen-glycogenin-2 + n orthophosphate => limit dextrin-glycogenin-2 + n D-glucose 1-phosphate [PYGL],,Different,FALSE,,,,,
AMP + H2O => adenosine + orthophosphate [NT5C1B],"poly((1,4)-alpha-glycosyl) glycogenin-1 + n orthophosphate => glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]","D'Eustachio, P",Different,FALSE,,,,,
AMP + H2O => adenosine + orthophosphate [NT5C1B],"glycogen-glycogenin-1 + n orthophosphate => limit dextrin-glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]",,Different,FALSE,,,,,
AMP + H2O => adenosine + orthophosphate [NT5C1B],"poly((1,4)-alpha-glucosyl) glycogenin-2 + n orthophosphate => glycogenin-2 + n D-glucose 1-phosphate [PYGL]","D'Eustachio, P",Different,FALSE,,,,,
AMP + H2O => adenosine + orthophosphate [NT5C1B],malate [mitochondrial matrix] + orthophosphate [cytosol] <=> malate [cytosol] + orthophosphate [mitochondrial matrix],"D'Eustachio, P",Different,FALSE,,,,,
AMP + H2O => adenosine + orthophosphate [NT5C1B],"D-glyceraldehyde 3-phosphate + orthophosphate + NAD+ <=> 1,3-bisphospho-D-glycerate + NADH + H+",,Different,FALSE,,,,,
AMP + H2O => adenosine + orthophosphate [NT5C1B],D-ribose 5-phosphate + 2'-deoxyadenosine 5'-triphosphate (dATP) => 5-Phospho-alpha-D-ribose 1-diphosphate (PRPP) + 2'-deoxyadenosine 5'-monophosphate,,Different,FALSE,,,,,
AMP + H2O => adenosine + orthophosphate [NT5C1B],MTA is cleaved and phosphorylated,"Stephan, R",Different,FALSE,,,,,
AMP + H2O => adenosine + orthophosphate [NT5C1B],(deoxy)inosine + orthophosphate <=> hypoxanthine + (deoxy)ribose 1-phosphate (NP),,Same,FALSE,,,,,
AMP + H2O => adenosine + orthophosphate [NT5C1B],(deoxy)guanosine + orthophosphate <=> guanine + (deoxy)ribose 1-phosphate (NP),,Same,FALSE,,,,,
AMP + H2O => adenosine + orthophosphate [NT5C1B],thymidine or deoxyuridine + orthophosphate <=> thymine or uracil + 2-deoxy-D-ribose 1-phosphate [TYMP],,Same,FALSE,,,,,
AMP + H2O => adenosine + orthophosphate [NT5C1B],(deoxy)uridine + orthophosphate <=> uracil + (deoxy)ribose 1-phosphate (UPP),,Same,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)",glycogen-glycogenin-2 + n orthophosphate => limit dextrin-glycogenin-2 + n D-glucose 1-phosphate [PYGL],,Different,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)","poly((1,4)-alpha-glycosyl) glycogenin-1 + n orthophosphate => glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]","D'Eustachio, P",Different,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)","glycogen-glycogenin-1 + n orthophosphate => limit dextrin-glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]",,Different,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)","poly((1,4)-alpha-glucosyl) glycogenin-2 + n orthophosphate => glycogenin-2 + n D-glucose 1-phosphate [PYGL]","D'Eustachio, P",Different,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)",malate [mitochondrial matrix] + orthophosphate [cytosol] <=> malate [cytosol] + orthophosphate [mitochondrial matrix],"D'Eustachio, P",Different,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)","D-glyceraldehyde 3-phosphate + orthophosphate + NAD+ <=> 1,3-bisphospho-D-glycerate + NADH + H+",,Different,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)",D-ribose 5-phosphate + 2'-deoxyadenosine 5'-triphosphate (dATP) => 5-Phospho-alpha-D-ribose 1-diphosphate (PRPP) + 2'-deoxyadenosine 5'-monophosphate,,Different,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)",MTA is cleaved and phosphorylated,"Stephan, R",Different,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)",(deoxy)inosine + orthophosphate <=> hypoxanthine + (deoxy)ribose 1-phosphate (NP),,Same,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)",(deoxy)guanosine + orthophosphate <=> guanine + (deoxy)ribose 1-phosphate (NP),,Same,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)",thymidine or deoxyuridine + orthophosphate <=> thymine or uracil + 2-deoxy-D-ribose 1-phosphate [TYMP],,Same,FALSE,,,,,
"(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)",(deoxy)uridine + orthophosphate <=> uracil + (deoxy)ribose 1-phosphate (UPP),,Same,FALSE,,,,,
(d)GMP or (d)IMP + H2O => (d)G or (d)I + orthophosphate (NT5C),glycogen-glycogenin-2 + n orthophosphate => limit dextrin-glycogenin-2 + n D-glucose 1-phosphate [PYGL],,Different,FALSE,,,,,
(d)GMP or (d)IMP + H2O => (d)G or (d)I + orthophosphate (NT5C),"poly((1,4)-alpha-glycosyl) glycogenin-1 + n orthophosphate => glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]","D'Eustachio, P",Different,FALSE,,,,,
(d)GMP or (d)IMP + H2O => (d)G or (d)I + orthophosphate (NT5C),"glycogen-glycogenin-1 + n orthophosphate => limit dextrin-glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]",,Different,FALSE,,,,,
(d)GMP or (d)IMP + H2O => (d)G or (d)I + orthophosphate (NT5C),"poly((1,4)-alpha-glucosyl) glycogenin-2 + n orthophosphate => glycogenin-2 + n D-glucose 1-phosphate [PYGL]","D'Eustachio, P",Different,FALSE,,,,,
(d)GMP or (d)IMP + H2O => (d)G or (d)I + orthophosphate (NT5C),malate [mitochondrial matrix] + orthophosphate [cytosol] <=> malate [cytosol] + orthophosphate [mitochondrial matrix],"D'Eustachio, P",Different,FALSE,,,,,
(d)GMP or (d)IMP + H2O => (d)G or (d)I + orthophosphate (NT5C),"D-glyceraldehyde 3-phosphate + orthophosphate + NAD+ <=> 1,3-bisphospho-D-glycerate + NADH + H+",,Different,FALSE,,,,,
(d)GMP or (d)IMP + H2O => (d)G or (d)I + orthophosphate (NT5C),D-ribose 5-phosphate + 2'-deoxyadenosine 5'-triphosphate (dATP) => 5-Phospho-alpha-D-ribose 1-diphosphate (PRPP) + 2'-deoxyadenosine 5'-monophosphate,,Different,FALSE,,,,,
(d)GMP or (d)IMP + H2O => (d)G or (d)I + orthophosphate (NT5C),MTA is cleaved and phosphorylated,"Stephan, R",Different,FALSE,,,,,
(d)GMP or (d)IMP + H2O => (d)G or (d)I + orthophosphate (NT5C),(deoxy)inosine + orthophosphate <=> hypoxanthine + (deoxy)ribose 1-phosphate (NP),,Same,FALSE,,,,,
(d)GMP or (d)IMP + H2O => (d)G or (d)I + orthophosphate (NT5C),(deoxy)guanosine + orthophosphate <=> guanine + (deoxy)ribose 1-phosphate (NP),,Same,FALSE,,,,,
(d)GMP or (d)IMP + H2O => (d)G or (d)I + orthophosphate (NT5C),thymidine or deoxyuridine + orthophosphate <=> thymine or uracil + 2-deoxy-D-ribose 1-phosphate [TYMP],,Same,FALSE,,,,,
(d)GMP or (d)IMP + H2O => (d)G or (d)I + orthophosphate (NT5C),(deoxy)uridine + orthophosphate <=> uracil + (deoxy)ribose 1-phosphate (UPP),,Same,FALSE,,,,,
"TMP, uridine 2', 3', or 5' monophosphates, or deoxyuridine 3' or 5' monophosphates + H2O => thymidine or (deoxy)uridine + orthophosphate [NT5C]",glycogen-glycogenin-2 + n orthophosphate => limit dextrin-glycogenin-2 + n D-glucose 1-phosphate [PYGL],,Different,FALSE,,,,,
"TMP, uridine 2', 3', or 5' monophosphates, or deoxyuridine 3' or 5' monophosphates + H2O => thymidine or (deoxy)uridine + orthophosphate [NT5C]","poly((1,4)-alpha-glycosyl) glycogenin-1 + n orthophosphate => glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]","D'Eustachio, P",Different,FALSE,,,,,
"TMP, uridine 2', 3', or 5' monophosphates, or deoxyuridine 3' or 5' monophosphates + H2O => thymidine or (deoxy)uridine + orthophosphate [NT5C]","glycogen-glycogenin-1 + n orthophosphate => limit dextrin-glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]",,Different,FALSE,,,,,
"TMP, uridine 2', 3', or 5' monophosphates, or deoxyuridine 3' or 5' monophosphates + H2O => thymidine or (deoxy)uridine + orthophosphate [NT5C]","poly((1,4)-alpha-glucosyl) glycogenin-2 + n orthophosphate => glycogenin-2 + n D-glucose 1-phosphate [PYGL]","D'Eustachio, P",Different,FALSE,,,,,
"TMP, uridine 2', 3', or 5' monophosphates, or deoxyuridine 3' or 5' monophosphates + H2O => thymidine or (deoxy)uridine + orthophosphate [NT5C]",malate [mitochondrial matrix] + orthophosphate [cytosol] <=> malate [cytosol] + orthophosphate [mitochondrial matrix],"D'Eustachio, P",Different,FALSE,,,,,
"TMP, uridine 2', 3', or 5' monophosphates, or deoxyuridine 3' or 5' monophosphates + H2O => thymidine or (deoxy)uridine + orthophosphate [NT5C]","D-glyceraldehyde 3-phosphate + orthophosphate + NAD+ <=> 1,3-bisphospho-D-glycerate + NADH + H+",,Different,FALSE,,,,,
"TMP, uridine 2', 3', or 5' monophosphates, or deoxyuridine 3' or 5' monophosphates + H2O => thymidine or (deoxy)uridine + orthophosphate [NT5C]",D-ribose 5-phosphate + 2'-deoxyadenosine 5'-triphosphate (dATP) => 5-Phospho-alpha-D-ribose 1-diphosphate (PRPP) + 2'-deoxyadenosine 5'-monophosphate,,Different,FALSE,,,,,
"TMP, uridine 2', 3', or 5' monophosphates, or deoxyuridine 3' or 5' monophosphates + H2O => thymidine or (deoxy)uridine + orthophosphate [NT5C]",MTA is cleaved and phosphorylated,"Stephan, R",Different,FALSE,,,,,
"TMP, uridine 2', 3', or 5' monophosphates, or deoxyuridine 3' or 5' monophosphates + H2O => thymidine or (deoxy)uridine + orthophosphate [NT5C]",(deoxy)inosine + orthophosphate <=> hypoxanthine + (deoxy)ribose 1-phosphate (NP),,Same,FALSE,,,,,
"TMP, uridine 2', 3', or 5' monophosphates, or deoxyuridine 3' or 5' monophosphates + H2O => thymidine or (deoxy)uridine + orthophosphate [NT5C]",(deoxy)guanosine + orthophosphate <=> guanine + (deoxy)ribose 1-phosphate (NP),,Same,FALSE,,,,,
"TMP, uridine 2', 3', or 5' monophosphates, or deoxyuridine 3' or 5' monophosphates + H2O => thymidine or (deoxy)uridine + orthophosphate [NT5C]",thymidine or deoxyuridine + orthophosphate <=> thymine or uracil + 2-deoxy-D-ribose 1-phosphate [TYMP],,Same,FALSE,,,,,
"TMP, uridine 2', 3', or 5' monophosphates, or deoxyuridine 3' or 5' monophosphates + H2O => thymidine or (deoxy)uridine + orthophosphate [NT5C]",(deoxy)uridine + orthophosphate <=> uracil + (deoxy)ribose 1-phosphate (UPP),,Same,FALSE,,,,,
"TMP, (d)UMP, uridine 2' monophosphate, or uridine 3'-monophosphate + H2O => thymidine, deoxyuridine, or uridine + orthophosphate [NT5M]",ADP and Pi bind to ATPase,"Jassal, B",Different,FALSE,,,,,
"TMP, (d)UMP, uridine 2' monophosphate, or uridine 3'-monophosphate + H2O => thymidine, deoxyuridine, or uridine + orthophosphate [NT5M]",ADP + Orthophosphate + Succinyl-CoA <=> ATP + Succinate + CoA,,Different,FALSE,,,,,
"TMP, (d)UMP, uridine 2' monophosphate, or uridine 3'-monophosphate + H2O => thymidine, deoxyuridine, or uridine + orthophosphate [NT5M]",GDP + Orthophosphate + Succinyl-CoA <=> GTP + Succinate + CoA,,Different,FALSE,,,,,
"TMP, (d)UMP, uridine 2' monophosphate, or uridine 3'-monophosphate + H2O => thymidine, deoxyuridine, or uridine + orthophosphate [NT5M]",MTHFD1L transforms 10-formyl-THF to HCOOH and THF,"Jassal, B",Different,FALSE,,,,,
"TMP, (d)UMP, uridine 2' monophosphate, or uridine 3'-monophosphate + H2O => thymidine, deoxyuridine, or uridine + orthophosphate [NT5M]",beta-methylglutaconyl-CoA + ADP + orthophosphate + H2O <=> beta-methylcrotonyl-CoA + ATP + CO2 [MCCA],"D'Eustachio, P",Different,FALSE,,,,,
D-ribose 5-phosphate + 2'-deoxyadenosine 5'-triphosphate (dATP) => 5-Phospho-alpha-D-ribose 1-diphosphate (PRPP) + 2'-deoxyadenosine 5'-monophosphate,NAMPT transfers PRIB to NAM to form NAMN,"Jassal, B",Different,FALSE,,,,,
D-ribose 5-phosphate + 2'-deoxyadenosine 5'-triphosphate (dATP) => 5-Phospho-alpha-D-ribose 1-diphosphate (PRPP) + 2'-deoxyadenosine 5'-monophosphate,NAPRT1 dimer transfers PRIB to NCA to form NAMN,"Jassal, B",Different,FALSE,,,,,
D-ribose 5-phosphate + 2'-deoxyadenosine 5'-triphosphate (dATP) => 5-Phospho-alpha-D-ribose 1-diphosphate (PRPP) + 2'-deoxyadenosine 5'-monophosphate,QPRT transfers PRIB to QUIN to form NAMN,"Jassal, B",Different,FALSE,,,,,
D-ribose 5-phosphate + 2'-deoxyadenosine 5'-triphosphate (dATP) => 5-Phospho-alpha-D-ribose 1-diphosphate (PRPP) + 2'-deoxyadenosine 5'-monophosphate,Dissociation of phosphoribosyl pyrophosphate amidotransferase tetramer,,Different,FALSE,,,,,
D-ribose 5-phosphate + 2'-deoxyadenosine 5'-triphosphate (dATP) => 5-Phospho-alpha-D-ribose 1-diphosphate (PRPP) + 2'-deoxyadenosine 5'-monophosphate,Adenine + PRPP => AMP + PPi,,Different,FALSE,,,,,
D-ribose 5-phosphate + 2'-deoxyadenosine 5'-triphosphate (dATP) => 5-Phospho-alpha-D-ribose 1-diphosphate (PRPP) + 2'-deoxyadenosine 5'-monophosphate,guanine or hypoxanthine + PRPP => GMP or IMP + PPi (HPRT1),,Different,FALSE,,,,,
Formation of phosphoribosyl pyrophosphate amidotransferase tetramer,Dissociation of phosphoribosyl pyrophosphate amidotransferase tetramer,,Same,TRUE,,,,,
Dissociation of phosphoribosyl pyrophosphate amidotransferase tetramer,Formation of phosphoribosyl pyrophosphate amidotransferase tetramer,,Same,TRUE,,,,,
Dissociation of phosphoribosyl pyrophosphate amidotransferase tetramer,5-phospho-alpha-D-ribose 1-diphosphate (PRPP) + H2O + L-glutamine <=> 5-phosphoribosylamine + L-glutamate +pyrophosphate,"Jassal, B",Same,FALSE,,,,,
IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS],glycogen-glycogenin-2 + n orthophosphate => limit dextrin-glycogenin-2 + n D-glucose 1-phosphate [PYGL],,Different,FALSE,,,,,
IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS],"poly((1,4)-alpha-glycosyl) glycogenin-1 + n orthophosphate => glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]","D'Eustachio, P",Different,FALSE,,,,,
IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS],"glycogen-glycogenin-1 + n orthophosphate => limit dextrin-glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]",,Different,FALSE,,,,,
IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS],"poly((1,4)-alpha-glucosyl) glycogenin-2 + n orthophosphate => glycogenin-2 + n D-glucose 1-phosphate [PYGL]","D'Eustachio, P",Different,FALSE,,,,,
IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS],malate [mitochondrial matrix] + orthophosphate [cytosol] <=> malate [cytosol] + orthophosphate [mitochondrial matrix],"D'Eustachio, P",Different,FALSE,,,,,
IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS],"D-glyceraldehyde 3-phosphate + orthophosphate + NAD+ <=> 1,3-bisphospho-D-glycerate + NADH + H+",,Different,FALSE,,,,,
IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS],D-ribose 5-phosphate + 2'-deoxyadenosine 5'-triphosphate (dATP) => 5-Phospho-alpha-D-ribose 1-diphosphate (PRPP) + 2'-deoxyadenosine 5'-monophosphate,,Different,FALSE,,,,,
