,First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,IsCyclic?,Approved/Rejected,Reasons_for_Rejection,Other_Comments,Trans_Approved/Rejected,Trans_Reason,Trans_Comment
10,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109342"",""Trans,cis-lauro-2,6-dienoyl-CoA is converted to cis,cis-3,6- 4-cis-decenoyl-CoA by one cycle of beta-oxidation"")",109342,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8874745"",""ACAA2 tetramer transfers acyl group from Ac-CoA to acyl-CoA forming 3OA-CoA and CoA-SH"")",8874745,"Jassal, B",Yes,False,,,,,,
11,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109342"",""Trans,cis-lauro-2,6-dienoyl-CoA is converted to cis,cis-3,6- 4-cis-decenoyl-CoA by one cycle of beta-oxidation"")",109342,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70975"",""Acetyl-CoA + H2O + Oxaloacetate => Citrate + CoA"")",70975,,No,False,,,,,,
12,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109342"",""Trans,cis-lauro-2,6-dienoyl-CoA is converted to cis,cis-3,6- 4-cis-decenoyl-CoA by one cycle of beta-oxidation"")",109342,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-203946"",""PDK isoforms phosphorylate lipo-PDH"")",203946,"Gopinathrao, G",No,False,,,,,,
13,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109342"",""Trans,cis-lauro-2,6-dienoyl-CoA is converted to cis,cis-3,6- 4-cis-decenoyl-CoA by one cycle of beta-oxidation"")",109342,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70501"",""Pyruvate + CO2 + ATP => ADP + Orthophosphate + Oxaloacetate"")",70501,,No,False,,,,,,
14,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109342"",""Trans,cis-lauro-2,6-dienoyl-CoA is converted to cis,cis-3,6- 4-cis-decenoyl-CoA by one cycle of beta-oxidation"")",109342,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8954468"",""NAT8L transfers acetyl group from Ac-CoA to L-Asp, forming NAA"")",8954468,"Jassal, B",No,False,,,,,,
15,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109342"",""Trans,cis-lauro-2,6-dienoyl-CoA is converted to cis,cis-3,6- 4-cis-decenoyl-CoA by one cycle of beta-oxidation"")",109342,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70542"",""glutamate + acetyl CoA => N-acetyl glutamate + CoA"")",70542,"D'Eustachio, P",No,False,,,,,,
16,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109380"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)"")",109380,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71590"",""glycogen-glycogenin-2 + n orthophosphate => limit dextrin-glycogenin-2 + n D-glucose 1-phosphate [PYGL]"")",71590,,No,False,,,,,,
17,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109380"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)"")",109380,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-453358"",""poly((1,4)-alpha-glycosyl) glycogenin-1 + n orthophosphate => glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]"")",453358,"D'Eustachio, P",No,False,,,,,,
18,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109380"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)"")",109380,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71515"",""glycogen-glycogenin-1 + n orthophosphate => limit dextrin-glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]"")",71515,,No,False,,,,,,
19,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109380"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)"")",109380,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-453339"",""poly((1,4)-alpha-glucosyl) glycogenin-2 + n orthophosphate => glycogenin-2 + n D-glucose 1-phosphate [PYGL]"")",453339,"D'Eustachio, P",No,False,,,,,,
20,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109380"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)"")",109380,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372843"",""malate [mitochondrial matrix] + orthophosphate [cytosol] <=> malate [cytosol] + orthophosphate [mitochondrial matrix]"")",372843,"D'Eustachio, P",No,False,,,,,,
21,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109380"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)"")",109380,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70449"",""D-glyceraldehyde 3-phosphate + orthophosphate + NAD+ <=> 1,3-bisphospho-D-glycerate + NADH + H+"")",70449,,No,False,,,,,,
22,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109380"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)"")",109380,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111215"",""D-ribose 5-phosphate + 2'-deoxyadenosine 5'-triphosphate (dATP) => 5-Phospho-alpha-D-ribose 1-diphosphate (PRPP) + 2'-deoxyadenosine 5'-monophosphate"")",111215,,No,False,,,,,,
23,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109380"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)"")",109380,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237160"",""MTA is cleaved and phosphorylated"")",1237160,"Stephan, R",No,False,,,,,,
24,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109380"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)"")",109380,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74242"",""(deoxy)inosine + orthophosphate <=> hypoxanthine + (deoxy)ribose 1-phosphate (NP)"")",74242,,Yes,False,,,,,,
25,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109380"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)"")",109380,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74249"",""(deoxy)guanosine + orthophosphate <=> guanine + (deoxy)ribose 1-phosphate (NP)"")",74249,,Yes,False,,,,,,
26,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109380"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)"")",109380,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112265"",""thymidine or deoxyuridine + orthophosphate <=> thymine or uracil + 2-deoxy-D-ribose 1-phosphate [TYMP]"")",112265,,Yes,False,,,,,,
27,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109380"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C1A)"")",109380,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74376"",""(deoxy)uridine + orthophosphate <=> uracil + (deoxy)ribose 1-phosphate (UPP)"")",74376,,Yes,False,,,,,,
28,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109387"",""(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)"")",109387,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71590"",""glycogen-glycogenin-2 + n orthophosphate => limit dextrin-glycogenin-2 + n D-glucose 1-phosphate [PYGL]"")",71590,,No,False,,,,,,
29,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109387"",""(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)"")",109387,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-453358"",""poly((1,4)-alpha-glycosyl) glycogenin-1 + n orthophosphate => glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]"")",453358,"D'Eustachio, P",No,False,,,,,,
30,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109387"",""(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)"")",109387,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71515"",""glycogen-glycogenin-1 + n orthophosphate => limit dextrin-glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]"")",71515,,No,False,,,,,,
31,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109387"",""(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)"")",109387,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-453339"",""poly((1,4)-alpha-glucosyl) glycogenin-2 + n orthophosphate => glycogenin-2 + n D-glucose 1-phosphate [PYGL]"")",453339,"D'Eustachio, P",No,False,,,,,,
32,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109387"",""(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)"")",109387,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372843"",""malate [mitochondrial matrix] + orthophosphate [cytosol] <=> malate [cytosol] + orthophosphate [mitochondrial matrix]"")",372843,"D'Eustachio, P",No,False,,,,,,
33,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109387"",""(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)"")",109387,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70449"",""D-glyceraldehyde 3-phosphate + orthophosphate + NAD+ <=> 1,3-bisphospho-D-glycerate + NADH + H+"")",70449,,No,False,,,,,,
34,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109387"",""(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)"")",109387,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111215"",""D-ribose 5-phosphate + 2'-deoxyadenosine 5'-triphosphate (dATP) => 5-Phospho-alpha-D-ribose 1-diphosphate (PRPP) + 2'-deoxyadenosine 5'-monophosphate"")",111215,,No,False,,,,,,
35,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109387"",""(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)"")",109387,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237160"",""MTA is cleaved and phosphorylated"")",1237160,"Stephan, R",No,False,,,,,,
36,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109387"",""(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)"")",109387,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74242"",""(deoxy)inosine + orthophosphate <=> hypoxanthine + (deoxy)ribose 1-phosphate (NP)"")",74242,,Yes,False,,,,,,
37,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109387"",""(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)"")",109387,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74249"",""(deoxy)guanosine + orthophosphate <=> guanine + (deoxy)ribose 1-phosphate (NP)"")",74249,,Yes,False,,,,,,
38,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109387"",""(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)"")",109387,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112265"",""thymidine or deoxyuridine + orthophosphate <=> thymine or uracil + 2-deoxy-D-ribose 1-phosphate [TYMP]"")",112265,,Yes,False,,,,,,
39,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109387"",""(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)"")",109387,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74376"",""(deoxy)uridine + orthophosphate <=> uracil + (deoxy)ribose 1-phosphate (UPP)"")",74376,,Yes,False,,,,,,
40,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109415"",""AMP + H2O => adenosine + orthophosphate [NT5C1B]"")",109415,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71590"",""glycogen-glycogenin-2 + n orthophosphate => limit dextrin-glycogenin-2 + n D-glucose 1-phosphate [PYGL]"")",71590,,No,False,,,,,,
41,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109415"",""AMP + H2O => adenosine + orthophosphate [NT5C1B]"")",109415,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-453358"",""poly((1,4)-alpha-glycosyl) glycogenin-1 + n orthophosphate => glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]"")",453358,"D'Eustachio, P",No,False,,,,,,
42,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109415"",""AMP + H2O => adenosine + orthophosphate [NT5C1B]"")",109415,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71515"",""glycogen-glycogenin-1 + n orthophosphate => limit dextrin-glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]"")",71515,,No,False,,,,,,
43,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109415"",""AMP + H2O => adenosine + orthophosphate [NT5C1B]"")",109415,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-453339"",""poly((1,4)-alpha-glucosyl) glycogenin-2 + n orthophosphate => glycogenin-2 + n D-glucose 1-phosphate [PYGL]"")",453339,"D'Eustachio, P",No,False,,,,,,
44,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109415"",""AMP + H2O => adenosine + orthophosphate [NT5C1B]"")",109415,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372843"",""malate [mitochondrial matrix] + orthophosphate [cytosol] <=> malate [cytosol] + orthophosphate [mitochondrial matrix]"")",372843,"D'Eustachio, P",No,False,,,,,,
45,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109415"",""AMP + H2O => adenosine + orthophosphate [NT5C1B]"")",109415,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70449"",""D-glyceraldehyde 3-phosphate + orthophosphate + NAD+ <=> 1,3-bisphospho-D-glycerate + NADH + H+"")",70449,,No,False,,,,,,
46,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109415"",""AMP + H2O => adenosine + orthophosphate [NT5C1B]"")",109415,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111215"",""D-ribose 5-phosphate + 2'-deoxyadenosine 5'-triphosphate (dATP) => 5-Phospho-alpha-D-ribose 1-diphosphate (PRPP) + 2'-deoxyadenosine 5'-monophosphate"")",111215,,No,False,,,,,,
47,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109415"",""AMP + H2O => adenosine + orthophosphate [NT5C1B]"")",109415,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237160"",""MTA is cleaved and phosphorylated"")",1237160,"Stephan, R",No,False,,,,,,
48,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109415"",""AMP + H2O => adenosine + orthophosphate [NT5C1B]"")",109415,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74242"",""(deoxy)inosine + orthophosphate <=> hypoxanthine + (deoxy)ribose 1-phosphate (NP)"")",74242,,Yes,False,,,,,,
49,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109415"",""AMP + H2O => adenosine + orthophosphate [NT5C1B]"")",109415,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74249"",""(deoxy)guanosine + orthophosphate <=> guanine + (deoxy)ribose 1-phosphate (NP)"")",74249,,Yes,False,,,,,,
50,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109415"",""AMP + H2O => adenosine + orthophosphate [NT5C1B]"")",109415,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112265"",""thymidine or deoxyuridine + orthophosphate <=> thymine or uracil + 2-deoxy-D-ribose 1-phosphate [TYMP]"")",112265,,Yes,False,,,,,,
51,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109415"",""AMP + H2O => adenosine + orthophosphate [NT5C1B]"")",109415,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74376"",""(deoxy)uridine + orthophosphate <=> uracil + (deoxy)ribose 1-phosphate (UPP)"")",74376,,Yes,False,,,,,,
52,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109449"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)"")",109449,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71590"",""glycogen-glycogenin-2 + n orthophosphate => limit dextrin-glycogenin-2 + n D-glucose 1-phosphate [PYGL]"")",71590,,No,False,,,,,,
53,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109449"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)"")",109449,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-453358"",""poly((1,4)-alpha-glycosyl) glycogenin-1 + n orthophosphate => glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]"")",453358,"D'Eustachio, P",No,False,,,,,,
54,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109449"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)"")",109449,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71515"",""glycogen-glycogenin-1 + n orthophosphate => limit dextrin-glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]"")",71515,,No,False,,,,,,
55,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109449"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)"")",109449,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-453339"",""poly((1,4)-alpha-glucosyl) glycogenin-2 + n orthophosphate => glycogenin-2 + n D-glucose 1-phosphate [PYGL]"")",453339,"D'Eustachio, P",No,False,,,,,,
56,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109449"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)"")",109449,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-372843"",""malate [mitochondrial matrix] + orthophosphate [cytosol] <=> malate [cytosol] + orthophosphate [mitochondrial matrix]"")",372843,"D'Eustachio, P",No,False,,,,,,
57,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109449"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)"")",109449,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70449"",""D-glyceraldehyde 3-phosphate + orthophosphate + NAD+ <=> 1,3-bisphospho-D-glycerate + NADH + H+"")",70449,,No,False,,,,,,
58,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109449"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)"")",109449,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-111215"",""D-ribose 5-phosphate + 2'-deoxyadenosine 5'-triphosphate (dATP) => 5-Phospho-alpha-D-ribose 1-diphosphate (PRPP) + 2'-deoxyadenosine 5'-monophosphate"")",111215,,No,False,,,,,,
59,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109449"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)"")",109449,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1237160"",""MTA is cleaved and phosphorylated"")",1237160,"Stephan, R",No,False,,,,,,
60,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109449"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)"")",109449,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74242"",""(deoxy)inosine + orthophosphate <=> hypoxanthine + (deoxy)ribose 1-phosphate (NP)"")",74242,,Yes,False,,,,,,
61,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109449"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)"")",109449,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74249"",""(deoxy)guanosine + orthophosphate <=> guanine + (deoxy)ribose 1-phosphate (NP)"")",74249,,Yes,False,,,,,,
62,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109449"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)"")",109449,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-112265"",""thymidine or deoxyuridine + orthophosphate <=> thymine or uracil + 2-deoxy-D-ribose 1-phosphate [TYMP]"")",112265,,Yes,False,,,,,,
63,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109449"",""(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate (NT5C3)"")",109449,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74376"",""(deoxy)uridine + orthophosphate <=> uracil + (deoxy)ribose 1-phosphate (UPP)"")",74376,,Yes,False,,,,,,
64,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109470"",""(d)GMP or (d)IMP + H2O => (d)G or (d)I + orthophosphate (NT5C)"")",109470,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-71590"",""glycogen-glycogenin-2 + n orthophosphate => limit dextrin-glycogenin-2 + n D-glucose 1-phosphate [PYGL]"")",71590,,No,False,,,,,,
65,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-109470"",""(d)GMP or (d)IMP + H2O => (d)G or (d)I + orthophosphate (NT5C)"")",109470,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-453358"",""poly((1,4)-alpha-glycosyl) glycogenin-1 + n orthophosphate => glycogenin-1 + n D-glucose 1-phosphate [PYGM,PYGB]"")",453358,"D'Eustachio, P",No,False,,,,,,
