First_Reaction,Second_Reaction,Second_Reaction_Author,SBGN_Status,Cyclic?,Expected_Release,Review_Status,Approved/Rejected,Reasons_for_Rejection,Other_Comments
ISGylation of host proteins,Transfer of ISG15 from E1 to E2 (UBCH8),"Garapati, P V",Same,FALSE,,Completed,Rejected,Transfer with releasing E2 ubiquitin-conjugating enzyme,
Prolactin receptor is internalized,PRLR binds SCF beta-TrCP complex,"Jupe, S",Same,TRUE,,Completed,Rejected,1370500 is preceding of 1170539; Ubiquitinated form of PRLR is internalized. Ub modification is missing for output instance oF p-S349-PRLR in 1370500,
Prolactin receptor is internalized,SCF Beta-TrCP complex binds to NFKB p50:p65: phospho IKBA complex,"Ray, KP",Different,FALSE,,Completed,Rejected,Release of components during dissociation of the complex.,
Prolactin receptor is internalized,Beta-TrCP ubiquitinates NFKB p50:p65:phospho IKBA complex,"Ray, KP",Different,FALSE,,Completed,Rejected,Release of components during dissociation of the complex.,
Translocation of peptide bound MHC class I complex to cell surface,TCR complex interacts with peptide antigen-presenting MHC Class I,"de Bono, B",Different,FALSE,,,,,
Export of peptide loaded MHC class I complex to PM,TCR complex interacts with peptide antigen-presenting MHC Class I,"de Bono, B",Different,FALSE,,,,,
TXNIP is released from oxidized thioredoxin,TXNIP binds NLRP3,"Jupe, S",Same,FALSE,,,,,
NLRP3 activation by small molecules,SGT1:HSP90 binds inactive NLRP3,"Jupe, S",Same,TRUE,,,,,
GHBP binds GHR,Growth hormone receptor dimerizes,"Jupe, S",Same,FALSE,,,,??? the events are connected by negative regulation instance;1362465 is a preceding event only if negative regulator is present,
PRLR binds SCF beta-TrCP complex,Prolactin receptor ligands bind the prolactin receptor,"Jupe, S",Same,FALSE,,,,??? the events are connected by the negative regulation instance; no direct input-output relationship between the two reactions,
Recruitment TBK1 to dsDNA:ZBP1 followed by its activation,NLRP4 and DTX4 associate with p-S172-TBK1 within dsDNA:ZBP1:TBK1,"Shamovsky, V",Same,FALSE,,,,,
Phosphorylation and release of IRF3,NLRP4 and DTX4 associate with p-S172-TBK1 within dsDNA:ZBP1:TBK1,"Shamovsky, V",Same,TRUE,,,,,
Phosphorylation and release of IRF3,Recruitment of IRF3 to activated ZBP1:TBK1,"Shamovsky, V",Same,TRUE,,,,,
GPI-bound CD14 binds LPS,Association of LBP with LPS,"de Bono, B",Same,TRUE,,,,,
GPI-bound CD14 binds LPS,oxPL binds LBP,"Shamovsky, V",Different,FALSE,,,,,
TLR4:LY96:LPS:CD14 recruits TRAM (TICAM2),TRAM:TLR4:LY96:LPS:CD14 recruits TRIF (TICAM1),"de Bono, B",Different,FALSE,,,,,
Phosphorylation of IRF-3/IRF7 and their release from the activated TLR complex,IRF3/IRF7 recruitment to p-TBK1/p-IKK epsilon bound to the activated TLR4,"de Bono, B",Same,TRUE,,,,,
Dissociation of hp-IRAK1:TRAF6 from the activated TLR:oligo-Myd88:TIRAP:p-IRAK4 complex,IRAK1 or IRAK2 binds to the activated IRAK4 :activated TLR:MyD88:TIRAP complex,"de Bono, B",Same,FALSE,,,,,
Formation of Classical C3 convertase (C4b:C2a complex),Formation of classic pathway C5 convertase,"de Bono, B",Same,FALSE,,,,,
Formation of Classical C3 convertase (C4b:C2a complex),C4b binding protein binds C4bC2a,"Jupe, S",Same,FALSE,,,,,
Cleavage of C3 by C3 convertases,C3b binds to cell surface,"Jupe, S",Same,FALSE,,,,,
SH2B binds JAK2,JAK2 phosphorylation,"Jupe, S",Same,FALSE,,Completed,Approved,Definition of preceding following events?,
ISGylation of protein translation regulator 4EHP,Competitive inhibition of translation initiation by ISGylated 4EHP,"Garapati, P V",Same,FALSE,,Completed,Approved,,
Folded full-length TLR7/8/9 dissociates from the GP96:CNPY3 complex,TLR folding by chaperones GP96 and CNPY3,"Shamovsky, V",Same,TRUE,,,,,
Phospho-IKK Complex phosphorylates NFkB inhibitor within the NFkB inhibitor:NFkB complex,NFkB inhibitor binds NFkB complex,"Shamovsky, V",Same,TRUE,,Completed,Rejected,R-HSA-9630923 is preceding of R-HSA-168140,
NFkB complex is transported from cytosol to nucleus,Interleukin-1 family precursors are cleaved by caspase-1,"Ray, KP",Different,FALSE,,Completed,Approved?,missing a transcription event of pro-IL1B,
NFkB complex is transported from cytosol to nucleus,Expression of NLRP3 gene,"Jassal, B",Different,FALSE,,,,,
iE-DAP elicits a NOD1 response,NOD1 induced apoptosis is mediated by RIP2 and CARD8,"Jupe, S",Same,FALSE,,,,,
"viral dsRNA:IFIH1, viral dsRNA:K63polyUb-DDX58 bind MAVS",Recruitment of TRAF6/TRAF2 to IPS-1,"Garapati, P V",Same,FALSE,,,,,
RIP1 facilitates IKK complex phosphorylation,IKBKB phosphorylates TPL2 (MAP3K8) at Ser400,"Shamovsky, V",Different,FALSE,,Completed,Rejected???,I did not find literature references to support TPL2 activation downstream of ZBP1,
RIP1 facilitates IKK complex phosphorylation,IKBKB phosphorylates NFkB p105 within the NFkB p105:TPL2:ABIN2 complex,"Shamovsky, V",Different,FALSE,,Completed,Rejected???,I did not find literature references to support TPL2 activation downstream of ZBP1,
K63-linked ubiquitination of RIP1 bound to the activated TLR complex,TLR4-induced ripoptosome assembly,"Shamovsky, V",Same,FALSE,,,,,
Viral dsRNA:TLR3:TRIF complex recruits RIP1,TLR3-induced ripoptosome assembly,"Shamovsky, V",Same,FALSE,,,,,
"IP3 binds to the IP3 receptor, opening the endoplasmic reticulum Ca2+ channel",STIM1 oligomerizes,"May, B",Same,FALSE,,,,,
Secreted CD14 binds LPS,Association of LBP with LPS,"de Bono, B",Same,TRUE,,,,,
Secreted CD14 binds LPS,oxPL binds LBP,"Shamovsky, V",Different,FALSE,,,,,
Formation of alternative pathway C5 convertase,C3a receptor binds anaphylatoxin C3a,"Jupe, S",Same,FALSE,,,,,
C3(H2O):Factor Bb cleaves C3 to C3b and C3a,C3a receptor binds anaphylatoxin C3a,"Jupe, S",Same,FALSE,,,,,
C3(H2O):Factor Bb cleaves C3 to C3b and C3a,Factor H binds to C3b,"Jupe, S",Same,FALSE,,,,,
STING recruits TBK1 and IRF3,TBK1 is phosphorylated within STING:TBK1:IRF3 complex,"Shamovsky, V",Same,FALSE,,,,,
PDPK1 phosphorylates AKT at T308,AKT binds PDPK1,"Orlic-Milacic, M",Different,TRUE,,,,,
Translocation of PDK1 to Plasma membrane,Translocation of CARMA1 to Plasma membrane,"de Bono, B",Different,FALSE,,Completed,Approved,,
Translocation of PDK1 to Plasma membrane,Phosphorylation of PKC theta,"de Bono, B",Different,FALSE,,Completed,Approved,,
Activation of ZAP-70,Phosphorylation of SLP-76,"de Bono, B",Same,FALSE,,Completed,Approved,,
Dephosphorylation of Lck-pY505 by CD45,Inactivation of Lck by Csk,"de Bono, B",Same,TRUE,,Completed,Rejected,R-HSA-202233 is a preceding for R-HSA-202214,
Phosphorylation of PKC theta,Phosphorylation of CARMA1,"de Bono, B",Same,FALSE,,Completed,Approved,,
Activation of Lck,Change of PKC theta conformation,"de Bono, B",Same,FALSE,,,,,
Activation of Lck,Phosphorylation of ZAP-70 by Lck,"de Bono, B",Same,FALSE,,,,,
Change of PKC theta conformation,Autophosphorylation of PKC-theta,"Niarakis, A",Different,FALSE,,,,,
Auto-ubiquitination of TRAF6,Auto-ubiquitination of TRAF6,"de Bono, B",Same,TRUE,,Completed,Rejected,E2 conjugating enzyme is presented as input/output in the reaction,
Auto-ubiquitination of TRAF6,Ubiquitination of NEMO by TRAF6,"de Bono, B",Different,TRUE,,Completed,Approved,,
Auto-ubiquitination of TRAF6,Pellino ubiquitinates hp-IRAK1,"Shamovsky, V",Different,TRUE,,,,,
Auto-ubiquitination of TRAF6,TRAF6 ubiquitinqtes IRF7 within the activated TLR7/8 or 9 complex,"Shamovsky, V",Different,TRUE,,,,,
Auto-ubiquitination of TRAF6,Pellino ubiquitinates hp-IRAK1 upon TLR7/8 or 9 activation<br>,"Shamovsky, V",Different,TRUE,,,,,
Auto-ubiquitination of TRAF6,TRAF6 oligomer autoubiquitinates,"Garapati, P V",Different,TRUE,,,,,
Auto-ubiquitination of TRAF6,K63polyUb-TRAF6 ubiquitinates TAK1,"Garapati, P V",Different,TRUE,,,,,
Auto-ubiquitination of TRAF6,Auto-ubiquitination of TRAF6,"Niarakis, A",Different,TRUE,,Completed,Rejected,E2 conjugating enzyme is presented as input/output in the reaction,
Ubiquitination of NEMO by TRAF6,Auto-ubiquitination of TRAF6,"de Bono, B",Different,TRUE,,Completed,Approved,,
Ubiquitination of NEMO by TRAF6,Ubiquitination of NEMO by TRAF6,"de Bono, B",Same,TRUE,,,,,
Ubiquitination of NEMO by TRAF6,Pellino ubiquitinates hp-IRAK1,"Shamovsky, V",Different,TRUE,,,,,
Ubiquitination of NEMO by TRAF6,TRAF6 ubiquitinqtes IRF7 within the activated TLR7/8 or 9 complex,"Shamovsky, V",Different,TRUE,,,,,
Ubiquitination of NEMO by TRAF6,Pellino ubiquitinates hp-IRAK1 upon TLR7/8 or 9 activation<br>,"Shamovsky, V",Different,TRUE,,,,,
Ubiquitination of NEMO by TRAF6,TRAF6 oligomer autoubiquitinates,"Garapati, P V",Different,TRUE,,,,,
Ubiquitination of NEMO by TRAF6,K63polyUb-TRAF6 ubiquitinates TAK1,"Garapati, P V",Different,TRUE,,,,,
Ubiquitination of NEMO by TRAF6,Auto-ubiquitination of TRAF6,"Niarakis, A",Same,TRUE,,Completed,Approved,,
Release of PLCG from FCGR,PI3K binds to p-6Y-SYK,"Garapati, P V",Same,FALSE,,,,,
Release of PLCG from FCGR,Recruitment of PLCgamma to membrane,"Garapati, P V",Same,FALSE,,,,,
Release of PLCG from FCGR,Recruitment of CRKII:DOCK180:ELMO complex to FCGR,"Garapati, P V",Same,FALSE,,,,,
Release of PLCG from FCGR,Recruitment of VAV1 to p-6Y-SYK,"Garapati, P V",Same,FALSE,,,,,
Release of PLCG from FCGR,Phosphorylation of VAV,"Garapati, P V",Same,FALSE,,,,,
Phosphorylation of SYK by Src kinases,PI3K binds to p-6Y-SYK,"Garapati, P V",Same,FALSE,,,,,
Phosphorylation of SYK by Src kinases,Recruitment of PLCgamma to membrane,"Garapati, P V",Same,FALSE,,,,,
Phosphorylation of SYK by Src kinases,Recruitment of CRKII:DOCK180:ELMO complex to FCGR,"Garapati, P V",Same,FALSE,,,,,
Phosphorylation of SYK by Src kinases,Phosphorylation of VAV,"Garapati, P V",Same,FALSE,,,,,
Activation of RAC1 by VAV,RAC1:GTP and PIP3 bind WAVE Regulatory Complex (WRC),"Jupe, S",Same,FALSE,,,,,
Autophosphorylation of PAK1,PAK1 phosphorylates LIMK1,"Garapati, P V",Different,FALSE,,,,,
RAC1 and CDC42 activate PAK1,Autophosphorylation of PAK1,"Garapati, P V",Different,TRUE,,,,,
Recruitment of VAV1 to p-6Y-SYK,Phosphorylation of VAV,"Garapati, P V",Same,FALSE,,,,,
Sequestering and phosphorylation Fc gamma receptors in the lipid rafts,Role of myosins in phagosome formation,"Garapati, P V",Same,FALSE,,,,,
PAK1 phosphorylates LIMK1,Dimerization of LIMK1 by Hsp90,"Garapati, P V",Different,FALSE,,,,,
Activation of RAC1 by CRKII:DOCK180:ELMO,RAC1:GTP and PIP3 bind WAVE Regulatory Complex (WRC),"Jupe, S",Same,FALSE,,,,,
Branching and elongation of mother and daughter filaments,Role of myosins in phagosome formation,"Garapati, P V",Same,FALSE,,,,,
Dimerized phospho-IRF3 migrates to the nucleus,"CREBBP, EP300 binds p-T,4S-IRF3:p-T,4S-IRF3","Garapati, P V",Different,FALSE,,,,,
Dimerized phospho-IRF3 migrates to the nucleus,Beta-catenin enhances association of IRF3 with CBP/p300,"Shamovsky, V",Same,FALSE,,,,,
Ubiquitinated and phosphorylated IKBA binds to and is degraded by the proteasome complex,NFKB1:RELA translocates from the cytosol to the nucleus,"Niarakis, A",Different,FALSE,,Completed,Approved,,
SCF Beta-TrCP complex binds to NFKB p50:p65: phospho IKBA complex,Beta-TrCP ubiquitinates NFKB p50:p65:phospho IKBA complex,"Ray, KP",Same,FALSE,,Completed,Approved,,
Disassociation of PLC-gamma1 from LAT,Recruitment of PLC-gamma1 to LAT,"de Bono, B",Same,FALSE,,Completed,Rejected,Release of components during dissociation of a complex.,
Disassociation of PLC-gamma1 from LAT,Recruitment of Gads to LAT,"de Bono, B",Same,FALSE,,Completed,Rejected,Release of components during dissociation of a complex.,
Disassociation of PLC-gamma1 from SLP-76,Recruitment of ITK to SLP-76,"de Bono, B",Same,FALSE,,Completed,Rejected,Release of components during dissociation of a complex.,
Disassociation of PLC-gamma1 from SLP-76,Recruitment of PLC-gamma1 to SLP-76,"de Bono, B",Same,FALSE,,Completed,Rejected,Release of components during dissociation of a complex.,
Recruitment of CRKII:DOCK180:ELMO complex to FCGR,Activation of RAC1 by CRKII:DOCK180:ELMO,"Garapati, P V",Same,FALSE,,,,,
Endocytosis of TRAM (TICAM2),TLR4:LY96:LPS:CD14 recruits TRAM (TICAM2),"de Bono, B",Same,FALSE,,,,,
TGN-lysosome vesicle uncoating and release of nonameric complex to lysosome,TGN-lysosomal vesicle coat assembly,"Garapati, P V",Same,FALSE,,,,,
Fusion of COPII vesicle with Golgi complex,Formation of COPII vesicle,"Garapati, P V",Same,TRUE,,,,,
Transport of antigen loaded MHC II molecules to surface,Transport of antigen loaded MHC II molecules to surface,"Garapati, P V",Same,TRUE,,,,,
Dissociation of p-IRAK2:TRAF6 from the activated TLR:oligo-Myd88:TIRAP:p-IRAK4 complex,IRAK2 induces TRAF6 oligomerization,"Shamovsky, V",Different,FALSE,,,,,
Dissociation of p-IRAK2:TRAF6 from the activated TLR:oligo-Myd88:TIRAP:p-IRAK4 complex,IRAK1 or IRAK2 binds to the activated IRAK4 :activated TLR:MyD88:TIRAP complex,"de Bono, B",Same,FALSE,,,,,
"p-T,4S-IRF3 is dimerized","Translocation of phosphorylated IRF3,IRF7 dimers into nucleus","Garapati, P V",Different,FALSE,,,,,
"p-T,4S-IRF3 is dimerized",Dimerized phospho-IRF3 migrates to the nucleus,"Shamovsky, V",Same,FALSE,,,,,
TBK1 is phosphorylated within STING:TBK1:IRF3 complex,NLRP4 and DTX4 associate with p-S172-TBK1 within STING:TBK1:IRF3,"Shamovsky, V",Same,FALSE,,,,,
TBK1 is phosphorylated within STING:TBK1:IRF3 complex,IRF3 is phosphorylated by TBK1,"Shamovsky, V",Same,FALSE,,,,,
IRF3 is phosphorylated by TBK1,"p-T,4S-IRF3 is dimerized","Shamovsky, V",Same,FALSE,,,,,
Phosphorylation of SLP-76 by p-SYK,Recruitment of VAV to p-SLP-76,"Niarakis, A",Different,FALSE,,,,,
Recruitment of PLC-gamma to SLP-76 and p-5Y-LAT,Phosphorylation of SLP-76 by p-SYK,"Niarakis, A",Same,FALSE,,,,,
Activation of RAC1 by VAV2/3,RAC1:GTP and PIP3 bind WAVE Regulatory Complex (WRC),"Jupe, S",Different,FALSE,,,,,
SOS mediated nucleotide exchange of RAS (SHC),RAF1 binds p21 RAS:GTP,"Garapati, P V",Different,FALSE,,,,,
Phosphorylation of beta and gamma subunits by LYN,Phosphorylation of PKC-theta,"Niarakis, A",Same,FALSE,,,,,
Phosphorylation of SYK,Phosphorylation of TEC kinases by p-SYK,"Niarakis, A",Same,FALSE,,,,,
Phosphorylation of SYK,Phosphorylation of SHC by SYK kinase,"Niarakis, A",Same,FALSE,,,,,
Phosphorylation of SYK,Phosphorylation of SLP-76 by p-SYK,"Niarakis, A",Same,FALSE,,,,,
Vitronectin (VTN) binds to C5b:C6:C7,Formation of soluble VTN:C5b-C9,"Shamovsky, V",Same,FALSE,,,,,
TIRAP binds PIP2-rich regions in the plasma membrane,Activated TLR2/4 interacts with MAL (TIRAP),"Shamovsky, V",Same,FALSE,,,,,
SARM binds TICAM1:TRAM:TLR4:LY96:LPS:CD14,TRAF3 binds TICAM1:activated TLR4 complex,"Shamovsky, V",Different,FALSE,,,,,
SARM binds TICAM1:TRAM:TLR4:LY96:LPS:CD14,Activated TLR4:TICAM1 recruits TRAF6,"Shamovsky, V",Different,FALSE,,,,,
SARM binds TICAM1:TRAM:TLR4:LY96:LPS:CD14,TRIF:activated TLR3/TLR4 complex recruits RIP1,"de Bono, B",Different,FALSE,,,,,
Phosphorylation of LAT by p-SYK,Recruitment of GRB2:SOS to p-5Y-LAT,"Garapati, P V",Same,FALSE,,,,,
Phosphorylation of SLP-76 by p-SYK,Recruitment of VAV and BTK to p-SLP-76,"Garapati, P V",Different,FALSE,,,,,
Autophosphorylation of PAK,Recruitment of PAK to the membrane by binding active RAC1,"Niarakis, A",Same,TRUE,,,,,
Phosphorylation of PKC-theta,Phosphorylation of PKC theta,"de Bono, B",Different,FALSE,,Completed,Rejected?,"not sure about TCR and FCERI crosstalk, needs further reading",
Phosphorylation of PLC-gamma,Hydrolysis of PIP2 by PLCG,"Niarakis, A",Same,FALSE,,,,,
NFKB1:RELA translocates from the cytosol to the nucleus,IL1B gene is transcribed,"Garapati, P V",Different,FALSE,,,,,
NFKB1:RELA translocates from the cytosol to the nucleus,Protein kinase A (PKA) and RPS6KA5 (MSK1) phosphorylates p65 (RELA) subunit,"Garapati, P V",Different,FALSE,,,,,
Auto-ubiquitination of TRAF6,Auto-ubiquitination of TRAF6,"de Bono, B",Different,TRUE,,Completed,Rejected,E2 conjugating enzyme is presented as input/output in the reaction,
Auto-ubiquitination of TRAF6,Ubiquitination of NEMO by TRAF6,"de Bono, B",Same,TRUE,,Completed,Approved,,
Auto-ubiquitination of TRAF6,Pellino ubiquitinates hp-IRAK1,"Shamovsky, V",Different,TRUE,,,,,
Auto-ubiquitination of TRAF6,TRAF6 ubiquitinqtes IRF7 within the activated TLR7/8 or 9 complex,"Shamovsky, V",Different,TRUE,,,,,
Auto-ubiquitination of TRAF6,Pellino ubiquitinates hp-IRAK1 upon TLR7/8 or 9 activation<br>,"Shamovsky, V",Different,TRUE,,,,,
Auto-ubiquitination of TRAF6,TRAF6 oligomer autoubiquitinates,"Garapati, P V",Different,TRUE,,,,,
Auto-ubiquitination of TRAF6,K63polyUb-TRAF6 ubiquitinates TAK1,"Garapati, P V",Different,TRUE,,,,,
Auto-ubiquitination of TRAF6,Auto-ubiquitination of TRAF6,"Niarakis, A",Same,TRUE,,Completed,Rejected,E2 conjugating enzyme is presented as input/output in the reaction,
STING ubiquitination by TRIM32 or TRIM56,STING dimerization,"Shamovsky, V",Same,FALSE,,,,,
DNA-PK binds microbial dsDNA,STING recruits TBK1 and IRF3,"Shamovsky, V",Same,FALSE,,,,,
Phosphorylation of beta-catenin at Ser552,LRR FLII-interacting protein 1 associates with beta-catenin,"Shamovsky, V",Same,TRUE,,,,,
MRE11 binds cytosolic DNA,STING recruits TBK1 and IRF3,"Shamovsky, V",Same,FALSE,,,,,
Viral DNA cleavage by TREX1,TREX1 binds retroviral-derived DNA,"Shamovsky, V",Same,TRUE,,,,,
Viral DNA cleavage by TREX1,STING recruits TBK1 and IRF3,"Shamovsky, V",Same,FALSE,,,,,
DTX4 ubiquitinates p-S172-TBK1 within NLRP4:DTX4:dsDNA:ZBP1:TBK1,NLRP4 and DTX4 associate with p-S172-TBK1 within STING:TBK1:IRF3,"Shamovsky, V",Same,FALSE,,,,,
DTX4 ubiquitinates p-S172-TBK1 within NLRP4:DTX4:dsDNA:ZBP1:TBK1,NLRP4 and DTX4 associate with p-S172-TBK1 within dsDNA:ZBP1:TBK1,"Shamovsky, V",Same,TRUE,,,,,
NLRP4 and DTX4 associate with p-S172-TBK1 within STING:TBK1:IRF3,IRF3 is phosphorylated by TBK1,"Shamovsky, V",Same,FALSE,,,,,
Factor I cleaves iC3b,CR1 binds C3bBb/C4bC2a,"Jupe, S",Same,FALSE,,,,,
ICOS binds ICOSL/B7-H2,PI3K binds ICOS,"Garapati, P V",Same,FALSE,,,,,
Phosphorylation of CTLA-4,PP2A binds CTLA4 homodimer,"Garapati, P V",Same,FALSE,,Completed,Rejected,"PP2A is released by R-HSA-388833, but not necessarily a source for input of R-HSA-389532 to proceed.",
Activation of Rac1 by pVav1,RAC1:GTP and PIP3 bind WAVE Regulatory Complex (WRC),"Jupe, S",Different,FALSE,,,,,
Activation of Cdc42 by pVav1,Activation of WASP and N-WASP by CDC42,"Jupe, S",Different,FALSE,,,,,
Rap1 signal termination by Rap1GAPs,Activation of Rap1 by cytosolic GEFs,"Garapati, P V",Different,TRUE,,,,,
Rap1 signal termination by Rap1GAPs,Activation of Rap1 by membrane-associated GEFs,"Jupe, S",Different,TRUE,,,,,
Transphosphorylation of pLIMK1,Phosphorylation of cofilin by LIMK-1,"Garapati, P V",Same,FALSE,,,,,
Dimerization of LIMK1 by Hsp90,Transphosphorylation of pLIMK1,"Garapati, P V",Same,TRUE,,,,,
p-SLP-76 binds ADAP,p-SLP-76:ADAP binds Ena/VASP,"Akkerman, JW",Same,FALSE,,Completed,Approved,,
p-SLP-76 binds NCK,NCK binds PAK,"Akkerman, JW",Same,FALSE,,Completed,Approved,,
p-SLP-76 binds NCK,NCK recruits WASP,"Akkerman, JW",Same,FALSE,,Completed,Approved,,
