PathwayName,ReactionName,ReactomeID,Input,Output,OtherEntities
FGFR1b ligand binding and activation,FGFR1b binds to FGF,R-HSA-190245,"[FGFR1b-binding FGFs [extracellular region],FGFR1b [plasma membrane],HS [extracellular region]]",[FGFR1b homodimer bound to FGF [plasma membrane]],[HS [extracellular region]]
SHC1 events in EGFR signaling,GRB2:SOS1 binds to phosphorylated SHC1 in complex with EGFR,R-HSA-177936,"[GRB2-1:SOS1 [cytosol],EGF-like ligands:p-6Y-EGFR:p-Y349,350-SHC1 [plasma membrane]]","[EGF-like ligands:p-6Y-EGFR:p-Y349,350-SHC1:GRB2:SOS1 [plasma membrane]]",[]
NTF3 activates NTRK3 signaling,NTF3 binds NTRK3,R-HSA-9034016,"[NTRK3 [plasma membrane],NTF3 homodimer [extracellular region]]",[NTF3:NTRK3 homodimer [plasma membrane]],[]
FRS-mediated FGFR3 signaling,Activated FGFR3:p-FRS bind to PPTN11,R-HSA-5654633,"[Activated FGFR3:p-FRS [plasma membrane],PTPN11 [cytosol]]",[Activated FGFR3:p-FRS:PTPN11 [plasma membrane]],[]
Activated NTRK3 signals through RAS,Activated NTRK3 binds SHC1,R-HSA-9034862,"[NTF3:p-5Y-NTRK3 homodimer [plasma membrane],SHC1-2,SHC1-3 [cytosol]]",[NTF3:p-5Y-NTRK3 homodimer:SHC1 [plasma membrane]],[]
PI-3K cascade:FGFR1,Activated FGFR1:p-FRS2:p-PPTN11:GRB2:GAB1:PIK3R1 binds PIK3CA,R-HSA-5654596,"[Activated FGFR:p-FRS2:p-PTPN11:GRB2:GAB1:PIK3R1 [plasma membrane],PIK3CA [cytosol]]",[Activated FGFR1:p-FRS2:p-PTPN11:GRB2:GAB1:PI3K [plasma membrane]],[]
FRS-mediated FGFR2 signaling,Activated FGFR2 phosphorylates FRS2,R-HSA-5654397,"[ATP [cytosol],Activated FGFR2:FRS2 [plasma membrane]]","[Activated FGFR2:p-FRS2 [plasma membrane],ADP [cytosol]]","[Activated FGFR2:FRS2 [plasma membrane],FRS2 [plasma membrane],Activated FGFR2 [plasma membrane],Activated FGFR2c homodimer bound to FGF [plasma membrane],Activated FGFR2c long homodimer  [plasma membrane],HS [extracellular region],p-8Y-FGFR2c long [plasma membrane],FGFR2c-binding FGFs [extracellular region],FGF4 [extracellular region],FGF1 [extracellular region],FGF18 [extracellular region],FGF20 [extracellular region],FGF8-1 [extracellular region],GalNAc-T178-FGF23(25-251) [extracellular region],FGF2(10-155) [extracellular region],FGF17-1 [extracellular region],FGF6 [extracellular region],FGF9 [extracellular region],FGF16 [extracellular region],FGF5-1 [extracellular region],Activated FGFR2c short homodimer bound to FGF [plasma membrane],p-8Y-FGFR2-5 [plasma membrane],Activated FGFR2b homodimer bound to FGF [plasma membrane],Activated FGFR2b short homodimer bound to FGF [plasma membrane],Phosphorylated Fibroblast growth factor receptor 2b short [plasma membrane],FGFR2b-binding FGFs [extracellular region],FGF22 [extracellular region],FGF3 [extracellular region],FGF7 [extracellular region],FGF10 [extracellular region],Activated FGFR2b long homodimer  [plasma membrane],p-8Y-FGFR2-3 [plasma membrane],Activated FGFR2:p-8T-FRS2 [plasma membrane],p-8T-FRS2 [plasma membrane]]"
Activated NTRK2 signals through PLCG1,Activated PCLG1 dissociates from NTRK2,R-HSA-9026894,"[BDNF,NTF4:p-5Y-NTRK2:p-4Y-PLCG1 [plasma membrane]]","[p-4Y-PLCG1 [plasma membrane],BDNF,NTF4:p-5Y-NTRK2 [plasma membrane]]",[]
SHC-mediated cascade:FGFR1,Activated FGFR1:p-SHC1 binds GRB2:SOS1,R-HSA-5654597,"[Activated FGFR1:p-SHC1 [plasma membrane],GRB2-1:SOS1 [cytosol]]",[Activated FGFR1:p-SHC1:GRB2:SOS1 [plasma membrane]],[]
PDE3B signalling,"p-T309,S474-AKT2:PIP3 phosphorylates PDE3B",R-HSA-162363,"[PDE3B [cytosol],ATP [cytosol]]","[ADP [cytosol],p-S295-PDE3B [cytosol]]","[p-T309,S474-AKT2:PIP3 [plasma membrane],p-T309,S474-AKT2 [cytosol],PI(3,4,5)P3 [plasma membrane]]"
BDNF activates NTRK2 (TRKB) signaling,BDNF-bound NTRK2 dimerizes,R-HSA-9024967,"[NTRK2 [plasma membrane],BDNF:NTRK2 [plasma membrane]]",[BDNF:NTRK2 homodimer [plasma membrane]],[]
NTF4 activates NTRK2 (TRKB) signaling,NTF4-bound NTRK2 dimers trans-autophosphorylate,R-HSA-9026510,"[NTF4:NTRK2 homodimer [plasma membrane],ATP [cytosol]]","[NTF4:p-5Y-NTRK2 homodimer [plasma membrane],ADP [cytosol]]","[NTF4:NTRK2 homodimer [plasma membrane],NTRK2 [plasma membrane],NTF4:NTRK2 [plasma membrane],NTF4 homodimer [extracellular region],NTF4 [extracellular region]]"
NGF-stimulated transcription,EGR1 binds the VGF gene,R-HSA-9620663,"[VGF gene [nucleoplasm],EGR1 [nucleoplasm]]",[VGF gene:EGR1 [nucleoplasm]],[]
Signal attenuation,De-phosphorylation of p-Y427-SHC1,R-HSA-74748,[p-Y427-SHC1 [cytosol]],"[Pi [cytosol],SHC1 [cytosol]]",[protein tyrosine phosphatase [cytosol]]
PI3K events in ERBB2 signaling,PIP2 to PIP3 conversion by PI3K bound to phosphorylated heterodimer of ERBB2 and ERBB3,R-HSA-1250462,"[ATP [cytosol],PI(4,5)P2 [plasma membrane]]","[PI(3,4,5)P3 [plasma membrane],ADP [cytosol]]","[NRG1/2:p-ERBB3:p-ERBB2:PI3K [plasma membrane],PIK3CA [cytosol],NRG1/2:p-ERBB3:p-ERBB2:PIK3R1 [plasma membrane],Phosphorylated ERBB2:ERBB3 heterodimers [plasma membrane],NRG1/2:p-10Y-ERBB3:p-Y,877-ERBB2 [plasma membrane],NRG1/2:p-10Y-ERBB3 [plasma membrane],p-10Y-ERBB3-1 [plasma membrane],NRG1/2 [extracellular region],NRG2 [extracellular region],NRG1 [extracellular region],NRG1-10 [extracellular region],p-Y,Y877-ERBB2 [plasma membrane],NRG1/2:p-10Y-ERBB3:p-Y-ERBB2 [plasma membrane],p-Y-ERBB2 [plasma membrane],PIK3R1 [plasma membrane]]"
Phospholipase C-mediated cascade; FGFR2,p-4Y-PLCG1 dissociates from activated FGFR2,R-HSA-5654157,[activated FGFR2:p-4Y-PLCG1 [plasma membrane]],"[Activated FGFR2 [plasma membrane],p-4Y-PLCG1 [plasma membrane]]",[]
Downstream signal transduction,p130Cas and C3G bind PDGFR bound Crk,R-HSA-382052,"[RAPGEF1 [cytosol],BCAR1 [cytosol],PDGF:Phospho-PDGF receptor dimer:Crk [plasma membrane]]",[PDGF:Phospho-PDGF receptor dimer:Crk:p130Cas:C3G [plasma membrane]],[]
Insulin receptor signalling cascade,Dissociation of p-Y427-SHC1 from insulin receptor,R-HSA-74743,[Insulin:p-6Y-Insulin receptor:p-Y427-SHC1 [plasma membrane]],"[p-Y427-SHC1 [cytosol],Insulin:p-6Y-Insulin receptor [plasma membrane]]",[]
SHC-mediated cascade:FGFR3,Activated FGFR3 binds SHC1,R-HSA-5654625,"[SHC1-2,SHC1-3 [cytosol],Activated FGFR3 [plasma membrane]]",[Activated FGFR3:SHC1 [plasma membrane]],[]
Downregulation of ERBB2 signaling,"PTPN18 dephosphorylates ERBB2 at Y1196, Y1112 and Y1248",R-HSA-8864125,"[Phosphorylated ERBB2:EGFR heterodimers:PTPN18 [plasma membrane],H2O [cytosol]]","[Pi [cytosol],Phosphorylated ERBB2(dephosphorylated at Y1196,Y1112 and Y1248):EGFR heterodimers:PTPN18 [plasma membrane]]","[Phosphorylated ERBB2:EGFR heterodimers:PTPN18 [plasma membrane],PTPN18 [cytosol],Phosphorylated ERBB2:EGFR heterodimers [plasma membrane],EGF:p-6Y-EGFR:p-7Y,Y1112-ERBB2 [plasma membrane],p-7Y,Y1112-ERBB2 [plasma membrane],EGF:p-6Y-EGFR [plasma membrane],EGF [extracellular region],p-6Y-EGFR [plasma membrane],EGF:p-6Y-EGFR:p-6Y,Y1112-ERBB2 [plasma membrane],p-6Y,Y1112-ERBB2 [plasma membrane]]"
eNOS activation,AKT1 binds eNOS complex via HSP90,R-HSA-202137,"[eNOS:CaM:HSP90 [plasma membrane],p-T308,S473-AKT1 [cytosol]]",[eNOS:CaM:HSP90:p-AKT1 [plasma membrane]],[]
VEGFA-VEGFR2 Pathway,p-6Y-VEGFR2 binds SHB ,R-HSA-4420099,"[VEGFA dimer:p-6Y-VEGFR2 dimer [plasma membrane],SHB [cytosol]]",[VEGFA dimer:p-6Y-VEGFR2 dimer:SHB [plasma membrane]],[]
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",The cofactor BH4 is required for electron transfer in the eNOS catalytic cycle,R-HSA-1497784,"[BH4 [cytosol],p-S1177-eNOS:CaM:HSP90:p-AKT1 [plasma membrane]]",[p-S1177-eNOS:CaM:HSP90:p-AKT1:BH4 [plasma membrane]],[]
MET activates STAT3,Phosphorylated STAT3 Forms Dimers,R-HSA-2730595,[p-Y705-STAT3 [cytosol]],[p-Y705-STAT3 dimer [cytosol]],[]
VEGF binds to VEGFR leading to receptor dimerization,"VEGF-C,D bind to VEGFR3 leading to receptor dimerization",R-HSA-194308,"[FLT4 [plasma membrane],VEGFC,VEGFD dimers [extracellular region]]","[VEGFR3 dimer:VEGFC, VEGFD dimers [plasma membrane]]",[]
SHC1 events in ERBB2 signaling,SHC1 binds phosphorylated ERBB2 heterodimers,R-HSA-1963578,"[p-ERBB2 heterodimers [plasma membrane],SHC1 [cytosol]]",[SHC1:Phosphorylated ERBB2 heterodimers [plasma membrane]],[PTPN12 [cytosol]]
PI-3K cascade:FGFR4,Activated FGFR4:p-FRS2:p-PPTN11:GRB2:GAB1:PIK3R1binds PIK3CA,R-HSA-5654669,"[Activated FGFR4:p-FRS2:p-PTPN11:GRB2:GAB1:PIK3R1 [plasma membrane],PIK3CA [cytosol]]",[Activated FGFR4:p-FRS2:p-PTPN11:GRB2:GAB1:PI3K [plasma membrane]],[]
VEGFA-VEGFR2 Pathway,p-VAV family:PIP3 binds RAC1:GDP,R-HSA-8951586,"[p-VAV family:PIP3 [plasma membrane],RAC1:GDP [plasma membrane]]",[p-VAV family:PIP3:RAC1:GDP [plasma membrane]],[]
ERK/MAPK targets,ERK5 activates the transcription factor MEF2,R-HSA-199929,"[ATP [nucleoplasm],MEF2 [nucleoplasm]]","[ADP [nucleoplasm],p-MEF2 [nucleoplasm]]","[p-T218,Y220-MAPK7 [nucleoplasm]]"
Insulin receptor signalling cascade,Binding of SHC1 to insulin receptor,R-HSA-74740,"[SHC1 [cytosol],Insulin:p-6Y-Insulin receptor [plasma membrane]]",[Insulin:p-6Y-Insulin receptor:SHC1 [plasma membrane]],"[GRB10:INSR [plasma membrane],Insulin:p-6Y-Insulin receptor [plasma membrane],Insulin [extracellular region],2xHC-INS(25-54) [extracellular region],4xHC-INS(90-110) [extracellular region],p-6Y-insulin receptor [plasma membrane],INSR(28-758) [plasma membrane],p-6Y-INSR(763-1382) [plasma membrane],GRB10 [cytosol]]"
Signaling by SCF-KIT,Indirect recruitment of PI3K to KIT via p(Y)-GAB2,R-HSA-1562641,"[PI3K alpha [cytosol],p(Y)-GAB2:GRB2:p-SHP2:p-KIT complex [plasma membrane]]",[PI3K:p(Y)-GAB2:GRB2:p-SHP2:p-KIT complex [plasma membrane]],[]
EGFR downregulation,CDC42:GTP binds CBL:Beta-Pix,R-HSA-183094,"[Beta-Pix:CDC42:GTP [cytosol],CBL [cytosol]]",[CBL:Beta-Pix:CDC42:GTP [cytosol]],[]
Signaling by PDGF,PDGFRs bind type I TKI,R-HSA-9674093,"[type I PDGFR-binding tyrosine kinase inhibitors [cytosol],PDGF alpha receptor: PDGF dimers [plasma membrane]]",[PDGFR:type I PDGFR-binding TKIs [plasma membrane]],[]
GRB2 events in EGFR signaling,GRB2:SOS1 complex binds to EGF:EGFR complex,R-HSA-177943,"[EGF-like ligands:p-6Y EGFR dimer [plasma membrane],GRB2-1:SOS1 [cytosol]]",[EGF-like ligands:p-6Y-EGFR:GRB2:SOS1 [plasma membrane]],[]
Regulation of KIT signaling,PKC alpha interacts with and phosphorylates KIT,R-HSA-1433508,"[KIT [plasma membrane],ATP [cytosol],PRKCA [cytosol]]","[ADP [cytosol],p-KIT (S741,746):PKC alpha [plasma membrane]]",[PRKCA [cytosol]]
FRS-mediated FGFR4 signaling,Activated FGFR4 binds FRS2,R-HSA-5654422,"[Activated FGFR4 [plasma membrane],FRS2 [plasma membrane]]",[Activated FGFR4:FRS2 [plasma membrane]],[]
Negative regulation of FGFR4 signaling,p-CBL:GRB2 binds p-FRS2:activated FGFR4,R-HSA-5654734,"[Activated FGFR4:p-FRS2:p-PTPN11 [plasma membrane],p-Y371-CBL:GRB2 [cytosol]]",[Activated FGFR4:p-FRS2:p-PPTN11:p-CBL:GRB2 [plasma membrane]],[]
Activated NTRK2 signals through FRS2 and FRS3,NTRK2 phosphorylates FRS2,R-HSA-9028728,"[ATP [cytosol],BDNF,NTF4:p-5Y-NTRK2:FRS2 [plasma membrane]]","[ADP [cytosol],BDNF,NTF4:p-5Y-NTRK2:p-Y-FRS2 [plasma membrane]]","[BDNF,NTF4:p-5Y-NTRK2:FRS2 [plasma membrane],BDNF,NTF4:p-5Y-NTRK2 [plasma membrane],BDNF:p-5Y-NTRK2 homodimer [plasma membrane],p-5Y-NTRK2 [plasma membrane],BDNF:p-5Y-NTRK2 [plasma membrane],BDNF homodimer [extracellular region],BDNF [extracellular region],NTF4:p-5Y-NTRK2 homodimer [plasma membrane],NTF4:p-5Y-NTRK2 [plasma membrane],NTF4 homodimer [extracellular region],NTF4 [extracellular region],FRS2 [cytosol]]"
VEGFR2 mediated cell proliferation,Calcium binds calmodulin,R-HSA-74448,"[CALM1 [cytosol],Ca2+ [cytosol]]",[CALM1:4xCa2+ [cytosol]],[]
SHC-mediated cascade:FGFR3,Activated FGFR3:p-SHC1:GRB2:SOS1 activates RAS nucleotide exchange,R-HSA-5654647,"[GTP [cytosol],p21 RAS:GDP [plasma membrane]]","[GDP [cytosol],p21 RAS:GTP [plasma membrane]]","[Activated FGFR3:pY-SHC1:GRB2:SOS1 [plasma membrane],GRB2-1:SOS1 [cytosol],SOS1 [cytosol],GRB2-1 [cytosol],Activated FGFR3:pY-SHC1 [plasma membrane],Activated FGFR3 [plasma membrane],Activated FGFR3c homodimer  [plasma membrane],FGFR3c-binding FGFs [extracellular region],FGF4 [extracellular region],FGF1 [extracellular region],FGF18 [extracellular region],FGF20 [extracellular region],FGF8-1 [extracellular region],GalNAc-T178-FGF23(25-251) [extracellular region],FGF2(10-155) [extracellular region],FGF17-1 [extracellular region],FGF9 [extracellular region],FGF16 [extracellular region],FGF5-1 [extracellular region],HS [extracellular region],p-6Y-FGFR3c [plasma membrane],Activated FGFR3b homodimer [plasma membrane],p-6Y-FGFR3b [plasma membrane],FGFR3b-binding FGFs [extracellular region],p-SHC1 p46,p52 [plasma membrane],p-Y239,Y240,Y317-SHC1-2 [plasma membrane],p-Y194,Y195,Y272-SHC1-3 [plasma membrane]]"
FRS-mediated FGFR1 signaling,Activated FGFR1 phosphorylates FRS3,R-HSA-5654578,"[ATP [cytosol],Activated FGFR1:FRS3 [plasma membrane]]","[ADP [cytosol],Activated FGFR1:p-FRS3 [plasma membrane]]","[Activated FGFR1:FRS3 [plasma membrane],FRS3 [plasma membrane],Activated FGFR1 [plasma membrane],Activated FGFR1c bound to FGF23:Klotho [plasma membrane],p-8Y-FGFR1c [plasma membrane],HS [extracellular region],Klotho bound to FGF23 [plasma membrane],FGF23(25-251) [extracellular region],Klotho homodimer [plasma membrane],Klotho [extracellular region],Secreted Klotho homodimer [extracellular region],KL-2 [extracellular region],Membrane-bound Klotho homodimer [plasma membrane],KL-1 [plasma membrane],Activated FGFR1c homodimer  [plasma membrane],FGFR1c-binding FGFs [extracellular region],FGF4 [extracellular region],FGF1 [extracellular region],FGF20 [extracellular region],FGF8-1 [extracellular region],GalNAc-T178-FGF23(25-251) [extracellular region],FGF2(10-155) [extracellular region],FGF17-1 [extracellular region],FGF6 [extracellular region],FGF9 [extracellular region],FGF5-1 [extracellular region],Activated FGFR1b homodimer [plasma membrane],p-8Y-FGFR1b dimer [plasma membrane],p-8Y-FGFR1b [plasma membrane],FGFR1b-binding FGFs [extracellular region],FGF22 [extracellular region],FGF3 [extracellular region],FGF10 [extracellular region]]"
Phospholipase C-mediated cascade; FGFR2,Activated FGFR2 binds PLCG1,R-HSA-5654159,"[Activated FGFR2 [plasma membrane],PI(3,4,5)P3 [plasma membrane],PLCG1 [plasma membrane]]",[activated FGFR2:PLCG1 [plasma membrane]],[]
NGF-stimulated transcription,NAB2 binds EGR1 to repress CDK5R1 gene expression,R-HSA-9616367,"[CDK5R1 gene:EGR1 [nucleoplasm],NAB2 [nucleoplasm]]",[CDK5R1 gene:EGR1:NAB2 [nucleoplasm]],[]
