PathwayName,ReactionName,ReactomeID,Input,Output,OtherEntities,Author
Translation of Replicase and Assembly of the Replication Transcription Complex,Enhanced autophagosome formation,R-HSA-9687435,[MAP1LC3B [cytosol]],[MAP1LC3B [autophagosome membrane]],"[pp1a-nsp6-11 [cytosol],8b [cytosol],ESCRT-III [cytosol],CHMP3 [cytosol],CHMP6 [cytosol],CHMP2 [cytosol],CHMP2B [cytosol],CHMP2A [cytosol],CHMP7 [cytosol],CHMP4 [cytosol],CHMP4C [cytosol],CHMP4B [cytosol],CHMP4A [cytosol],UVRAG complex [cytosol],BECN1 [cytosol],UVRAG [cytosol],PIK3R4 [cytosol],PIK3C3 [cytosol],9b [cytosol]]","Varusai, TM"
Translation of Replicase and Assembly of the Replication Transcription Complex,"Nsp3, nsp4, and nsp6 produce replicative organelles",R-HSA-9686015,"[N-glycan nsp3 [endoplasmic reticulum membrane],N-glycan nsp4 [endoplasmic reticulum membrane],nsp6 [endoplasmic reticulum membrane]]","[nsp6 [double membrane vesicle viral factory outer membrane],nsp3:nsp4 [double membrane vesicle viral factory outer membrane]]",[],"Stephan, R"
Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC),nsp14 binds nsp12,R-HSA-9682258,"[nsp7:nsp8:nsp12 [cytosol],nsp10:nsp14 [cytosol]]",[nsp7:nsp8:nsp12:nsp14:nsp10 [cytosol]],[],"Orlic-Milacic, M"
Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC),nsp13 binds nsp12,R-HSA-9682626,"[pp1ab-nsp13 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10 [cytosol]]",[nsp7:nsp8:nsp12:nsp14:nsp10:nsp13 [cytosol]],[],"Orlic-Milacic, M"
Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC),nsp15 binds nsp8,R-HSA-9683393,"[nsp7:nsp8:nsp12:nsp14:nsp10:nsp13 [cytosol],nsp15 hexamer [cytosol]]",[nsp7:nsp8:nsp12:nsp14:nsp10:nsp13:nsp15 [cytosol]],[],"Orlic-Milacic, M"
Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC),nsp14 binds nsp10,R-HSA-9682544,"[pp1ab-nsp14 [cytosol],nsp10 [cytosol]]",[nsp10:nsp14 [cytosol]],[],"Orlic-Milacic, M"
Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC),nsp16 binds nsp10,R-HSA-9683429,"[nsp10 [cytosol],pp1ab-nsp16 [cytosol]]",[nsp16:nsp10 [cytosol]],[],"Orlic-Milacic, M"
Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC),nsp3 binds to nsp7-8 and nsp12-16,R-HSA-9686005,"[nsp3:nsp4:nsp6 [double membrane vesicle viral factory outer membrane],nsp16:nsp10 [cytosol],nsp7:nsp8:nsp12:nsp14:nsp10:nsp13:nsp15 [cytosol]]",[RTC [double membrane vesicle viral factory outer membrane]],[],"Stephan, R"
Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC),nsp12 binds nsp7 and nsp8,R-HSA-9680811,"[pp1ab-nsp12 [cytosol],nsp7:nsp8 [cytosol],nsp8 [cytosol]]",[nsp7:nsp8:nsp12 [cytosol]],[],"Orlic-Milacic, M"
Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC),nsp15 forms a hexamer,R-HSA-9682718,[pp1ab-nsp15 [cytosol]],[nsp15 hexamer [cytosol]],[],"Orlic-Milacic, M"
Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC),Nsp3:nsp4 binds to nsp6,R-HSA-9686013,"[nsp6 [double membrane vesicle viral factory outer membrane],nsp3:nsp4 [double membrane vesicle viral factory outer membrane]]",[nsp3:nsp4:nsp6 [double membrane vesicle viral factory outer membrane]],[],"Stephan, R"
Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC),nsp7 binds nsp8,R-HSA-9680812,"[nsp7 [cytosol],nsp8 [cytosol]]",[nsp7:nsp8 [cytosol]],[],"Orlic-Milacic, M"
Translation of Replicase and Assembly of the Replication Transcription Complex,mRNA1 is translated to pp1a,R-HSA-9684301,"[m7G(5')pppAm-capped, polyadenylated SARS-CoV-1 genomic RNA (plus strand) [cytosol]]",[pp1a [cytosol]],[],"Stephan, R"
Maturation of protein E,E pentamer is transported to the Golgi,R-HSA-9683635,[Ub-3xPalmC-E pentamer [endoplasmic reticulum membrane]],[Ub-3xPalmC-E pentamer [Golgi membrane]],[],"Stephan, R"
Maturation of protein E,Protein E forms a homopentamer,R-HSA-9683670,[Ub-3xPalmC-E [endoplasmic reticulum lumen]],[Ub-3xPalmC-E pentamer [endoplasmic reticulum membrane]],[],"Stephan, R"
Maturation of protein E,E protein gets N-glycosylated,R-HSA-9683669,"[nucleotide-sugar [endoplasmic reticulum lumen],nascent E [endoplasmic reticulum lumen]]","[H+ [endoplasmic reticulum lumen],N-glycan E [endoplasmic reticulum lumen],nucleoside 5'-diphosphate(3−) [endoplasmic reticulum lumen]]",[],"Stephan, R"
Maturation of protein E,E protein gets palmitoylated,R-HSA-9683720,"[palmitoyl-CoA [endoplasmic reticulum lumen],nascent E [endoplasmic reticulum lumen]]","[3xPalmC-E [endoplasmic reticulum lumen],CoA-SH [endoplasmic reticulum lumen]]",[],"Stephan, R"
Maturation of protein E,Ubiquination of protein E,R-HSA-9683679,"[3xPalmC-E [endoplasmic reticulum lumen],Ub [endoplasmic reticulum membrane]]",[Ub-3xPalmC-E [endoplasmic reticulum lumen]],[],"Stephan, R"
Translation of structural proteins,mRNA3 is translated to protein 3a,R-HSA-9683618,"[m7G(5')pppAm-capped,polyadenylated mRNA3 [cytosol]]",[3a [endoplasmic reticulum lumen]],[],"Stephan, R"
Translation of structural proteins,mRNA9a is translated to Nucleoprotein,R-HSA-9683735,"[m7G(5')pppAm-capped,polyadenylated-mRNA9 [cytosol]]",[Ncap [cytosol]],[],"Stephan, R"
Translation of structural proteins,mRNA5 is translated to protein M,R-HSA-9683622,"[m7G(5')pppAm-capped,polyadenylated mRNA5 [cytosol]]",[nascent M [endoplasmic reticulum lumen]],[],"Stephan, R"
Maturation of spike protein,Spike trimer glycoside chains are extended,R-HSA-9683648,"[UDP-N-acetyl-alpha-D-glucosamine(2−) [endoplasmic reticulum-Golgi intermediate compartment],trimmed N-glycan-PALM-Spike trimer [endoplasmic reticulum-Golgi intermediate compartment]]","[complex N-glycan-PALM-Spike trimer [endoplasmic reticulum-Golgi intermediate compartment],UDP [endoplasmic reticulum-Golgi intermediate compartment],H+ [endoplasmic reticulum-Golgi intermediate compartment]]",[MGAT1 [endoplasmic reticulum-Golgi intermediate compartment membrane]],"Stephan, R"
Maturation of spike protein,Spike protein forms a homotrimer,R-HSA-9683719,[trimmed N-glycan-PALM-Spike [endoplasmic reticulum lumen]],[trimmed N-glycan-PALM-Spike trimer [endoplasmic reticulum lumen]],[],"Stephan, R"
Maturation of spike protein,ER-alpha glucosidases bind ER-alpha glucosidase inhibitors,R-HSA-9686790,"[ER-alpha-glucosidase inhibitors [endoplasmic reticulum lumen],ER alpha-glucosidases [endoplasmic reticulum lumen]]",[ER-alpha glucosidases:ER-alpha glucosidase inhibitors [endoplasmic reticulum lumen]],[],"Stephan, R"
Maturation of spike protein,Spike protein gets palmitoylated,R-HSA-9683653,"[palmitoyl-CoA [endoplasmic reticulum lumen],trimmed N-glycan Spike [endoplasmic reticulum lumen]]","[trimmed N-glycan-PALM-Spike [endoplasmic reticulum lumen],CoA-SH [endoplasmic reticulum lumen]]",[],"Stephan, R"
Maturation of spike protein,Spike trimer translocates to ERGIC,R-HSA-9683764,[trimmed N-glycan-PALM-Spike trimer [endoplasmic reticulum lumen]],[trimmed N-glycan-PALM-Spike trimer [endoplasmic reticulum-Golgi intermediate compartment]],[],"Stephan, R"
Maturation of spike protein,Spike protein gets N-glycosylated,R-HSA-9683755,"[nucleotide-sugar [endoplasmic reticulum lumen],nascent Spike [endoplasmic reticulum lumen]]","[H+ [endoplasmic reticulum lumen],N-glycan Spike [endoplasmic reticulum lumen],nucleoside 5'-diphosphate(3−) [endoplasmic reticulum lumen]]",[],"Stephan, R"
Maturation of spike protein,N-glycan trimming of Spike,R-HSA-9683663,"[H2O [endoplasmic reticulum lumen],N-glycan Spike [endoplasmic reticulum lumen]]","[beta-D-glucose [endoplasmic reticulum lumen],trimmed unfolded N-glycan Spike [endoplasmic reticulum lumen]]","[ER alpha-glucosidases [endoplasmic reticulum lumen],glucosidase II [endoplasmic reticulum lumen],PRKCSH [endoplasmic reticulum lumen],GANAB [endoplasmic reticulum lumen],MOGS [endoplasmic reticulum membrane],ER-alpha glucosidases:ER-alpha glucosidase inhibitors [endoplasmic reticulum lumen],ER-alpha-glucosidase inhibitors [endoplasmic reticulum lumen],1-deoxynojirimycin [endoplasmic reticulum lumen],N-ethyl-1-deoxynojirimycin [endoplasmic reticulum lumen],miglitol [endoplasmic reticulum lumen],miglustat [endoplasmic reticulum lumen],1-deoxynojirimycin-1-sulfonic acid [endoplasmic reticulum lumen]]","Stephan, R"
Maturation of spike protein,Trimmed spike protein binds to calnexin,R-HSA-9683772,[trimmed unfolded N-glycan Spike [endoplasmic reticulum lumen]],[trimmed N-glycan Spike [endoplasmic reticulum lumen]],[CANX [endoplasmic reticulum lumen]],"Stephan, R"
Maturation of nucleoprotein,Dimerisation of nucleoprotein,R-HSA-9683634,[SUMO1-K62-ADPr-p-S177-Ncap [cytosol]],[SUMO1-K62-p-S177-Ncap dimer [cytosol]],[],"Stephan, R"
Maturation of nucleoprotein,Unphosphorylated nucleoprotein translocates to the plasma membrane,R-HSA-9683714,[Ncap [cytosol]],[Ncap [plasma membrane]],[],"Stephan, R"
Maturation of nucleoprotein,GSK3B phosphorylates Ncap,R-HSA-9683664,"[Ncap [cytosol],ATP [cytosol]]","[H+ [cytosol],ADP [cytosol],p-S177-Ncap [cytosol]]","[GSK3B [cytosol],GSK3B:GSKi [cytosol],GSKi [cytosol],GSK-3beta inhibitor VIII [cytosol],alsterpaullone 2-cyanoethyl [cytosol],IM-12 [cytosol],LY2090314 [cytosol],GSK-3 inhibitor XIII [cytosol],GSK-3beta inhibitor II [cytosol],isogranulatimide [cytosol],AZD2858 [cytosol],CHIR-99021 [cytosol],indirubin-3'-monoxime [cytosol],CHIR-98014 [cytosol],azakenpaullone [cytosol],GSK-3beta inhibitor I [cytosol],TWS119 [cytosol],SB-415286 [cytosol],SB 216763 [cytosol],alsterpaullone [cytosol],AZD1080 [cytosol],kenpaullone [cytosol],Li<sup>+</sup> [cytosol]]","Stephan, R"
Maturation of nucleoprotein,Nucleoprotein is SUMOylated,R-HSA-9683687,"[SUMO1:C93-UBE2I [cytosol],ADPr-p-S177-Ncap [cytosol]]","[UBE2I [cytosol],SUMO1-K62-ADPr-p-S177-Ncap [cytosol]]",[],"Stephan, R"
Maturation of nucleoprotein,Nucleoprotein translocates to the nucleolus,R-HSA-9683606,[SUMO1-K62-p-S177-Ncap dimer [cytosol]],[SUMO-p-Ncap dimer [nucleolus]],[],"Stephan, R"
Maturation of nucleoprotein,Nucleoprotein translocates to the ERGIC outer membrane,R-HSA-9683765,[SUMO1-K62-p-S177-Ncap dimer [cytosol]],[SUMO1-K62-p-S177-Ncap dimer [endoplasmic reticulum-Golgi intermediate compartment membrane]],[],"Stephan, R"
Maturation of nucleoprotein,Nucleoprotein translocates to the plasma membrane,R-HSA-9683630,[SUMO1-K62-p-S177-Ncap dimer [cytosol]],[SUMO-p-Ncap dimer [plasma membrane]],[],"Stephan, R"
Maturation of nucleoprotein,Nucleoprotein is ADP-ribosylated,R-HSA-9686061,"[p-S177-Ncap [cytosol],NAD+ [cytosol]]","[NAM [cytosol],H+ [cytosol],ADPr-p-S177-Ncap [cytosol]]","[PARPs [cytosol],PARP14 [cytosol],PARP6 [cytosol],PARP8 [cytosol],PARP4 [cytosol],PARP10 [cytosol],PARP9 [cytosol],PARP16 [cytosol]]","Stephan, R"
Maturation of nucleoprotein,GSK3B binds GSKi,R-HSA-9687724,"[GSKi [cytosol],GSK3B [cytosol]]",[GSK3B:GSKi [cytosol]],[],"Stephan, R"
Maturation of protein 3a,3a localizes to the cell membrane,R-HSA-9685939,[O-glycosyl 3a tetramer [endoplasmic reticulum-Golgi intermediate compartment membrane]],[O-glycosyl 3a [plasma membrane]],[],"Stephan, R"
Maturation of protein 3a,Protein 3a forms a homotetramer,R-HSA-9683746,[O-glycosyl 3a [endoplasmic reticulum-Golgi intermediate compartment membrane]],[O-glycosyl 3a tetramer [endoplasmic reticulum-Golgi intermediate compartment membrane]],[],"Stephan, R"
Maturation of protein 3a,3a translocates to the ERGIC,R-HSA-9683712,[3a [endoplasmic reticulum lumen]],[3a [endoplasmic reticulum-Golgi intermediate compartment]],[],"Stephan, R"
Maturation of protein 3a,GalNAc is transferred onto 3a,R-HSA-9683760,"[3a [endoplasmic reticulum-Golgi intermediate compartment],UDP-GalNAc [endoplasmic reticulum-Golgi intermediate compartment]]","[GalNAc-O-3a [endoplasmic reticulum-Golgi intermediate compartment],UDP [endoplasmic reticulum-Golgi intermediate compartment],H+ [endoplasmic reticulum-Golgi intermediate compartment]]",[GALNT1 [endoplasmic reticulum-Golgi intermediate compartment membrane]],"Stephan, R"
Maturation of protein 3a,3a is externalized together with membrane structures,R-HSA-9685956,"[Host Derived Lipid Bilayer Membrane [plasma membrane],O-glycosyl 3a tetramer [plasma membrane]]",[3a:membranous structure [extracellular region]],[],"Stephan, R"
Maturation of protein 3a,O-glycosylation of 3a is terminated,R-HSA-9683769,"[GalNAc-O-3a [endoplasmic reticulum-Golgi intermediate compartment],CMP-Neu5Ac [Golgi lumen]]","[O-glycosyl 3a [endoplasmic reticulum-Golgi intermediate compartment membrane],CMP [Golgi lumen]]","[sialyltransferases [Golgi membrane],ST6GALNAC3 [Golgi membrane],ST3GAL2 [Golgi membrane],ST6GAL1 [Golgi membrane],ST6GALNAC4 [Golgi membrane],ST3GAL1 [Golgi membrane],ST3GAL4 [Golgi membrane],ST6GALNAC2 [Golgi membrane],ST3GAL3 [Golgi membrane]]","Stephan, R"
Maturation of protein 3a,Endocytosis of protein 3a,R-HSA-9685950,[O-glycosyl 3a tetramer [plasma membrane]],[O-glycosyl 3a tetramer [endocytic vesicle membrane]],[],"Stephan, R"
Translation of structural proteins,mRNA2 is translated to Spike,R-HSA-9683624,"[m7G(5')pppAm-capped,polyadenylated mRNA2 [cytosol]]",[nascent Spike [endoplasmic reticulum lumen]],[],"Stephan, R"
Translation of structural proteins,mRNA4 is translated to protein E,R-HSA-9683656,"[m7G(5')pppAm-capped,polyadenylated mRNA4 [cytosol]]",[nascent E [endoplasmic reticulum lumen]],[],"Stephan, R"
Maturation of protein M,M protein gets N-glycosylated,R-HSA-9683751,"[nucleotide-sugar [endoplasmic reticulum lumen],nascent M [endoplasmic reticulum lumen]]","[H+ [endoplasmic reticulum lumen],N-glycan M [endoplasmic reticulum membrane],nucleoside 5'-diphosphate(3−) [endoplasmic reticulum lumen]]",[],"Stephan, R"
Maturation of protein M,Protein M localizes to the Golgi membrane,R-HSA-9683718,[nascent M [endoplasmic reticulum lumen]],[M [endoplasmic reticulum-Golgi intermediate compartment membrane]],[],"Stephan, R"
Maturation of protein M,Glycosylated M localizes to the Golgi membrane,R-HSA-9683734,[N-glycan M [endoplasmic reticulum membrane]],[N-glycan M [endoplasmic reticulum-Golgi intermediate compartment membrane]],[],"Stephan, R"
