PathwayName,ReactionName,ReactomeID,Input,Output,OtherEntities
Interleukin-12 signaling,IL12A:IL12B translocates from ER lumen to Golgi,R-HSA-8950575,[IL12A:IL12B [endoplasmic reticulum lumen]],[IL12A:IL12B [Golgi lumen]],[]
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,TCR binds microbial lipid-based antigen via CD1,R-HSA-8850356,"[T-cell receptor complex [plasma membrane],CD1:B2M:microbial lipid [plasma membrane]]",[CD1:B2M:microbial lipid:TCR [plasma membrane]],[]
FCERI mediated NF-kB activation,"26S proteasome processes K48PolyUb-K21,22-p-S32,36-IkBA:NF-kB complex to form NF-kB complex",R-HSA-5607724,"[K48PolyUb-K21,22-p-S32,36-IkBA:NF-kB complex [cytosol]]",[NFKB1(1-433):RELA [cytosol]],"[26S proteasome [cytosol],PSMD3 [cytosol],PSMA6 [cytosol],PSMD2 [cytosol],PSMA5 [cytosol],PSMD13 [cytosol],PSMA4 [cytosol],PSMD12 [cytosol],PSMA3 [cytosol],PSMD11 [cytosol],PSMA2 [cytosol],SHFM1 [cytosol],PSMD10 [cytosol],PSMA1 [cytosol],PSMD1 [cytosol],PSMD14 [cytosol],PSMC6 [cytosol],PSMC5 [cytosol],PSMC4 [cytosol],PSMC3 [cytosol],PSMC2 [cytosol],PSMC1 [cytosol],PSMB9 [cytosol],PSMB8 [cytosol],PSMB11 [cytosol],PSME4 [cytosol],PSMB7 [cytosol],PSMB6 [cytosol],PSMA8 [cytosol],PSMF1 [cytosol],PSME3 [cytosol],PSMB5 [cytosol],PSME2 [cytosol],PSMB4 [cytosol],PSME1 [cytosol],PSMD9 [cytosol],PSMB3 [cytosol],PSMD8 [cytosol],PSMB2 [cytosol],PSMD7 [cytosol],PSMD6 [cytosol],PSMB10 [cytosol],PSMD5 [cytosol],PSMB1 [cytosol],PSMD4 [cytosol],PSMA7 [cytosol]]"
Antimicrobial peptides,"ELANE, CTSG or PRTN3 binds bacteria",R-HSA-6813659,"[Microbial cell surface [plasma membrane],ELANE, CTSG, PRTN3 [extracellular region]]","[ELANE,CTSG, PRTN3:microbial cell surface [extracellular region]]",[]
Activation of NF-kappaB in B cells,SCF with beta-TrCP1 or beta-TrCP2 binds NF-kappaB:phospho-IkB,R-HSA-1168642,"[NF-kappa-B p50,p65,c-Rel:p-IKB [cytosol],(BTRC:CUL1:SKP1),(FBXW11:CUL1:SKP1) [cytosol]]",[NF-kappaB:p-IkB:SCF-betaTrCP [cytosol]],[]
NOD1/2 Signaling Pathway,TAK1 phosphorylates MKK6,R-HSA-727819,"[MAP2K6 [cytosol],ATP [cytosol]]","[p-S207,T211-MAP2K6 [cytosol],ADP [cytosol]]","[TAK1 complex [cytosol],TAB1 [cytosol],TAB2,TAB3 [cytosol],TAB2 [cytosol],TAB3 [cytosol],MAP3K7 [cytosol]]"
Rap1 signalling,Activation of EPACs by cAMP,R-HSA-392834,"[cAMP [cytosol],Rap1 cAMP-GEFs [plasma membrane]]",[Rap1 cAMP-GEFs:cAMP [cytosol]],[]
Macroautophagy,ATG7:ATG3:LC3 dissociates,R-HSA-5683593,[LC3:CysO263-ATG3:ATG7 dimer [cytosol]],"[ATG7 dimer [cytosol],CysO263-ATG3:LC3 [cytosol]]",[]
Activation of C3 and C5,Activation of C5,R-HSA-173680,[C5 [extracellular region]],"[C5a [extracellular region],C5b [extracellular region]]","[C5 convertases [plasma membrane],C4b:C2a:C3b [plasma membrane],Cell surface:C4b:C2a [plasma membrane],Cell surface:C4b [plasma membrane],Cell surface [plasma membrane],C4b [extracellular region],deamidated-Q1013-C4A-derived C4b [extracellular region],dNQ-C4A(757-1446) [extracellular region],C4A(1454-1744) [extracellular region],C4A(20-675) [extracellular region],deamidated, estrer-crosslinked-Q1013-C4B-derived C4b [extracellular region],C4B(20-675) [extracellular region],dNQ, ester crosslinked-C4B(757-1446) [extracellular region],C4B(1454-1744) [extracellular region],C2a [extracellular region],Cell surface:C3b [plasma membrane],C3b [extracellular region],C3 beta chain [extracellular region],C3b alpha' [extracellular region],C3b:Bb:C3b:Properdin  [plasma membrane],Cell surface:C3b:Bb:Properdin [plasma membrane],CFB(260-764) [plasma membrane],Properdin oligomer [extracellular region]]"
Pexophagy,MAP1LC3B binds ATM dimer:Ub-p-PEX5:SQSTM1:NBR1,R-HSA-9664880,"[ATM dimer:Ub-p-PEX5:SQSTM1:NBR1 [peroxisomal membrane],MAP1LC3B [cytosol]]",[ATM dimer:Ub-p-PEX5:SQSTM1:NBR1:MAP1LC3B [peroxisomal membrane]],[]
FCERI mediated MAPK activation,Activated JNKs phosphorylate c-JUN,R-HSA-168136,"[ATP [nucleoplasm],JUN [nucleoplasm]]","[ADP [nucleoplasm],p-S63,S73-JUN [nucleoplasm]]","[p-MAPK8,9,10 [nucleoplasm],p-T221,Y223-MAPK10 [nucleoplasm],p-T183,Y185-MAPK9 [nucleoplasm],p-T,Y-MAPK8 [nucleoplasm]]"
CD28 dependent PI3K/Akt signaling,AKT binds PDPK1,R-HSA-2317314,"[PDPK1:PIP3 [plasma membrane],p-S-AKT:PIP3 [plasma membrane]]",[p-S-AKT:PDPK1:PIP3 [plasma membrane]],[]
Interleukin-15 signaling,IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3 phosphorylates SHC1,R-HSA-8983309,"[ATP [cytosol],IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3:SHC1 [plasma membrane]]","[ADP [cytosol],IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3:p-Y-SHC1 [plasma membrane]]","[IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3:SHC1 [plasma membrane],SHC1 [cytosol],IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3 [plasma membrane],p-Y-IL2RG [cytosol],p-Y-JAK1 [cytosol],p-Y-IL2RB [cytosol],IL15:IL15RA [plasma membrane],IL15RA [plasma membrane],IL15 [extracellular region],p-Y-JAK3 [cytosol]]"
Interleukin-12 signaling,Y693-STAT4 dimer translocates to the nucleus,R-HSA-8950181,[p-Y693-STAT4 dimer [cytosol]],[Y963-STAT4 dimer [nucleoplasm]],[]
Transfer of LPS from LBP carrier to CD14,Secreted CD14 binds LPS,R-HSA-169719,"[LBP:bacterial LPS [extracellular region],CD14(20-345) [extracellular region]]","[LPS:secreted CD14 [extracellular region],LBP [extracellular region]]",[]
Interleukin-20 family signaling,IL22 binds IL22RA1:JAK1 receptor complex,R-HSA-448480,"[IL22 [extracellular region],IL22RA1:JAK1 [plasma membrane]]",[IL22:IL22RA1:JAK1 [plasma membrane]],"[IL22RA2:IL22 [extracellular region],IL22RA2 [extracellular region],IL22 [extracellular region]]"
Regulation of IFNG signaling,Dephosphorylation of JAKs by PTPs,R-HSA-877308,"[H2O [cytosol],IFNG:IFNGR1:p-JAK1:IFNGR2:p-JAK2 [plasma membrane]]","[Pi [cytosol],IFNG:IFNGR1:JAK1:IFNGR2:JAK2 [plasma membrane]]","[PTPs-SHP1/2/PTP1B [cytosol],PTPN6 [cytosol],PTPN11 [cytosol],PTPN1 [cytosol]]"
RHO GTPases Activate WASPs and WAVEs,Branching and elongation of mother and daughter filaments,R-HSA-2029473,"[Mother filament:ARP2/3:actin:ADP [cytosol],G-actin [cytosol]]",[Mother filament:branching complex:daughter filament [cytosol]],[]
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,STIM1 oligomerizes,R-HSA-1168376,[STIM1:Calcium [endoplasmic reticulum membrane]],"[STIM1 Dimer [endoplasmic reticulum membrane],Ca2+ [cytosol]]","[ITPR:I(1,4,5)P3 tetramer [endoplasmic reticulum membrane],I(1,4,5)P3 [cytosol],ITPR tetramers [endoplasmic reticulum membrane],ITPR1 tetramer [endoplasmic reticulum membrane],ITPR1 [endoplasmic reticulum membrane],ITPR3 tetramer [endoplasmic reticulum membrane],ITPR3 [endoplasmic reticulum membrane],ITPR2 tetramer [endoplasmic reticulum membrane],ITPR2 [endoplasmic reticulum membrane]]"
Interleukin-20 family signaling,p-Y705-STAT3 dimer translocates from cytosol to nucleoplasm,R-HSA-6784763,[p-Y705-STAT3 dimer [cytosol]],[p-Y705-STAT3 dimer [nucleoplasm]],[]
NIK-->noncanonical NF-kB signaling,Active NIK phosphorylates IKKA dimer,R-HSA-5607722,"[IKKA dimer [cytosol],Active NIK [cytosol],ATP [cytosol]]","[ADP [cytosol],Active NIK:p-S176,180-IKKA dimer [cytosol]]",[Active NIK [cytosol]]
Interleukin-21 signaling,IL21 receptor JAK phosphorylation,R-HSA-9006850,"[ATP [cytosol],IL21:IL21R:JAK1:IL2RG:JAK3 [plasma membrane]]","[ADP [cytosol],IL21:IL21R:p-Y-JAK1:IL2RG:p-Y-JAK3 [plasma membrane]]",[]
Interleukin-7 signaling,BRWD1 binds SMARCA4,R-HSA-8865605,"[BRWD1 [nucleoplasm],SMARCA4 [nucleoplasm]]",[BRWD1:SMARCA4 [nucleoplasm]],[]
FCERI mediated MAPK activation,Recruitment of VAV to p-SLP-76,R-HSA-2730892,"[VAV1,2,3 [cytosol],p-5Y-LAT:p-SHC1:GRB2:SOS1:GADS:p-Y113,Y128,Y145-SLP-76:PLCG [plasma membrane]]","[p-5Y-LAT:p-SHC1:GRB2:SOS1:GADS:p-Y113,Y128,Y145-SLP-76:PLCG1:VAV [plasma membrane]]",[]
FCERI mediated Ca+2 mobilization,Translocation of CaN:CaM:NFAT to nucleus,R-HSA-2730867,[NFAT:CaN:CaM [cytosol]],[NFAT:CaN:CaM [nucleoplasm]],[]
Interleukin-20 family signaling,IL22:IL22RA1:p-JAK1:IL10RB:p-TYK2 phosphorylates IL22RA,R-HSA-8986995,"[ATP [cytosol],IL22:IL22RA1:p-JAK1:IL10RB:p-TYK2 [plasma membrane]]","[ADP [cytosol],IL22:p-Y251,p-Y301-IL22RA1:p-JAK1:IL10RB:p-TYK2 [plasma membrane]]","[IL22:IL22RA1:p-JAK1:IL10RB:p-TYK2 [plasma membrane],IL10RB:p-TYK2 [plasma membrane],p-TYK2 [cytosol],IL10RB [plasma membrane],IL22 [extracellular region],IL22RA1:p-JAK1 [plasma membrane],IL22RA1 [plasma membrane],p-JAK1 [cytosol]]"
Macroautophagy,ATG10:ATG12:ATG7 dimer dissociates,R-HSA-5683583,[ATG7 dimer:GlyK166-ATG10:ATG12 [cytosol]],"[ATG7 dimer [cytosol],ATG12:GlyK166-ATG10 [cytosol]]",[]
Macroautophagy,ATG12:ATG7:CysO572-ATG7 binds ATG10,R-HSA-5682893,"[ATG12:ATG7:CysO572-ATG7 [cytosol],ATG10 [cytosol]]",[ATG12:ATG7:CysO572-ATG7:ATG10 [cytosol]],[]
NIK-->noncanonical NF-kB signaling,"SCF-beta-TRCP binds p-7S-p100 in active NIK:p-S176,180-IKKA dimer:p-7S-p100:RELB",R-HSA-5607723,"[Active NIK:p-S176,180-IKKA dimer:p-7S-p100:RELB [cytosol],SCF-beta-TRCP [cytosol]]","[Active NIK:p-176,S180-IKKA dimer:p-7S-p100:SCF-beta-TRCP [cytosol]]",[]
Interleukin-2 signaling,p-STAT5 dimerizes,R-HSA-452102,"[p-STAT5A, p-STAT5B [cytosol]]",[p-STAT5 dimer [cytosol]],[]
Interleukin-10 signaling,"JAK1,TYK2 phosphorylate JAK1,TYK2",R-HSA-6784319,"[IL10 dimer:2xIL10RA:JAK1:2xIL10RB:TYK2 [plasma membrane],ATP [cytosol]]","[ADP [cytosol],IL10 dimer:2xIL10RA:p-Y-JAK1:2xIL10RB:p-Y-TYK2 [plasma membrane]]","[IL10 dimer:2xIL10RA:JAK1:2xIL10RB:TYK2 [plasma membrane],IL10 dimer:2xIL10RA:JAK1 [plasma membrane],IL10 dimer [extracellular region],IL10 [extracellular region],IL10RA:JAK1 [plasma membrane],IL10RA [plasma membrane],JAK1 [cytosol],IL10RB:TYK2 [plasma membrane],IL10RB [plasma membrane],TYK2 [cytosol]]"
Interleukin-9 signaling,"p-Y649-STAT5A, p-STAT5B dimerizes",R-HSA-8985950,"[p-Y649-STAT5A, p-STAT5B [cytosol]]","[p-STAT5A,p-STAT5B dimer [cytosol]]",[]
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",Transport of Antigen peptide in to ER,R-HSA-983144,"[H2O [cytosol],ATP [cytosol],oligopeptide fragment (8-16aa) [cytosol]]","[Pi [cytosol],ADP [cytosol],oligopeptide fragment [endoplasmic reticulum lumen]]","[TAP [endoplasmic reticulum membrane],TAP1 [endoplasmic reticulum membrane],TAP2 [endoplasmic reticulum membrane]]"
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,p-DAPP1 (p-BAM32) binds PLCG2,R-HSA-9606894,"[p-Y139-DAPP1:PIP3 [plasma membrane],PLCG2 [cytosol]]",[p-Y139-DAPP1:PLCG2:PIP3 [plasma membrane]],[]
ISG15 antiviral mechanism,Competitive inhibition of translation initiation by ISGylated 4EHP,R-HSA-1678842,"[ISGylated 4EHP [cytosol],eIF4F:mRNA [cytosol]]","[ISGylated 4EHP:mRNA [cytosol],EIF4F [cytosol]]",[]
FCERI mediated Ca+2 mobilization,"IP3R:I(1,4,5)P3 tetramer transports Ca2+ from ER lumen to cytosol",R-HSA-169683,[Ca2+ [endoplasmic reticulum lumen]],[Ca2+ [cytosol]],"[ITPR:I(1,4,5)P3 tetramer [endoplasmic reticulum membrane],I(1,4,5)P3 [cytosol],ITPR tetramers [endoplasmic reticulum membrane],ITPR1 tetramer [endoplasmic reticulum membrane],ITPR1 [endoplasmic reticulum membrane],ITPR3 tetramer [endoplasmic reticulum membrane],ITPR3 [endoplasmic reticulum membrane],ITPR2 tetramer [endoplasmic reticulum membrane],ITPR2 [endoplasmic reticulum membrane],AHCYL1:NAD+:ITPR1:I(1,4,5)P3 tetramer [endoplasmic reticulum membrane],AHCYL1:NAD+ [endoplasmic reticulum membrane],AHCYL1 [endoplasmic reticulum membrane],NAD+ [endoplasmic reticulum lumen]]"
RAF/MAP kinase cascade,Phosphorylated MAPKs translocate into the nucleus,R-HSA-5674387,"[p-T,Y MAPK monomers and dimers [cytosol]]","[p-T,Y MAPK monomers and dimers [nucleoplasm]]","[p-T,Y MAPK monomers and dimers:PEA15 [cytosol],p-T,Y MAPK monomers and dimers [cytosol],p-T,Y MAPK dimers [cytosol],p-T202, Y204 MAPK3 dimer [cytosol],p-T202,Y204-MAPK3 [cytosol],p-T185,Y187 MAPK1 dimer [cytosol],p-T185,Y187-MAPK1 [cytosol],p-T,Y MAPKs [cytosol],PEA15 [cytosol]]"
Interleukin-1 processing,Formation of caspase-1 p10/p20 dimer,R-HSA-448673,"[CASP1(120-297) [cytosol],CASP1(317-404) [cytosol]]",[CASP1(120-197):CASP1(317-404) [cytosol]],[]
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,"Phosphorylated BLNK (SLP65, in Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1) binds BTK, PLCG2, VAV1, NCK1",R-HSA-9606151,"[BTK [cytosol],PI(3,4,5)P3 [plasma membrane],PLCG2 [cytosol],VAV1 [cytosol],Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1 [plasma membrane],NCK1 [cytosol]]",[Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1:BTK:NCK1:VAV1:PLCG2 [plasma membrane]],[]
Regulation of innate immune responses to cytosolic DNA,DTX4 ubiquitinates p-S172-TBK1 within NLRP4:DTX4:STING:TBK1:IRF3,R-HSA-8948709,"[NLRP4:DTX4:STING:p-S172-TBK1:IRF3 [cytoplasmic vesicle membrane],Ub [cytosol]]","[DTX4 [cytosol],STING:p-S172,K48polyUb-TBK1:IRF3 [cytoplasmic vesicle membrane],NLRP4 [cytosol]]","[NLRP4:DTX4:STING:p-S172-TBK1:IRF3 [cytoplasmic vesicle membrane],STING:p-S172-TBK1:IRF3 [cytoplasmic vesicle membrane],STING:STING [cytoplasmic vesicle membrane],K63polyUb-STING [cytoplasmic vesicle membrane],IRF3 [cytosol],p-S172-TBK1 [cytosol],NLRP4 [cytosol],DTX4 [cytosol]]"
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,KIR2DS1 interacting with HLA-C group 2 (Cw4),R-HSA-199587,"[HLA-C Cw4 (group 2) [plasma membrane],KIR2DS1 complexed with DAP12 [plasma membrane]]",[HLA-C group 2 interacting with KIR2DS1 [plasma membrane]],[]
Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,Expression of Heterogeneous nuclear ribonucleoproteins A2/B1,R-HSA-8950292,[HNRNPA2B1 gene [nucleoplasm]],[HNRNPA2B1 [extracellular exosome]],"[Y963-STAT4 dimer [nucleoplasm],p-Y693-STAT4 [nucleoplasm]]"
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,NCR3LG1 binds NCR3,R-HSA-5685602,"[NCR3:FCRG1A:CD3Z dimer [plasma membrane],NCR3LG1 [plasma membrane]]",[NCR3LG1:NCR3:FCRG3A:CD3Z dimer [plasma membrane]],[]
IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation,Activated TRAF6 synthesizes unanchored polyubiquitin chains upon TLR stimulation ,R-HSA-450358,[Ub [cytosol]],[K63polyUb [cytosol]],"[K63-linked polyUb TRAF6 complexes [endosome membrane],p-IRAK2:K63-linked pUb oligo-TRAF6 [endosome membrane],K63polyUb-TRAF6 [endosome membrane],p-IRAK2 [endosome membrane],K63-pUb-TRAF6:TICAM1:TRAM:TLR4:LY96:LPS:CD14 [endosome membrane],K63polyUb-TRAF6 [cytosol],TICAM1:TRAM:TLR4:LY96:LPS:CD14 [endosome membrane],TRAM:TLR4:LY96:LPS:CD14 [endosome membrane],TLR4:LY96:LPS:CD14 [endosome membrane],GPIN-CD14(20-345) [endosome membrane],TLR4:LY96 [endosome membrane],TLR4 [endosome membrane],LY96 [endosome membrane],LPS [endosome lumen],MyrG-p-S16-TICAM2 [endosome membrane],TICAM1 [cytosol]]"
CLEC7A (Dectin-1) signaling,"CLEC7A binds 1,3-beta-D-glucan",R-HSA-5607758,"[CLEC7A [plasma membrane],1,3-beta-D-glucan [extracellular region]]","[CLEC7A:1,3-beta-D-glucan [plasma membrane]]",[]
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,OSCAR binds collagen and SP-D,R-HSA-5696356,"[Collagen types I,II,III/SP-D [extracellular region],OSCAR [extracellular region]]","[OSCAR:Collagen I,II,III/SP-D [extracellular region]]",[]
Beta defensins,Beta-defensins bind microbial membranes causing disruption,R-HSA-1467269,"[Beta-defensins [extracellular region],Anionic phospholipids [plasma membrane]]",[Beta-defensins:anionic phospholipids [plasma membrane]],[]
Regulation of RAS by GAPs,KBTBD7:CUL3:RBX1 ubiquitinates NF1,R-HSA-5658424,"[SPRED dimer:NF1 [plasma membrane],Ub [cytosol]]",[SPRED dimer:ub-NF1 [plasma membrane]],"[KBTBD7:CUL3:RBX1 [cytosol],RBX1 [cytosol],CUL3 [cytosol],KBTBD7 [cytosol]]"
RAF/MAP kinase cascade,PEA15 binds MAPK monomers and dimers,R-HSA-5675206,"[p-T,Y MAPK monomers and dimers [cytosol],PEA15 [cytosol]]","[p-T,Y MAPK monomers and dimers:PEA15 [cytosol]]",[]
