ReactionID,ReactionName,DiseaseID,DiseaseName
R-HSA-9666430,"p-VAV1,2,3 exchanges GTP for GDP on RAC1:GDP",9111,cutaneous leishmaniasis
R-HSA-9666428,DOCK180 exchanges GTP for GDP on RAC1:GDP,9111,cutaneous leishmaniasis
R-HSA-9687121,nsp8 binds MAP1LC3B,2945,severe acute respiratory syndrome
R-HSA-9684277,mRNA1 is translated to pp1ab,2945,severe acute respiratory syndrome
R-HSA-9684275,nsp3-4 is glycosylated,2945,severe acute respiratory syndrome
R-HSA-9684273,3CLp cleaves pp1a,2945,severe acute respiratory syndrome
R-HSA-9684336,nsp1-4 cleaves itself,2945,severe acute respiratory syndrome
R-HSA-9684309,3CLp cleaves nsp6-11,2945,severe acute respiratory syndrome
R-HSA-9684340,3CLp cleaves pp1ab,2945,severe acute respiratory syndrome
R-HSA-9684282,nsp9 forms a homodimer,2945,severe acute respiratory syndrome
R-HSA-9684351,pp1a cleaves itself,2945,severe acute respiratory syndrome
R-HSA-9684350,pp1a forms a dimer,2945,severe acute respiratory syndrome
R-HSA-9681596,3CLp dimer binds α-Ketoamides,2945,severe acute respiratory syndrome
R-HSA-9684323,3CLp forms a homodimer,2945,severe acute respiratory syndrome
R-HSA-9684290,nsp3 is glycosylated,2945,severe acute respiratory syndrome
R-HSA-9684321,nsp3 cleaves nsp1-4,2945,severe acute respiratory syndrome
R-HSA-9684352,nsp3-4 cleaves itself,2945,severe acute respiratory syndrome
R-HSA-9684261,nsp4 is glycosylated,2945,severe acute respiratory syndrome
R-HSA-9687109,8b binds to MAP1LC3B,2945,severe acute respiratory syndrome
R-HSA-9687435,Enhanced autophagosome formation,2945,severe acute respiratory syndrome
R-HSA-9686015,"Nsp3, nsp4, and nsp6 produce replicative organelles",2945,severe acute respiratory syndrome
R-HSA-9682258,nsp14 binds nsp12,2945,severe acute respiratory syndrome
R-HSA-9682626,nsp13 binds nsp12,2945,severe acute respiratory syndrome
R-HSA-9683393,nsp15 binds nsp8,2945,severe acute respiratory syndrome
R-HSA-9682544,nsp14 binds nsp10,2945,severe acute respiratory syndrome
R-HSA-9683429,nsp16 binds nsp10,2945,severe acute respiratory syndrome
R-HSA-9686005,nsp3 binds to nsp7-8 and nsp12-16,2945,severe acute respiratory syndrome
R-HSA-9680811,nsp12 binds nsp7 and nsp8,2945,severe acute respiratory syndrome
R-HSA-9682718,nsp15 forms a hexamer,2945,severe acute respiratory syndrome
R-HSA-9686013,Nsp3:nsp4 binds to nsp6,2945,severe acute respiratory syndrome
R-HSA-9680812,nsp7 binds nsp8,2945,severe acute respiratory syndrome
R-HSA-9684301,mRNA1 is translated to pp1a,2945,severe acute respiratory syndrome
R-HSA-9683635,E pentamer is transported to the Golgi,2945,severe acute respiratory syndrome
R-HSA-9683670,Protein E forms a homopentamer,2945,severe acute respiratory syndrome
R-HSA-9683669,E protein gets N-glycosylated,2945,severe acute respiratory syndrome
R-HSA-9683720,E protein gets palmitoylated,2945,severe acute respiratory syndrome
R-HSA-9683679,Ubiquination of protein E,2945,severe acute respiratory syndrome
R-HSA-9683618,mRNA3 is translated to protein 3a,2945,severe acute respiratory syndrome
R-HSA-9683735,mRNA9a is translated to Nucleoprotein,2945,severe acute respiratory syndrome
R-HSA-9683622,mRNA5 is translated to protein M,2945,severe acute respiratory syndrome
R-HSA-9683648,Spike trimer glycoside chains are extended,2945,severe acute respiratory syndrome
R-HSA-9683719,Spike protein forms a homotrimer,2945,severe acute respiratory syndrome
R-HSA-9683653,Spike protein gets palmitoylated,2945,severe acute respiratory syndrome
R-HSA-9683764,Spike trimer translocates to ERGIC,2945,severe acute respiratory syndrome
R-HSA-9683755,Spike protein gets N-glycosylated,2945,severe acute respiratory syndrome
R-HSA-9683663,N-glycan trimming of Spike,2945,severe acute respiratory syndrome
R-HSA-9683772,Trimmed spike protein binds to calnexin,2945,severe acute respiratory syndrome
R-HSA-9683634,Dimerisation of nucleoprotein,2945,severe acute respiratory syndrome
R-HSA-9683714,Unphosphorylated nucleoprotein translocates to the plasma membrane,2945,severe acute respiratory syndrome
R-HSA-9683664,GSK3B phosphorylates Ncap,2945,severe acute respiratory syndrome
R-HSA-9683687,Nucleoprotein is SUMOylated,2945,severe acute respiratory syndrome
R-HSA-9683606,Nucleoprotein translocates to the nucleolus,2945,severe acute respiratory syndrome
R-HSA-9683765,Nucleoprotein translocates to the ERGIC outer membrane,2945,severe acute respiratory syndrome
R-HSA-9683630,Nucleoprotein translocates to the plasma membrane,2945,severe acute respiratory syndrome
R-HSA-9686061,Nucleoprotein is ADP-ribosylated,2945,severe acute respiratory syndrome
R-HSA-9685939,3a localizes to the cell membrane,2945,severe acute respiratory syndrome
R-HSA-9683746,Protein 3a forms a homotetramer,2945,severe acute respiratory syndrome
R-HSA-9683712,3a translocates to the ERGIC,2945,severe acute respiratory syndrome
R-HSA-9683760,GalNAc is transferred onto 3a,2945,severe acute respiratory syndrome
R-HSA-9685956,3a is externalized together with membrane structures,2945,severe acute respiratory syndrome
R-HSA-9683769,O-glycosylation of 3a is terminated,2945,severe acute respiratory syndrome
R-HSA-9685950,Endocytosis of protein 3a,2945,severe acute respiratory syndrome
R-HSA-9683624,mRNA2 is translated to Spike,2945,severe acute respiratory syndrome
R-HSA-9683656,mRNA4 is translated to protein E,2945,severe acute respiratory syndrome
R-HSA-9683751,M protein gets N-glycosylated,2945,severe acute respiratory syndrome
R-HSA-9683718,Protein M localizes to the Golgi membrane,2945,severe acute respiratory syndrome
R-HSA-9683734,Glycosylated M localizes to the Golgi membrane,2945,severe acute respiratory syndrome
R-HSA-9684241,Recruitment of Spike trimer to assembling virion,2945,severe acute respiratory syndrome
R-HSA-9685542,Viral release,2945,severe acute respiratory syndrome
R-HSA-9684229,SUMO-p-N protein dimer binds genomic RNA,2945,severe acute respiratory syndrome
R-HSA-9685531,SARS virus buds into ERGIC lumen,2945,severe acute respiratory syndrome
R-HSA-9684234,Encapsidation of SARS coronavirus genomic RNA,2945,severe acute respiratory syndrome
R-HSA-9684218,M protein oligomerization,2945,severe acute respiratory syndrome
R-HSA-9684238,E and N are recruited to the M lattice,2945,severe acute respiratory syndrome
R-HSA-9686174,Accessory proteins are recruited to the maturing virion,2945,severe acute respiratory syndrome
R-HSA-9681651,nsp8 generates RNA primers,2945,severe acute respiratory syndrome
R-HSA-9684018,nsp14 acts as a cap N7 methyltransferase to modify SARS-CoV-1 gRNA complement (minus strand),2945,severe acute respiratory syndrome
R-HSA-9684017,nsp14 acts as a cap N7 methyltransferase to modify SARS-CoV-1 gRNA (plus strand),2945,severe acute respiratory syndrome
R-HSA-9681840,RTC synthesizes SARS-CoV-1 plus strand genomic RNA,2945,severe acute respiratory syndrome
R-HSA-9681627,GSK3 phosphorylates N,2945,severe acute respiratory syndrome
R-HSA-9682009,ZCRB1 binds 5'UTR of SARS-CoV-1 genomic RNA,2945,severe acute respiratory syndrome
R-HSA-9687384,SARS-CoV-1 gRNA complement (minus strand):RTC binds RTC inhibitors,2945,severe acute respiratory syndrome
R-HSA-9682712,nsp15 binds RB1,2945,severe acute respiratory syndrome
R-HSA-9683455,nsp16 binds VHL,2945,severe acute respiratory syndrome
R-HSA-9684030,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 gRNA complement (minus strand),2945,severe acute respiratory syndrome
R-HSA-9685597,RTC binds SARS-CoV-1 genomic RNA complement (minus strand),2945,severe acute respiratory syndrome
R-HSA-9687388,SARS-CoV-1 gRNA:RTC:nascent RNA minus strand binds RTC inhibitors,2945,severe acute respiratory syndrome
R-HSA-9682563,nsp12 misincorporates a nucleotide in nascent RNA minus strand,2945,severe acute respiratory syndrome
R-HSA-9681314,Replication transcription complex binds SARS-CoV-1 genomic RNA,2945,severe acute respiratory syndrome
R-HSA-9682465,RTC completes synthesis of the minus strand genomic RNA complement,2945,severe acute respiratory syndrome
R-HSA-9684032,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 gRNA (plus strand),2945,severe acute respiratory syndrome
R-HSA-9682695,nsp13 helicase melts secondary structures in SARS-CoV-1 genomic RNA template,2945,severe acute respiratory syndrome
R-HSA-9682631,nsp13 binds DDX5,2945,severe acute respiratory syndrome
R-HSA-9680262,SARS coronavirus gRNA:RTC:RNA primer binds RTC inhibitors,2945,severe acute respiratory syndrome
R-HSA-9682603,nsp14 acts as a 3'-to-5' exonuclease to remove misincorporated nucleotides from nascent RNA,2945,severe acute respiratory syndrome
R-HSA-9681674,nsp12 synthesizes minus strand SARS-CoV-1 genomic RNA complement,2945,severe acute respiratory syndrome
R-HSA-9685519,Polyadenylation of SARS-CoV-1 genomic RNA (plus strand),2945,severe acute respiratory syndrome
R-HSA-9685906,Polyadenylation of SARS-CoV-1 subgenomic mRNAs (plus strand),2945,severe acute respiratory syndrome
R-HSA-9685681,Synthesis of SARS-CoV-1 plus strand subgenomic mRNAs,2945,severe acute respiratory syndrome
R-HSA-9684033,nsp16 acts as a cap 2'-O-methyltransferase to modify SARS-CoV-1 mRNAs,2945,severe acute respiratory syndrome
R-HSA-9684016,nsp14 acts as a cap N7 methyltransferase to modify SARS-CoV-1 mRNAs,2945,severe acute respiratory syndrome
R-HSA-9685639,Synthesis of SARS-CoV-1 minus strand subgenomic mRNAs by template switching,2945,severe acute respiratory syndrome
R-HSA-9678128,Spike glycoprotein of SARS coronavirus binds ACE2 on host cell,2945,severe acute respiratory syndrome
R-HSA-9686711,Endocytois of SARS-CoV-1 Virion,2945,severe acute respiratory syndrome
R-HSA-9686710,Cleavage of S protein into S1:S2,2945,severe acute respiratory syndrome
R-HSA-9686709,Uncoating of SARS-CoV-1 Genome,2945,severe acute respiratory syndrome
R-HSA-9686699,Fusion and Release of SARS-CoV-1 Nucleocapsid,2945,severe acute respiratory syndrome
R-HSA-9686731,TMPRSS2 Mediated SARS-CoV-1 Spike Protein Cleavage and Endocytosis,2945,severe acute respiratory syndrome
R-HSA-8876230,InlB:MET dimer trans-autophophorylates,11573,listeriosis
R-HSA-8876246,InlB-activated MET phosphorylates CBL,11573,listeriosis
R-HSA-8876262,EPS15 and HGS bind CBL-monoubiquitinated MET engaged with Listeria InlB,11573,listeriosis
R-HSA-8876210,InlB promotes MET dimerization,11573,listeriosis
R-HSA-8876258,CBL monoubiquitinates InlB-bound MET,11573,listeriosis
R-HSA-8876240,CBL binds InlB-activated MET,11573,listeriosis
R-HSA-8876255,CBL recruits CIN85:endophilin complex to InlB-bound MET,11573,listeriosis
R-HSA-8875371,InlB binds MET,11573,listeriosis
R-HSA-8876948,SRC phosphorylates InlA-bound CDH1 and CTNNB1,11573,listeriosis
R-HSA-8876497,InlA binds CDH1,11573,listeriosis
R-HSA-8876993,CBLL1 binds SRC-phosphorylated CDH1 complex,11573,listeriosis
R-HSA-112333,SRC autophosphorylation is positively regulated by InlA-bound CDH1,11573,listeriosis
R-HSA-8877003,CBLL1 ubiqutinates the InlA-bound CDH1 complex,11573,listeriosis
R-HSA-164515,Fusogenic activation of gp41,526,Human immunodeficiency virus infectious disease
R-HSA-164500,Conformational changes in gp120 exposes gp41,526,Human immunodeficiency virus infectious disease
R-HSA-164507,CD4:gp120  binds to chemokine co-receptor CCR5/CXCR4,526,Human immunodeficiency virus infectious disease
R-HSA-164521,Insertion of gp41 fusion peptide into the target membrane,526,Human immunodeficiency virus infectious disease
R-HSA-164510,Conformational change in gp120 of Env oligomer,526,Human immunodeficiency virus infectious disease
R-HSA-164508,N and C terminal heptad repeat helices of gp41 form six-helix bundle,526,Human immunodeficiency virus infectious disease
R-HSA-164524,Fusion of viral membrane with host cell membrane,526,Human immunodeficiency virus infectious disease
R-HSA-164509,Binding of gp120 of ENV oligomer to the host CD4,526,Human immunodeficiency virus infectious disease
R-HSA-164514,Integrase binds viral DNA ends,526,Human immunodeficiency virus infectious disease
R-HSA-175250,Suicidal integration leading to smaller circles of viral DNA,526,Human immunodeficiency virus infectious disease
R-HSA-164845,Suicidal integration leading to inverted circle formation,526,Human immunodeficiency virus infectious disease
R-HSA-8951690,Formation of RTC with integration competent viral DNA:BANF1:HMGA1:PSIP1,526,Human immunodeficiency virus infectious disease
R-HSA-164522,Terminal (3' end) cleavage of viral DNA,526,Human immunodeficiency virus infectious disease
R-HSA-173115,Formation of Pre-Integration Complex (PIC),526,Human immunodeficiency virus infectious disease
R-HSA-175174,Association of Ku heterodimer with viral DNA ends,526,Human immunodeficiency virus infectious disease
R-HSA-175258,2-LTR formation due to circularization of viral DNA,526,Human immunodeficiency virus infectious disease
R-HSA-175177,Association of  XRCC4:DNA ligase IV complex with viral DNA ends,526,Human immunodeficiency virus infectious disease
R-HSA-162590,Import of PIC to the Host Nucleus,526,Human immunodeficiency virus infectious disease
R-HSA-175108,Target DNA binding,526,Human immunodeficiency virus infectious disease
R-HSA-164506,Gap repair completes provirus integration,526,Human immunodeficiency virus infectious disease
R-HSA-164523,Transesterification to connect viral DNA 3' ends to host DNA 5' ends,526,Human immunodeficiency virus infectious disease
R-HSA-175117,1-LTR circle formation,526,Human immunodeficiency virus infectious disease
R-HSA-173771,Formation of RTC (Reverse Transcription Complex),526,Human immunodeficiency virus infectious disease
R-HSA-173111,Disassembly of viral capsid,526,Human immunodeficiency virus infectious disease
R-HSA-173642,Disintegration of matrix layer,526,Human immunodeficiency virus infectious disease
R-HSA-164527,Annealing of 3'-end of unwound transfer RNA primer with genomic RNA,526,Human immunodeficiency virus infectious disease
R-HSA-182876,Removal of plus-strand flap and gap closure complete synthesis of linear duplex viral DNA,526,Human immunodeficiency virus infectious disease
R-HSA-164528,RNase H-mediated cleavage of the template strand,526,Human immunodeficiency virus infectious disease
R-HSA-164519,RNase H-mediated cleavage of the RNA strand of the -sssDNA:RNA duplex,526,Human immunodeficiency virus infectious disease
R-HSA-164503,First strand transfer mediated by Repeated (R) sequence,526,Human immunodeficiency virus infectious disease
R-HSA-182859,RNase H-mediated degradation of the RNA strand of the -sssDNA:RNA duplex,526,Human immunodeficiency virus infectious disease
R-HSA-182795,RNase H-mediated degradation of the template strand,526,Human immunodeficiency virus infectious disease
R-HSA-164504,Synthesis of minus strand strong stop DNA (-sssDNA),526,Human immunodeficiency virus infectious disease
R-HSA-164520,Minus strand DNA synthesis resumes,526,Human immunodeficiency virus infectious disease
R-HSA-164512,Second strand transfer by annealing complementary PBS sequences,526,Human immunodeficiency virus infectious disease
R-HSA-164513,3' PPT-primed initiation of plus-strand DNA synthesis ,526,Human immunodeficiency virus infectious disease
R-HSA-173769,"RNase H-mediated digestion of tRNA, 3'PPT and cPPT RNA primers",526,Human immunodeficiency virus infectious disease
R-HSA-164505,Synthesis of full-length duplex viral DNA with a discontinuous plus strand,526,Human immunodeficiency virus infectious disease
R-HSA-162914,Myristoylation of Nef,526,Human immunodeficiency virus infectious disease
R-HSA-3149440,Transport of VPU to Golgi apparatus,526,Human immunodeficiency virus infectious disease
R-HSA-3149432,Transport of VPU to Plasma Membrane,526,Human immunodeficiency virus infectious disease
R-HSA-187211,Splicing of HIV RNA transcript,526,Human immunodeficiency virus infectious disease
R-HSA-171291,Folding and Oligomerization of ENV glycoprotein,526,Human immunodeficiency virus infectious disease
R-HSA-174491,Transport of trimeric ENV precursor to Golgi apparatus,526,Human immunodeficiency virus infectious disease
R-HSA-3149433,Synthesis of VPU protein,526,Human immunodeficiency virus infectious disease
R-HSA-171288,Cleavage of the viral Env gp160 precursor polyprotein,526,Human immunodeficiency virus infectious disease
R-HSA-174494,Synthesis of ENV polyprotein,526,Human immunodeficiency virus infectious disease
R-HSA-173647,Transport of trimeric gp41:gp120 to plasma membrane,526,Human immunodeficiency virus infectious disease
R-HSA-174493,Glycosylation of ENV polyprotein,526,Human immunodeficiency virus infectious disease
R-HSA-184323,Monoubiquitination of N-myristoyl GAG polyprotein,526,Human immunodeficiency virus infectious disease
R-HSA-184392,N-myristoylation of GAG polyprotein by NMT2,526,Human immunodeficiency virus infectious disease
R-HSA-3149434,Transport of GAG to the Plasma Membrane,526,Human immunodeficiency virus infectious disease
R-HSA-184269,Monoubiquitinated N-myristoyl GAG polyprotein is targeted to the late endosomal vesicle membrane by the ESCRT-I complex,526,Human immunodeficiency virus infectious disease
R-HSA-187213,Synthesis of GAG polyprotein,526,Human immunodeficiency virus infectious disease
R-HSA-3149454,Packaging of HIV virion on the host cell plasma membrane,526,Human immunodeficiency virus infectious disease
R-HSA-167077,Recruitment of elongation factors to form HIV-1 elongation complex,526,Human immunodeficiency virus infectious disease
R-HSA-167084,Hyperphosphorylation (Ser2) of RNA Pol II CTD by P-TEFb complex,526,Human immunodeficiency virus infectious disease
R-HSA-167072,Hypophosphorylation of RNA Pol II CTD by FCP1P protein,526,Human immunodeficiency virus infectious disease
R-HSA-167089,Recognition and binding of the HIV-1 mRNA cap by the cap-binding complex,526,Human immunodeficiency virus infectious disease
R-HSA-167478,Abortive termination of HIV-1 early transcription elongation by DSIF:NELF,526,Human immunodeficiency virus infectious disease
R-HSA-167083,DSIF complex binds to RNA Pol II (hypophosphorylated),526,Human immunodeficiency virus infectious disease
R-HSA-167085,Formation of DSIF:NELF:HIV-1 early elongation complex,526,Human immunodeficiency virus infectious disease
R-HSA-167147,Separation of abortive HIV-1 transcript from template,526,Human immunodeficiency virus infectious disease
R-HSA-167087,Limited elongation of the HIV-1 transcript,526,Human immunodeficiency virus infectious disease
R-HSA-167234,Association of Tat with P-TEFb(Cyclin T1:Cdk9),526,Human immunodeficiency virus infectious disease
R-HSA-170706,Phosphorylation of  NEFL by the P-TEFb(Cyclin T1:Cdk9) complex,526,Human immunodeficiency virus infectious disease
R-HSA-170704,Phosphorylation of DSIF by the P-TEFb(Cyclin T1:Cdk9) complex,526,Human immunodeficiency virus infectious disease
R-HSA-167191,Hyperphosphorylation (Ser2) of RNA Pol II CTD by the P-TEFb(Cyclin T1:Cdk9) complex,526,Human immunodeficiency virus infectious disease
R-HSA-167196,Recruitment of elongation factors to form HIV-1 elongation complex,526,Human immunodeficiency virus infectious disease
R-HSA-167192,Pol II elongation complex moves on the HIV-1 template as transcript elongates,526,Human immunodeficiency virus infectious disease
R-HSA-167181,Addition of nucleotides leads to HIV-1 transcript elongation,526,Human immunodeficiency virus infectious disease
R-HSA-167197,Separation of elongating HIV-1 transcript from template,526,Human immunodeficiency virus infectious disease
R-HSA-167076,2-4 nt.backtracking of Pol II complex on the HIV-1 template leading to elongation pausing,526,Human immunodeficiency virus infectious disease
R-HSA-167150,Resumption of elongation of HIV-1 transcript after recovery from pausing,526,Human immunodeficiency virus infectious disease
R-HSA-167284,7-14 nt. Backtracking of Pol II complex on the HIV-1 template leading to elongation arrest,526,Human immunodeficiency virus infectious disease
R-HSA-167288,TFIIS-mediated recovery of HIV-1 elongation from arrest,526,Human immunodeficiency virus infectious disease
R-HSA-167481,Abortive termination of HIV-1 elongation after arrest,526,Human immunodeficiency virus infectious disease
R-HSA-9613490,Unwinding of DNA for the nascent HIV-1 transcript: Second Transition,526,Human immunodeficiency virus infectious disease
R-HSA-167474,Abortive HIV-1 Initiation Before Second Transition,526,Human immunodeficiency virus infectious disease
R-HSA-167136,Addition of nucleotides 5 through 9 on the growing HIV-1 transcript,526,Human immunodeficiency virus infectious disease
R-HSA-167121,Addition of the third nucleotide on the nascent HIV-1 transcript,526,Human immunodeficiency virus infectious disease
R-HSA-9613498,Unwinding of DNA for the nascent HIV-1 transcript,526,Human immunodeficiency virus infectious disease
R-HSA-167115,Addition of nucleotides between position +11 and +30 on HIV-1 transcript,526,Human immunodeficiency virus infectious disease
R-HSA-167113,Addition of the fourth nucleotide on the nascent HIV-1 transcript: Second Transition,526,Human immunodeficiency virus infectious disease
R-HSA-167468,Abortive HIV-1 Initiation After Second Transition,526,Human immunodeficiency virus infectious disease
R-HSA-167117,Addition of nucleotides 10 and 11 on the growing HIV-1 transcript: Third Transition,526,Human immunodeficiency virus infectious disease
R-HSA-167282,2-4 nt.backtracking of Pol II complex on the HIV-1 template leading to elongation pausing,526,Human immunodeficiency virus infectious disease
R-HSA-167292,Resumption of elongation of HIV-1 transcript after recovery from pausing,526,Human immunodeficiency virus infectious disease
R-HSA-167090,7-14 nt. Backtracking of Pol II complex on the HIV-1 template leading to elongation arrest,526,Human immunodeficiency virus infectious disease
R-HSA-167459,Abortive  termination of HIV-1 elongation after arrest (Tat-containing elongation complex),526,Human immunodeficiency virus infectious disease
R-HSA-167148,TFIIS-mediated recovery of elongation from arrest,526,Human immunodeficiency virus infectious disease
R-HSA-167153,SPT5 subunit of Pol II binds the RNA triphosphatase (RTP),526,Human immunodeficiency virus infectious disease
R-HSA-167111,Extrusion of 5'-end of 30 nt long HIV-1 transcript through the pore in Pol II complex,526,Human immunodeficiency virus infectious disease
R-HSA-167098,Phosphorylation (Ser5) of RNA pol II CTD,526,Human immunodeficiency virus infectious disease
R-HSA-167128,RNA Polymerase II CTD (phosphorylated) binds to CE,526,Human immunodeficiency virus infectious disease
R-HSA-167133,Activation of GT,526,Human immunodeficiency virus infectious disease
R-HSA-167097,HIV Promoter Opening: First Transition,526,Human immunodeficiency virus infectious disease
R-HSA-167477,Abortive HIV-1 initiation after formation of the first phosphodiester bond,526,Human immunodeficiency virus infectious disease
R-HSA-167130,Nucleophillic attack by 3'-hydroxyl oxygen of nascent HIV-1 transcript on the Alpha phosphate of NTP,526,Human immunodeficiency virus infectious disease
R-HSA-167118,NTP binds active site of RNA Polymerase II in HIV-1 open pre-initiation complex,526,Human immunodeficiency virus infectious disease
R-HSA-167134,Newly formed phosphodiester bond stabilized and PPi released,526,Human immunodeficiency virus infectious disease
R-HSA-167484,Fall Back to Closed Pre-initiation Complex,526,Human immunodeficiency virus infectious disease
R-HSA-165027,Rev molecules assemble onto the RRE RNA sequence through their ARM sequence,526,Human immunodeficiency virus infectious disease
R-HSA-165043,Rev multimer-bound HIV mRNA:Crm1:Ran:GTP complex associates with the NPC,526,Human immunodeficiency virus infectious disease
R-HSA-180739,Association of RanBP1 with Ran-GTP:CRM1:Rev:mRNA complex,526,Human immunodeficiency virus infectious disease
R-HSA-165047,Translocation of nuclear RNA transport complex to cytoplasm,526,Human immunodeficiency virus infectious disease
R-HSA-165028,Release of the HIV mRNA and Crm1 from Rev in the cytoplasm,526,Human immunodeficiency virus infectious disease
R-HSA-180885,Rev multimer-bound HIV mRNA associates with Crm1,526,Human immunodeficiency virus infectious disease
R-HSA-165034,Rev multimer-bound  HIV mRNA:CRM1 complex associates with Ran:GTP,526,Human immunodeficiency virus infectious disease
R-HSA-165033,Multimerization of Rev,526,Human immunodeficiency virus infectious disease
R-HSA-165055,Hydrolysis of Ran:GTP to Ran:GDP,526,Human immunodeficiency virus infectious disease
R-HSA-3159232,Recruitment Of HIV Virion Budding Machinery,526,Human immunodeficiency virus infectious disease
R-HSA-3159227,HIV Virion Budding,526,Human immunodeficiency virus infectious disease
R-HSA-3139027,Maturation of HIV Virion,526,Human immunodeficiency virus infectious disease
R-HSA-167235,Formation of the P-TEFb(Cyclin T1:Cdk9) complex,526,Human immunodeficiency virus infectious disease
R-HSA-180855,Translocation of Vpr to the mitochondria,526,Human immunodeficiency virus infectious disease
R-HSA-180905,Association of Vpr with ANT1,526,Human immunodeficiency virus infectious disease
R-HSA-180627,Interaction of Vpr with importin alpha,526,Human immunodeficiency virus infectious disease
R-HSA-180622,Vpr binds nucleoporins,526,Human immunodeficiency virus infectious disease
R-HSA-180630,Association of APOBEC3G with Gag,526,Human immunodeficiency virus infectious disease
R-HSA-180634,Association of APOBEC3G with single-stranded region of forming HIV-1 minus strand,526,Human immunodeficiency virus infectious disease
R-HSA-180632,Deamination of C residues during synthesis of HIV-1 reverse transcript minus-strand,526,Human immunodeficiency virus infectious disease
R-HSA-180599,The Vpu:CD4:beta-TrCP complex recruits SKP1,526,Human immunodeficiency virus infectious disease
R-HSA-180597,Ubiquitination of CD4 by Vpu:CD4:beta-TrCP:SKP1 complex,526,Human immunodeficiency virus infectious disease
R-HSA-180606,Association of Vpu with CD4,526,Human immunodeficiency virus infectious disease
R-HSA-180591,Vpu:CD4 associates with beta-TrCP,526,Human immunodeficiency virus infectious disease
R-HSA-180573,Degradation of ubiquitinated CD4,526,Human immunodeficiency virus infectious disease
R-HSA-180736,Disassembly of the Rev-importin beta-B23:Ran-GTP complex,526,Human immunodeficiency virus infectious disease
R-HSA-180710,Rev:importin beta:B23 recruited to the nuclear pore,526,Human immunodeficiency virus infectious disease
R-HSA-180709,Association of multimerized Rev with beta-importin,526,Human immunodeficiency virus infectious disease
