PathwayName,ReactionName,ReactomeID,Input,Output,OtherEntities
Biosynthesis of DPAn-3-derived protectins and resolvins,"Hydroperoxy reductase reduces 7,17-diHp-DPAn-3 to RvD5n-3DPA",R-HSA-9026001,"[7,17-diHp-DPAn-3 [cytosol],reduced acceptor [cytosol]]","[RvD5n-3DPA [cytosol],oxidised acceptor [cytosol]]",[Hydroperoxy reductase [cytosol]]
Synthesis of PIPs at the early endosome membrane,PI is phosphorylated to PI4P by PI4K2A/B at the early endosome membrane,R-HSA-1675974,"[PI [early endosome membrane],ATP [cytosol]]","[PI4P [early endosome membrane],ADP [cytosol]]","[PI4K2A/2B [cytosol],PI4K2A [cytosol],PI4K2B [cytosol]]"
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,2-trans-Dodecenoyl-CoA+H2O<=>(S)-3-Hydroxydodecanoyl-CoA,R-HSA-77256,"[2-trans-Dodecenoyl-CoA [mitochondrial matrix],H2O [mitochondrial matrix]]",[(S)-3-Hydroxydodecanoyl-CoA [mitochondrial matrix]],"[ECHS1 hexamer [mitochondrial matrix],ECHS1 [mitochondrial matrix]]"
A tetrasaccharide linker sequence is required for GAG synthesis,B4GALT7 transfers Gal group to xylosyl-unit of the tetrasaccharide linker,R-HSA-1889981,"[UDP-Gal [Golgi lumen],xylosyl-core proteins [Golgi lumen]]","[Gal-Xyl-proteins [Golgi lumen],UDP [Golgi lumen]]",[B4GALT7 [Golgi membrane]]
Biosynthesis of E-series 18(S)-resolvins,ALOX15 oxidises 18(S)-HEPE to 18(S)-RvE3,R-HSA-9020610,"[O2 [cytosol],18(S)-HEPE [cytosol]]",[18(S)-RvE3 [cytosol]],[ALOX15 [cytosol]]
Organic anion transporters,Sulfate is exported to the cytosol in exchange for dicarboxylate,R-HSA-1614546,"[MAL [cytosol],SO4(2-) [mitochondrial matrix]]","[MAL [mitochondrial matrix],SO4(2-) [cytosol]]",[SLC25A10 [mitochondrial inner membrane]]
Recycling of bile acids and salts,Transport (efflux) of bile salts by ABCC3 (MRP3),R-HSA-194153,"[bile salts and acids:FABP6 [cytosol],ATP [cytosol],ALB [extracellular region]]","[FABP6 [cytosol],Pi [cytosol],ADP [cytosol],bile salts and acids complexed with albumin [extracellular region]]",[ABCC3 [plasma membrane]]
Complex I biogenesis,The 315kDa subcomplex binds the 370kDa subcomplex to form the 550kDa complex,R-HSA-6799202,"[315kDa subcomplex [mitochondrial inner membrane],370 kDa subcomplex [mitochondrial inner membrane]]",[550kDa complex [mitochondrial inner membrane]],[]
ABO blood group biosynthesis,H antigen-sec translocates from Golgi lumen to extracellular region,R-HSA-9037612,[H antigen-sec [Golgi lumen]],[H antigen-sec [extracellular region]],[]
Mitochondrial Fatty Acid Beta-Oxidation,ACSF2 ligates CoA-SH to MCFA,R-HSA-5696004,"[CoA-SH [mitochondrial matrix],ATP [mitochondrial matrix],MCFA [mitochondrial matrix]]","[adenosine 5'-monophosphate [mitochondrial matrix],PPi [mitochondrial matrix],MCFA-CoA [mitochondrial matrix]]",[ACSF2 [mitochondrial matrix]]
Synthesis of PA,G3P is acylated to 1-acyl LPA by GPAM/GPAT2 (OM),R-HSA-1482695,"[acyl-CoA [cytosol],G3P [cytosol]]","[CoA-SH [cytosol],1-acyl LPA [mitochondrial outer membrane]]","[GPAM/GPAT2 [mitochondrial outer membrane],GPAT2 [mitochondrial outer membrane],GPAM(1-828) [mitochondrial outer membrane]]"
Biotin transport and metabolism,SLC5A6 cotransports extracellular Btn and 2xNa+ to cytosol,R-HSA-199219,"[Btn [extracellular region],Na+ [extracellular region]]","[Na+ [cytosol],Btn [cytosol]]","[SLC5A6:PDZD11 [plasma membrane],SLC5A6 [plasma membrane],PDZD11 [cytosol]]"
Activation of gene expression by SREBF (SREBP),"SREBP1A,1C,2 binds the TM7SF2 promoter",R-HSA-2065966,"[SREBP1A,1C,2 dimer [nucleoplasm],TM7SF2 gene [nucleoplasm],NF-Y [nucleoplasm]]","[SREBP1A,1C,2:NF-Y:TM7SF2 gene [nucleoplasm]]",[]
Mineralocorticoid biosynthesis,CYP11B2 oxidises 18HCORST to ALDO,R-HSA-193965,"[18HCORST [mitochondrial matrix],O2 [mitochondrial matrix],H+ [mitochondrial matrix],NADPH [mitochondrial matrix]]","[ALDO [mitochondrial matrix],NADP+ [mitochondrial matrix],H2O [mitochondrial matrix]]",[CYP11B2 [mitochondrial inner membrane]]
Biosynthesis of aspirin-triggered D-series resolvins,LTA4H:Zn2+ hydrolyses 7S(8)-epoxy-17(R)-HDHA to AT-RvD1 or AT-RvD2,R-HSA-9020252,"[H2O [cytosol],7S(8)-epoxy-17(R)-HDHA [cytosol]]","[AT-RvD1, AT-RvD2 [cytosol]]","[LTA4H:Zn2+ [cytosol],LTA4H [cytosol],Zn2+ [cytosol]]"
Glycogen synthesis,Autoglucosylation of GYG1 complexed with GYS1-a,R-HSA-3322025,"[UDP-Glc [cytosol],GYG1:GYS1-a tetramer [cytosol]]","[oligoGlc-GYG1:GYS1-a tetramer [cytosol],UDP [cytosol]]","[GYG1:GYS1-a tetramer [cytosol],Mg2+ [cytosol],GYS1 [cytosol],GYG1 [cytosol]]"
Xenobiotics,CYP2C18 initiates bioactivation of phenytoin by 4-hydroxylation,R-HSA-212004,"[O2 [endoplasmic reticulum lumen],H+ [endoplasmic reticulum lumen],NADPH [endoplasmic reticulum lumen],Phenytoin [endoplasmic reticulum lumen]]","[H2O [endoplasmic reticulum lumen],NADP+ [endoplasmic reticulum lumen],HPHT [endoplasmic reticulum lumen]]","[Cytochrome P450 (CYP2C18 based) [endoplasmic reticulum membrane],CYP2C8 [endoplasmic reticulum membrane],CYP2C9 [endoplasmic reticulum membrane],CYP2S1 [endoplasmic reticulum membrane],CYP2C19 [endoplasmic reticulum membrane],CYP2C18 [endoplasmic reticulum membrane]]"
Gluconeogenesis,PXLP-K259-GOT1 dimer deaminates L-Asp,R-HSA-70592,"[2OG [cytosol],L-Asp [cytosol]]","[L-Glu [cytosol],OA [cytosol]]","[PXLP-K259-GOT1 dimer [cytosol],PXLP-K259-GOT1 [cytosol]]"
Regulation of cholesterol biosynthesis by SREBP (SREBF),"SREBP1A,1C,2:SCAP translocates to the Golgi",R-HSA-1655834,"[SREBP1A,1C,2:SCAP:Cop II Coat [endoplasmic reticulum membrane]]","[SREBP1A,1C,2:SCAP [Golgi membrane]]",[]
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,DHCA is conjugated with Coenzyme A (SLC27A2 VLCS),R-HSA-193424,"[ATP [cytosol],CoA-SH [cytosol],DHCA [cytosol]]","[PPi [cytosol],25(R) DHCA-CoA [cytosol],AMP [cytosol]]",[SLC27A2 [endoplasmic reticulum membrane]]
Branched-chain amino acid catabolism,"SLC25A44 transports Leu, Ile and Val from cytosol to mitochondrial matrix",R-HSA-9672770,"[Leu, Ile, Val [cytosol]]","[Leu, Ile, Val [mitochondrial matrix]]",[SLC25A44 [mitochondrial inner membrane]]
Glyoxylate metabolism and glycine degradation,LIPT1 transfers lipoyl group from lipoyl-GCSH to DHs,R-HSA-6792572,"[lipoyl-K107-GCSH [mitochondrial matrix],DHs [mitochondrial matrix]]","[GCSH [mitochondrial matrix],lipoylated DHs [mitochondrial matrix]]",[LIPT1 [mitochondrial matrix]]
Synthesis of Ketone Bodies,acetoacetyl-CoA+acetyl-CoA => HMG-CoA + CoASH,R-HSA-73918,"[ACA-CoA [mitochondrial matrix],Ac-CoA [mitochondrial matrix]]","[CoA-SH [mitochondrial matrix],HMG CoA [mitochondrial matrix]]",[HMGCS2 [mitochondrial matrix]]
Insulin effects increased synthesis of Xylulose-5-Phosphate,D-fructose 6-phosphate + D-erythrose 4-phosphate  <=>  sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate,R-HSA-163764,"[Fru(6)P [cytosol],E4P [cytosol]]","[GA3P [cytosol],SH7P [cytosol]]","[TALDO1 dimer [cytosol],TALDO1 [cytosol]]"
Citric acid cycle (TCA cycle),(S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+,R-HSA-70979,"[MAL [mitochondrial matrix],NAD+ [mitochondrial matrix]]","[H+ [mitochondrial matrix],NADH [mitochondrial matrix],OAA [mitochondrial matrix]]","[MDH2 dimer [mitochondrial matrix],MDH2 [mitochondrial matrix]]"
Purine ribonucleoside monophosphate biosynthesis,GAR + 10-Formyl-THF => FGAR + THF,R-HSA-73813,"[PRGA [cytosol],10-formyl-THF [cytosol]]","[N-Formyl-GAR [cytosol],THF [cytosol]]",[GART [cytosol]]
PPARA activates gene expression,Expression of PPARA,R-HSA-879724,[PPARA gene [nucleoplasm]],[PPARA [nucleoplasm]],"[PPARA:RXRA Coactivator complex [nucleoplasm],TBL1XR1 [nucleoplasm],Coactivators of PPARalpha [nucleoplasm],HELZ2 [nucleoplasm],CHD9 [nucleoplasm],NCOA1 [nucleoplasm],TGS1 [nucleoplasm],CREBBP [nucleoplasm],NCOA2 [nucleoplasm],NCOA6 [nucleoplasm],SMARCD3 [nucleoplasm],CARM1 [nucleoplasm],MED1 [nucleoplasm],Activated PPARA:RXRA [nucleoplasm],RXRA [nucleoplasm],PPARA:fatty acid (Activated PPARA) [nucleoplasm],Ligands of PPARA [nucleoplasm],Palm [nucleoplasm],EPA [nucleoplasm],ALA [nucleoplasm],LINA [nucleoplasm],AA [nucleoplasm],PPARA [nucleoplasm],Peroxisome Proliferator Receptor Element (PPRE) [nucleoplasm],TBL1X [nucleoplasm],p-BMAL1:p-CLOCK,NPAS2:PPARA gene [nucleoplasm],p-BMAL1:p-CLOCK,NPAS2 [nucleoplasm],p-CLOCK,p-NPAS2 [nucleoplasm],p-S-CLOCK [nucleoplasm],p-S-NPAS2 [nucleoplasm],p-S-ARNTL [nucleoplasm],PPARA gene [nucleoplasm]]"
Synthesis of Prostaglandins (PG) and Thromboxanes (TX),PGD2 is dehydrated to PGJ2,R-HSA-2161733,[PGD2 [endoplasmic reticulum lumen]],"[H2O [endoplasmic reticulum lumen],PGJ2 [endoplasmic reticulum lumen]]",[]
Conjugation of benzoate with glycine,benzoate + Coenzyme A + ATP => benzoyl-CoA + AMP + pyrophosphate,R-HSA-159443,"[CoA-SH [mitochondrial matrix],ATP [mitochondrial matrix],BENZA [mitochondrial matrix]]","[adenosine 5'-monophosphate [mitochondrial matrix],PPi [mitochondrial matrix],BEZ-CoA [mitochondrial matrix]]","[xenobiotic/medium-chain fatty acid:CoA ligases [mitochondrial matrix],ACSM2B [mitochondrial matrix],ACSM1 [mitochondrial matrix]]"
Glycogen breakdown (glycogenolysis),glycogen-glycogenin-2 + n orthophosphate => limit dextrin-glycogenin-2 + n D-glucose 1-phosphate [PYGL],R-HSA-71590,"[glycogen-glycogenin-2 dimer [cytosol],Pi [cytosol]]","[G1P [cytosol],limit dextrin-glycogenin-2 dimer [cytosol]]","[PGYL dimer a form [cytosol],PXLP-p-S15-PYGL [cytosol]]"
Complex I biogenesis,"ND4, ND5 bind the 550kDa complex to form the 815kDa complex",R-HSA-6799197,"[550kDa complex [mitochondrial inner membrane],MT-ND5 [mitochondrial inner membrane],MT-ND4 [mitochondrial inner membrane]]",[815kDa complex [mitochondrial inner membrane]],[]
IPs transport between nucleus and cytosol,(PP)2-IP4 transports from the nucleus to the cytosol,R-HSA-1855220,[(PP)2-IP4 [nucleoplasm]],[(PP)2-IP4 [cytosol]],[]
Sulfide oxidation to sulfate,Persulfide sulfur is dioxygenated,R-HSA-1614605,"[O2 [mitochondrial matrix],CysS-SQRDL(1-450) [mitochondrial inner membrane],H2O [mitochondrial matrix]]","[SQRDL(1-450) [mitochondrial inner membrane],H+ [mitochondrial matrix],sulfite(2-) [mitochondrial matrix]]","[ETHE1:2Zn2+ [mitochondrial matrix],ETHE1 [mitochondrial matrix],Zn2+ [mitochondrial matrix]]"
"Synthesis of IP2, IP, and Ins in the cytosol","I(1,4)P2 is dephosphorylated to I4P by INPP1 in the cytosol",R-HSA-1855208,"[H2O [cytosol],I(1,4)P2 [cytosol]]","[Pi [cytosol],I4P [cytosol]]","[INPP1:Mg2+ [cytosol],Mg2+ [cytosol],INPP1 [cytosol]]"
Interconversion of polyamines,PAO:FAD oxidises NASPM to PTCN,R-HSA-141348,"[O2 [peroxisomal matrix],H2O [peroxisomal matrix],NASPM [peroxisomal matrix]]","[3AAPNAL [peroxisomal matrix],H2O2 [peroxisomal matrix],PTCN [peroxisomal matrix]]","[PAOX:FAD [peroxisomal matrix],PAOX [peroxisomal matrix],FAD [peroxisomal matrix]]"
Transport of nucleotide sugars,"SLC35D1 hexamer transports UDP-GlcA, UDP-GlcNAc from cytosol to endoplasmic reticulum lumen",R-HSA-174368,"[UDP-GlcA [cytosol],UDP-GlcNAc [cytosol]]","[UDP-GlcNAc [endoplasmic reticulum lumen],UDP-GlcA [endoplasmic reticulum lumen]]","[SLC35D1 hexamer [endoplasmic reticulum membrane],SLC35D1 [endoplasmic reticulum membrane]]"
CS/DS degradation,ARSB hydrolyses DS,R-HSA-1606789,"[H2O [lysosomal lumen],ChEBI:63519 chain [lysosomal lumen]]","[SO4(2-) [lysosomal lumen],ChEBI:63517 chain [lysosomal lumen]]","[ARSB:Ca2+ [lysosomal lumen],Ca2+ [lysosomal lumen],OxA-ARSB [lysosomal lumen]]"
Endogenous sterols,CYP1B1 4-hydroxylates EST17b,R-HSA-211951,"[EST17b [cytosol],H+ [cytosol],O2 [cytosol],NADPH [cytosol]]","[H2O [cytosol],NADP+ [cytosol],4OH-EST17b [cytosol]]","[CYP1B1 [endoplasmic reticulum membrane],AHRR:ARNT [nucleoplasm],AHRR [nucleoplasm],ARNT, ARNT2 [nucleoplasm],ARNT [nucleoplasm],ARNT2 [nucleoplasm],AHR:TCDD:ARNT [nucleoplasm],AHR:TCDD [nucleoplasm],TCDD [nucleoplasm],AHR [nucleoplasm]]"
Glycosphingolipid metabolism,Glucosylceramidase 3 cleaves the glucosidic bond of glucocerebroside to form ceramide (cytosol),R-HSA-1861789,"[H2O [cytosol],Glucosylceramide [cytosol]]","[N-acylsphingosine [cytosol],Glc [cytosol]]",[GBA3 [cytosol]]
Pentose phosphate pathway,PGM2:Mg2+ isomerises R1P to R5P,R-HSA-6787329,[R1P [cytosol]],[R5P [cytosol]],"[PGM2:Mg2+ [cytosol],Mg2+ [cytosol],PGM2 [cytosol]]"
"Cobalamin (Cbl, vitamin B12) transport and metabolism",TCII:Cbl is degraded to release Cbl,R-HSA-3000263,[TCII:Cbl [lysosomal lumen]],[Cbl [lysosomal lumen]],[]
Pregnenolone biosynthesis,Cholesterol translocates from mitochondrial intermembrane space to inner mitochondrial membrane,R-HSA-196086,[STAR:CHOL [mitochondrial intermembrane space]],"[STAR [mitochondrial intermembrane space],CHOL [mitochondrial inner membrane]]",[]
"Metabolism of ingested SeMet, Sec, MeSec into H2Se",SeMet is converted to AdoSeMet by MAT,R-HSA-2408551,"[H2O [cytosol],SeMet [cytosol],ATP [cytosol]]","[PPi [cytosol],Pi [cytosol],AdoSeMet [cytosol]]","[MAT1A multimers [cytosol],MAT1A:K+:2Mg2+ tetramer [cytosol],MAT1A:K+:2Mg2+ [cytosol],Mg2+ [cytosol],MAT1A [cytosol],K+ [cytosol],MAT1A:K+:2Mg2+ dimer [cytosol]]"
Metabolism of folate and pterines,Conversion of mitochondrial THF to THF-polyglutamate,R-HSA-200682,"[THF [mitochondrial matrix],ATP [mitochondrial matrix],L-Glu [mitochondrial matrix]]","[Pi [mitochondrial matrix],ADP [mitochondrial matrix],THFPG [mitochondrial matrix]]",[FPGS-1 [mitochondrial matrix]]
Synthesis of PC,CDP-Cho and DAG are converted to PC by CHPT1 at the Golgi membrane,R-HSA-1482973,"[DAG [Golgi membrane],CDP-Cho [cytosol]]","[PC [Golgi membrane],CMP [cytosol]]","[CHPT1:Mg2+/Mn2+ [Golgi membrane],Mg2+/Mn2+ [Golgi membrane],Mg2+ [Golgi membrane],Mn2+ [Golgi membrane],CHPT1 [Golgi membrane]]"
FCERI mediated Ca+2 mobilization,"IP3R:I(1,4,5)P3 tetramer transports Ca2+ from ER lumen to cytosol",R-HSA-169683,[Ca2+ [endoplasmic reticulum lumen]],[Ca2+ [cytosol]],"[ITPR:I(1,4,5)P3 tetramer [endoplasmic reticulum membrane],I(1,4,5)P3 [cytosol],ITPR tetramers [endoplasmic reticulum membrane],ITPR1 tetramer [endoplasmic reticulum membrane],ITPR1 [endoplasmic reticulum membrane],ITPR3 tetramer [endoplasmic reticulum membrane],ITPR3 [endoplasmic reticulum membrane],ITPR2 tetramer [endoplasmic reticulum membrane],ITPR2 [endoplasmic reticulum membrane],AHCYL1:NAD+:ITPR1:I(1,4,5)P3 tetramer [endoplasmic reticulum membrane],AHCYL1:NAD+ [endoplasmic reticulum membrane],AHCYL1 [endoplasmic reticulum membrane],NAD+ [endoplasmic reticulum lumen]]"
Synthesis of PA,PA is hydrolyzed to 1-acyl LPA by PLA2[1] (OM),R-HSA-1482604,"[H2O [cytosol],PA [mitochondrial outer membrane]]","[1-acyl LPA [mitochondrial outer membrane],LCFA(-) [mitochondrial outer membrane]]","[PLA2(1) [cytosol],PLA2G4A:Ca2+ [cytosol],Ca2+ [cytosol],PLA2G4A [cytosol],PLA2G2F [cytosol],PLA2G4B [cytosol],PLA2G4D [cytosol]]"
CYP2E1 reactions,Dehalogenation of the poly-halogenated hydrocarbon Halothane to form the acylhalide Trifluoroacetlychloride and  hydrogen bromide,R-HSA-76475,"[O2 [endoplasmic reticulum lumen],H+ [endoplasmic reticulum lumen],HALO [endoplasmic reticulum lumen],NADPH [endoplasmic reticulum lumen]]","[H2O [endoplasmic reticulum lumen],NADP+ [endoplasmic reticulum lumen],HBr [endoplasmic reticulum lumen],TFAC [endoplasmic reticulum lumen]]","[Cytochrome P450 (CYP2E1 based) [endoplasmic reticulum membrane],CYP2B6 [endoplasmic reticulum membrane],CYP2A7 [endoplasmic reticulum membrane],CYP2C8 [endoplasmic reticulum membrane],CYP2A6 [endoplasmic reticulum membrane],CYP2D6 [endoplasmic reticulum membrane],CYP2A13 [endoplasmic reticulum membrane],CYP2C9 [endoplasmic reticulum membrane],CYP2C19 [endoplasmic reticulum membrane],CYP2S1 [endoplasmic reticulum membrane],CYP2F1 [endoplasmic reticulum membrane],CYP2E1 [endoplasmic reticulum membrane]]"
Gluconeogenesis,"D-fructose 1,6-bisphosphate + H2O => D-fructose 6-phosphate + orthophosphate",R-HSA-70479,"[D-Fructose 1,6-bisphosphate [cytosol],H2O [cytosol]]","[Pi [cytosol],Fru(6)P [cytosol]]","[FBP tetramer [cytosol],FBP2 tetramer [cytosol],Mg2+ [cytosol],FBP2 [cytosol],FBP1 tetramer [cytosol],FBP1 [cytosol],AMP [cytosol]]"
Sphingolipid de novo biosynthesis,sphinganine (dihydrosphingosine) +ATP => sphinganine 1-phosphate + ADP,R-HSA-428214,"[ATP [cytosol],SPA [endoplasmic reticulum membrane]]","[ADP [cytosol],SPAP [cytosol]]","[SPHK [cytosol],SPHK1 [cytosol],SPHK2 [cytosol]]"
Acetylcholine regulates insulin secretion,"Diacylgycerol activates Protein kinase C, alpha type",R-HSA-400015,"[DAG [plasma membrane],PRKCA [cytosol]]","[Protein Kinase C, alpha type: DAG [plasma membrane]]",[]
"Cobalamin (Cbl, vitamin B12) transport and metabolism",MMAB transfers adenosyl group from ATP to cob(I)alamin,R-HSA-3159253,"[cob(I)alamin [mitochondrial matrix],ATP [mitochondrial matrix]]","[PPP [mitochondrial matrix],AdoCbl [mitochondrial matrix]]","[3xMMAB [mitochondrial matrix],MMAB [mitochondrial matrix]]"
Chondroitin sulfate biosynthesis,"CHST3,7 transfer SO4(2-) to position 6 of GalNAc on chondroitin chains",R-HSA-2018682,"[PAPS [Golgi lumen],chondroitin(3)-core proteins [Golgi lumen]]","[PAP [Golgi lumen],C6S-PG [Golgi lumen]]","[CHST3,7 [Golgi membrane],CHST7 [Golgi membrane],CHST3 [Golgi membrane]]"
Fructose biosynthesis,AKR1B1 reduces Glc to D-sorbitol,R-HSA-5652172,"[H+ [cytosol],NADPH [cytosol],Glc [cytosol]]","[NADP+ [cytosol],D-sorbitol [cytosol]]",[AKR1B1 [cytosol]]
Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives,ALOX5 oxidises DPAn-3 to 7-HDPAn-3,R-HSA-9027633,"[DPAn-3 [cytosol],O2 [cytosol]]",[7-HDPAn-3 [cytosol]],[ALOX5 [cytosol]]
Cholesterol biosynthesis,Two FPP molecules dimerize to form presqualene diphosphate,R-HSA-191405,[FAPP [cytosol]],"[PPi [cytosol],PSQPP [cytosol]]","[FDFT:Mg2+ [endoplasmic reticulum membrane],Mg2+ [cytosol],FDFT1 [endoplasmic reticulum membrane]]"
Miscellaneous substrates,CYP2S1 4-hydroxylates atRA,R-HSA-211874,"[O2 [endoplasmic reticulum lumen],H+ [endoplasmic reticulum lumen],atRA [endoplasmic reticulum lumen],NADPH [endoplasmic reticulum lumen]]","[H2O [endoplasmic reticulum lumen],NADP+ [endoplasmic reticulum lumen],4OH-atRA [endoplasmic reticulum lumen]]",[CYP2S1 [endoplasmic reticulum membrane]]
Synthesis of PIPs at the Golgi membrane,"PI(3,5)P2 is dephosphorylated to PI3P by FIG4 at the Golgi membrane",R-HSA-1676005,"[H2O [cytosol],PI(3,5)P2 [Golgi membrane]]","[Pi [cytosol],PI3P [Golgi membrane]]","[PIKFYVE:VAC14:FIG4 [Golgi membrane],VAC14 [Golgi membrane],FIG4 [Golgi membrane],PIKFYVE [Golgi membrane]]"
Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR),GGT hydrolyses PCTR1 to PCTR2,R-HSA-9026912,"[PCTR1 [cytosol],H2O [cytosol]]","[L-Glu [cytosol],PCTR2 [cytosol]]",[GGT [cytosol]]
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",Salvage - BH2 is reduced to BH4 by DHFR,R-HSA-1497794,"[H+ [cytosol],BH2 [cytosol],NADPH [cytosol]]","[BH4 [cytosol],NADP+ [cytosol]]","[DHFR dimer [cytosol],DHFR [cytosol]]"
Aflatoxin activation and detoxification,"AFXBO-C, AFNBO-C translocate from extracellular region to cytosol",R-HSA-5490269,"[AFXBO-C,AFNBO-C [extracellular region]]","[AFXBO-C,AFNBO-C [cytosol]]",[]
Glyoxylate metabolism and glycine degradation,Spontaneous hydrolysis of 1-pyrroline-3-hydroxy-5-carboxylate to 4-OH-L-glutamate semialdehyde,R-HSA-6784402,"[1-pyrroline-3-hydroxy-5-carboxylate [mitochondrial matrix],H2O [mitochondrial matrix]]",[4-OH-L-Glu semialdehyde [mitochondrial matrix]],[]
ChREBP activates metabolic gene expression,Formation of ChREBP:MLX heterodimer,R-HSA-163666,"[MLX [nucleoplasm],MLXIPL [nucleoplasm]]",[ChREBP:MLX [nucleoplasm]],[]
Heme degradation,BIL binds ALB,R-HSA-9661432,"[BIL [extracellular region],ALB [extracellular region]]",[BIL:ALB [extracellular region]],[]
