TopLevelPathwayName,FirstLevelPathwayName,SecondLevelPathwayName,ReactionName,ReactionID
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Interaction of BCL10:MALT1 with CARMA1 to form CBM complex,R-HSA-2730836
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Activation of TAK1 complex bound to pUb-TRAF6,R-HSA-2730900
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,RasGRP interacts with DAG and Ca2+,R-HSA-2730871
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Oligomerization of TRAF6,R-HSA-2730903
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Oligomerization of p-CARMA1,R-HSA-2730902
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Autophosphorylation of LYN kinase,R-HSA-2730862
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Phosphorylation of SYK,R-HSA-2454239
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Phosphorylation of PLC-gamma,R-HSA-2730888
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,"IP3R:I(1,4,5)P3 tetramer transports Ca2+ from ER lumen to cytosol",R-HSA-169683
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Calcium binds calmodulin,R-HSA-74448
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Activation of Calcineurin,R-HSA-2730872
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,"IP3 binds to the IP3 receptor, opening the endoplasmic reticulum Ca2+ channel",R-HSA-169680
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Autophosphorylation of BTK/ITK,R-HSA-2730858
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Hydrolysis of PIP2 by PLCG,R-HSA-2730847
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Phosphorylation of TEC kinases by p-SYK,R-HSA-2730833
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Calcineurin binds and dephosphorylates NFAT,R-HSA-2730849
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Translocation of CaN:CaM:NFAT to nucleus,R-HSA-2730867
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Recruitment of TEC kinases to p-SLP-76,R-HSA-2730885
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Phosphorylation of MEK7 by MEKK1,R-HSA-2730868
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Recruitment of PLC-gamma to SLP-76 and p-5Y-LAT,R-HSA-2396606
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Phosphorylation of MEK4 by MEKK1,R-HSA-2730896
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,SOS mediated nucleotide exchange of RAS (SHC),R-HSA-2424477
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Recruitment of GADS:SLP-76 to p-5Y-LAT,R-HSA-2396561
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Interaction of GRB2:SOS complex with p-SHC1,R-HSA-2730844
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,c-FOS activation by phospho ERK1/2,R-HSA-450325
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Recruitment of GRB2:SOS to p-5Y-LAT,R-HSA-2396599
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Formation of Activated Protein 1 (AP-1) complex. cFOS/c-JUN heterodimer. ,R-HSA-450292
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Activation of RAC1 by VAV,R-HSA-2730840
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Phosphorylation and activation of VAV,R-HSA-2730841
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Phosphorylation of SHC by SYK kinase,R-HSA-2730886
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Autophosphorylation and activation of MEKK1,R-HSA-2730887
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Activated JNKs phosphorylate c-JUN,R-HSA-168136
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Activated human JNKs migrate to nucleoplasm,R-HSA-450348
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Phosphorylation of SLP-76 by p-SYK,R-HSA-2730851
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Recruitment of VAV to p-SLP-76,R-HSA-2730892
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Autophosphorylation of PAK,R-HSA-2730856
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Phosphorylation of human JNKs by activated MKK4/MKK7,R-HSA-168162
Immune System,Innate Immune System,Fc epsilon receptor (FCERI) signaling,Recruitment of PAK to the membrane by binding active RAC1,R-HSA-2730889
Immune System,Innate Immune System,DAP12 interactions,SIRP beta binds TYROBP,R-HSA-210274
Immune System,Innate Immune System,DAP12 interactions,Interaction of DAP12 and NKp44,R-HSA-210273
Immune System,Innate Immune System,DAP12 interactions,Interaction of DAP12 and CLM7,R-HSA-2426566
Immune System,Innate Immune System,DAP12 interactions,Interaction of DAP12 and KIR2DS2,R-HSA-210309
Immune System,Innate Immune System,DAP12 interactions,Dimerization of DAP12,R-HSA-2130151
Immune System,Innate Immune System,DAP12 interactions,Interaction of DAP12 and IREM2,R-HSA-2426569
Immune System,Innate Immune System,DAP12 interactions,Phosphorylation of BTK by p-SYK,R-HSA-2424484
Immune System,Innate Immune System,DAP12 interactions,Release of p-PLCG1,R-HSA-2424485
Immune System,Innate Immune System,DAP12 interactions,Phosphorylation and activation of VAV2/VAV3 by SYK,R-HSA-2424486
Immune System,Innate Immune System,DAP12 interactions,Phosphorylation of PLC-gamma by p-BTK/p-SYK,R-HSA-2424487
Immune System,Innate Immune System,DAP12 interactions,PI3K phosphorylates PIP2 to PIP3,R-HSA-2424480
Immune System,Innate Immune System,DAP12 interactions,Recruitment of VAV and BTK to p-SLP-76,R-HSA-2424481
Immune System,Innate Immune System,DAP12 interactions,p85 regulatory unit of PI3K binds p-6Y-SYK,R-HSA-2424482
Immune System,Innate Immune System,DAP12 interactions,Phosphorylation of DAP12,R-HSA-2395439
Immune System,Innate Immune System,DAP12 interactions,Phosphorylation of SYK,R-HSA-2395412
Immune System,Innate Immune System,DAP12 interactions,Recruitment of SYK to p-DAP12,R-HSA-210289
Immune System,Innate Immune System,DAP12 interactions,Recruitment of GRB2:SOS to p-5Y-LAT,R-HSA-2396599
Immune System,Innate Immune System,DAP12 interactions,Recruitment of GADS:SLP-76 to p-5Y-LAT,R-HSA-2396561
Immune System,Innate Immune System,DAP12 interactions,Phosphorylation of SLP-76 by p-SYK,R-HSA-2396594
Immune System,Innate Immune System,DAP12 interactions,Activation of RAC1 by VAV2/3,R-HSA-2424476
Immune System,Innate Immune System,DAP12 interactions,SOS mediated nucleotide exchange of RAS (SHC),R-HSA-2424477
Immune System,Innate Immune System,DAP12 interactions,Recruitment of PLC-gamma to SLP-76 and p-5Y-LAT,R-HSA-2396606
Immune System,Innate Immune System,DAP12 interactions,Phosphorylation of LAT by p-SYK,R-HSA-2395801
Immune System,Innate Immune System,DAP12 interactions,Interaction of DAP12 and KIR2DS4,R-HSA-2272753
Immune System,Innate Immune System,DAP12 interactions,Interaction of DAP12 and NKG2D,R-HSA-210295
Immune System,Innate Immune System,DAP12 interactions,Interaction of DAP12 and TREM1,R-HSA-210292
Immune System,Innate Immune System,DAP12 interactions,Interaction of DAP12 and KIR2DS1,R-HSA-2272795
Immune System,Innate Immune System,DAP12 interactions,Interaction of DAP12 and KIR3DS1,R-HSA-210298
Immune System,Innate Immune System,DAP12 interactions,Interaction of SIGLEC14/15/16 and DAP12,R-HSA-2172123
Immune System,Innate Immune System,DAP12 interactions,Interaction of DAP12 and MDL-1,R-HSA-210271
Immune System,Innate Immune System,DAP12 interactions,Interaction of DAP12 and KIR2DS5,R-HSA-2272668
Immune System,Innate Immune System,DAP12 interactions,DAP12 interacts with NKG2C,R-HSA-2172126
Immune System,Innate Immune System,DAP12 interactions,Interaction of DAP12 and TREM2,R-HSA-210300
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,NLRP4 and DTX4 associate with p-S172-TBK1 within STING:TBK1:IRF3,R-HSA-3249392
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,Viral DNA cleavage by TREX1,R-HSA-3245943
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,TREX1 binds retroviral-derived DNA,R-HSA-3244605
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,NLRP4 and DTX4 associate with p-S172-TBK1 within dsDNA:ZBP1:TBK1,R-HSA-8948703
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,STING ubiquitination by TRIM32 or TRIM56,R-HSA-3134804
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,DTX4 ubiquitinates p-S172-TBK1 within NLRP4:DTX4:dsDNA:ZBP1:TBK1,R-HSA-3249386
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,DDX41 ubiquitination by TRIM21,R-HSA-3134946
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,STING binds TRIM32 or TRIM56 ,R-HSA-1964496
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,DTX4 ubiquitinates p-S172-TBK1 within NLRP4:DTX4:STING:TBK1:IRF3,R-HSA-8948709
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,Phosphorylation of beta-catenin at Ser552,R-HSA-3134904
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,LRR FLII-interacting protein 1 associates with beta-catenin,R-HSA-3134901
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,Beta-catenin enhances association of IRF3 with CBP/p300 ,R-HSA-3134883
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,Beta-catenin migrates to the nucleus,R-HSA-3134914
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,LRR FLII-interacting protein 1 binds dsDNA,R-HSA-3134896
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,STING binds cyclic GMP-AMP,R-HSA-3244643
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,"DDX41 binds bacterial c-di-AMP, c-di-GMP  ",R-HSA-9013869
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,cGAS binds cytosolic DNA,R-HSA-3244647
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,p-S407-STAT6 is phosphorylated at Tyr641,R-HSA-3249379
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,STING recruits TBK1 and STAT6,R-HSA-3249378
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,TBK1 phosphorylates STAT6 at Ser407,R-HSA-3249371
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,"p-S407,Y641-STAT6 dimer migrates to the nucleus",R-HSA-3249370
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,"p-S407,Y641-STAT6 is dimerized",R-HSA-3249372
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,TBK1 is phosphorylated within STING:TBK1:STAT6 complex,R-HSA-3249390
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,cGAS produces cyclic GMP-AMP,R-HSA-3244614
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,DDX41 binds viral dsDNA ,R-HSA-3134822
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,STING recruits TBK1 and IRF3,R-HSA-1834939
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,IRF3 is phosphorylated by TBK1,R-HSA-2396007
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,Dimerized phospho-IRF3 migrates to the nucleus,R-HSA-2032396
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,TBK1 is phosphorylated within STING:TBK1:IRF3 complex,R-HSA-2396002
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,"p-T,4S-IRF3 is dimerized",R-HSA-2395992
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,IFI16 binds cytosolic dsDNA,R-HSA-1834951
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,STING binds c-di-GMP,R-HSA-2396009
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,STING dimerization,R-HSA-3134800
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,ZBP1(DAI) recruits RIP1 and RIP3,R-HSA-1810457
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,NFkB complex translocates from the cytosol to the nucleus,R-HSA-9604480
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,RIP1 facilitates IKK complex phosphorylation,R-HSA-168910
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,Phospho-IKK Complex phosphorylates NFkB inhibitor within the NFkB inhibitor:NFkB complex,R-HSA-168140
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,ZBP1 binds cytosolic DNA,R-HSA-1591234
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,Recruitment of IRF3 to activated ZBP1:TBK1,R-HSA-1606345
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,Recruitment TBK1 to dsDNA:ZBP1 followed by its activation,R-HSA-1606324
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,Phosphorylation and release of IRF3 ,R-HSA-1606327
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,DNA-PK binds microbial dsDNA,R-HSA-3134821
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,DHX9 binds DNA,R-HSA-3134954
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,p-IRF7:p-IRF7 translocates to the nucleus,R-HSA-9604487
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,DHX36 or DHX9 binds MyD88,R-HSA-3134953
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,DHX36 binds DNA,R-HSA-3134962
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,RNA polymerase III transcribes microbial dsDNA to dsRNA,R-HSA-1964482
Immune System,Innate Immune System,Cytosolic sensors of pathogen-associated DNA ,MRE11 binds cytosolic DNA,R-HSA-3204303
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"26S proteasome processes K48PolyUb-K21,22-p-S32,36-IkBA:NF-kB complex to form NF-kB complex",R-HSA-5607724
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"SYK binds p-Y15-CLEC7A:1,3-beta-D-glucan",R-HSA-5607738
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"p-S177,S181-IKKB:IKKA:pUb-NEMO phosphorylates IkB-alpha:NF-kB",R-HSA-202541
Immune System,Innate Immune System,C-type lectin receptors (CLRs),MALT1 oligomerizes,R-HSA-5607736
Immune System,Innate Immune System,C-type lectin receptors (CLRs),BCL10 oligomerizes,R-HSA-5607737
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"K63polyUb-p-3T,1S-TAK1 phosphorylates IKK-beta",R-HSA-5607742
Immune System,Innate Immune System,C-type lectin receptors (CLRs),ASC binds Caspase-8 complex,R-HSA-5660662
Immune System,Innate Immune System,C-type lectin receptors (CLRs),Caspase-8 cleaves IL1B precursor,R-HSA-5660663
Immune System,Innate Immune System,C-type lectin receptors (CLRs),IL1B gene is transcribed,R-HSA-5660622
Immune System,Innate Immune System,C-type lectin receptors (CLRs),Caspase-8 binds MALT,R-HSA-5660665
Immune System,Innate Immune System,C-type lectin receptors (CLRs),PKC-delta phosphorylates CARD9,R-HSA-5607740
Immune System,Innate Immune System,C-type lectin receptors (CLRs),NFKB1:RELA translocates from the cytosol to the nucleus,R-HSA-2730894
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"beta-TRCP ubiquitinates IkB-alpha in p-S32,33-IkB-alpha:NF-kB complex",R-HSA-5607728
Immune System,Innate Immune System,C-type lectin receptors (CLRs),Ubiquitination of NEMO by TRAF6,R-HSA-202534
Immune System,Innate Immune System,C-type lectin receptors (CLRs),PKC-delta translocates to plasma membrane,R-HSA-5607734
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"p-Y753,Y759-PLCG2 hydrolyses PIP2",R-HSA-5607735
Immune System,Innate Immune System,C-type lectin receptors (CLRs),K63polyUb-TAK1 autophosphorylates,R-HSA-5607732
Immune System,Innate Immune System,C-type lectin receptors (CLRs),BCL10 binds CARD9,R-HSA-5607733
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"p-Y753,Y759-PLCG2 translocates from cytosol to plasma membrane",R-HSA-5607755
Immune System,Innate Immune System,C-type lectin receptors (CLRs),CARD9 oligomerizes,R-HSA-5607753
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"CLEC7A binds 1,3-beta-D-glucan",R-HSA-5607758
Immune System,Innate Immune System,C-type lectin receptors (CLRs),TRIKA2 binds K63polyUb-TRAF6 oligomer,R-HSA-5607759
Immune System,Innate Immune System,C-type lectin receptors (CLRs),TRAF6 oligomer autoubiquitinates,R-HSA-5607756
Immune System,Innate Immune System,C-type lectin receptors (CLRs),K63polyUb-TRAF6 ubiquitinates TAK1,R-HSA-5607757
Immune System,Innate Immune System,C-type lectin receptors (CLRs),PKC-delta is activated,R-HSA-5607746
Immune System,Innate Immune System,C-type lectin receptors (CLRs),TRAF6 binds MALT1 oligomers,R-HSA-5607747
Immune System,Innate Immune System,C-type lectin receptors (CLRs),MALT1 binds BCL10,R-HSA-5607744
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"1,3-beta-D-glucan:p-Y15-CLEC7A:SYK phosphorylates PLCG",R-HSA-5607745
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"SRC kinase phosphorylates CLEC7A:1,3-beta-D-glucan",R-HSA-5607750
Immune System,Innate Immune System,C-type lectin receptors (CLRs),TRAF6 oligomerizes,R-HSA-5607751
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"IP3R:I(1,4,5)P3 tetramer transports Ca2+ from ER lumen to cytosol",R-HSA-169683
Immune System,Innate Immune System,C-type lectin receptors (CLRs),Calcium binds calmodulin,R-HSA-74448
Immune System,Innate Immune System,C-type lectin receptors (CLRs),Activation of Calcineurin,R-HSA-2730872
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"IP3 binds to the IP3 receptor, opening the endoplasmic reticulum Ca2+ channel",R-HSA-169680
Immune System,Innate Immune System,C-type lectin receptors (CLRs),Calcineurin binds and dephosphorylates NFAT,R-HSA-2730849
Immune System,Innate Immune System,C-type lectin receptors (CLRs),Translocation of CaN:CaM:NFAT to nucleus,R-HSA-2730867
Immune System,Innate Immune System,C-type lectin receptors (CLRs),CCL17 and CCL22 genes are transcribed,R-HSA-5660965
Immune System,Innate Immune System,C-type lectin receptors (CLRs),26S proteasome processes p-7S-p100:RELB to form p52:RELB,R-HSA-5607731
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"SCF-beta-TRCP ubiquitinates p-7S-p100:RELB in active NIK:p-176,S180-IKKA dimer:p-7S-p100:SCF-beta-TRCP",R-HSA-5607725
Immune System,Innate Immune System,C-type lectin receptors (CLRs),p52:RELB translocates from cytosol to nucleus,R-HSA-5607741
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"Active NIK:p-S176,180-IKKA dimer phosphorylates p100:RELB",R-HSA-5607726
Immune System,Innate Immune System,C-type lectin receptors (CLRs),Activation of NIK,R-HSA-5607721
Immune System,Innate Immune System,C-type lectin receptors (CLRs),p100:RELB binds active NIK:p-IKKA dimer,R-HSA-5607720
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"SCF-beta-TRCP binds p-7S-p100 in active NIK:p-S176,180-IKKA dimer:p-7S-p100:RELB",R-HSA-5607723
Immune System,Innate Immune System,C-type lectin receptors (CLRs),Active NIK phosphorylates IKKA dimer,R-HSA-5607722
Immune System,Innate Immune System,C-type lectin receptors (CLRs),CD209 activate GTPase RAS,R-HSA-5621573
Immune System,Innate Immune System,C-type lectin receptors (CLRs),p300 acetylates RELA subunit,R-HSA-5660660
Immune System,Innate Immune System,C-type lectin receptors (CLRs),p-S276-RELA binds RELB,R-HSA-5660980
Immune System,Innate Immune System,C-type lectin receptors (CLRs),CD209 binds ManLAM,R-HSA-5621606
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"SFKs phosphorylates RAF1 on Y340,Y341",R-HSA-5624486
Immune System,Innate Immune System,C-type lectin receptors (CLRs),CD209 binds ICAM2,R-HSA-5621571
Immune System,Innate Immune System,C-type lectin receptors (CLRs),PAK phosphorylates p21 RAF1 on S338,R-HSA-5624492
Immune System,Innate Immune System,C-type lectin receptors (CLRs),CD209 binds ICAM3,R-HSA-5621615
Immune System,Innate Immune System,C-type lectin receptors (CLRs),RAF1 binds p21 RAS:GTP,R-HSA-5624494
Immune System,Innate Immune System,C-type lectin receptors (CLRs),Protein kinase A (PKA) and RPS6KA5 (MSK1) phosphorylates p65 (RELA) subunit,R-HSA-5624473
Immune System,Innate Immune System,C-type lectin receptors (CLRs),CBP and p300 binds NF-kB complex,R-HSA-5660666
Immune System,Innate Immune System,C-type lectin receptors (CLRs),CLEC4A binds HIV and HCV glycoproteins,R-HSA-5621367
Immune System,Innate Immune System,C-type lectin receptors (CLRs),CLEC10A binds Tn-MUC1,R-HSA-8858500
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"SYK binds to p-Y65,Y76-FCER1G",R-HSA-5621366
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"SYK phosphorylates PLCG2 in p-6Y-SYK:p-Y65,Y76-FCER1G:PLCG2",R-HSA-5621363
Immune System,Innate Immune System,C-type lectin receptors (CLRs),PLCG2 translocates from cytosol to plasma membrane,R-HSA-5621347
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"PLCG1 binds p-6Y-SYK:p-Y65,Y76-FCER1G",R-HSA-5621356
Immune System,Innate Immune System,C-type lectin receptors (CLRs),"CLEC4D binds mycobacterial trehalose-6,6'-dimycolate (TDM)",R-HSA-5621353
Immune System,Innate Immune System,C-type lectin receptors (CLRs),CLEC6A binds alpha-mannan in fungal cell walls,R-HSA-5621352
Immune System,Innate Immune System,C-type lectin receptors (CLRs),CLEC4C binds HIV and HCV glycoproteins,R-HSA-5621371
Immune System,Innate Immune System,C-type lectin receptors (CLRs),LYN and FYN phosphorylate FCER1G in CLEC6A:FCERG and CLEC4E:FCERG,R-HSA-5621355
Immune System,Innate Immune System,C-type lectin receptors (CLRs),CLEC4E binds alpha-mannan and trehalose-6-6'-dimycolate,R-HSA-5621354
Immune System,Innate Immune System,C-type lectin receptors (CLRs),SYK autophosphorylates,R-HSA-5621370
Immune System,Innate Immune System,Advanced glycosylation endproduct receptor signaling,"AGER-1,2,3 bind AGEs",R-HSA-879358
Immune System,Innate Immune System,Advanced glycosylation endproduct receptor signaling,The TRTK-12 fragment of F-actin capping protein alpha binds the AGER ligand S100B,R-HSA-879377
Immune System,Innate Immune System,Advanced glycosylation endproduct receptor signaling,Advanced glycosylation end product-specific receptor (AGER/RAGE) is a multiligand receptor,R-HSA-879411
Immune System,Innate Immune System,Advanced glycosylation endproduct receptor signaling,AGER binds ERK1/2,R-HSA-879362
Immune System,Innate Immune System,Fcgamma receptor (FCGR) dependent phagocytosis,"IP3R:I(1,4,5)P3 tetramer transports Ca2+ from ER lumen to cytosol",R-HSA-169683
Immune System,Innate Immune System,Fcgamma receptor (FCGR) dependent phagocytosis,Hydrolysis of PC to PA by PLD,R-HSA-2029471
Immune System,Innate Immune System,Fcgamma receptor (FCGR) dependent phagocytosis,"IP3 binds to the IP3 receptor, opening the endoplasmic reticulum Ca2+ channel",R-HSA-169680
Immune System,Innate Immune System,Fcgamma receptor (FCGR) dependent phagocytosis,Conversion of PA into DAG by PAP-1,R-HSA-2029468
